cm,r128,sr_rise_vus,sr_fall_vus
470p,1.69k,8.63939,-3.39607
560p,1.69k,7.68517,-2.89176
680p,1.69k,6.41111,-2.41404
820p,1.69k,5.35544,-2.02384
1n,1.69k,4.42216,-1.6756
1.2n,1.69k,3.70532,-1.40663
470p,1.33k,8.64168,-3.38258
560p,1.33k,7.68674,-2.88051
680p,1.33k,6.41295,-2.40448
820p,1.33k,5.35676,-2.01594
1n,1.33k,4.42399,-1.66917
1.2n,1.33k,3.70702,-1.40126
