cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gc0x3_lz,1,caldo_netto,0a3,1000,0,100k,A_ins,MAINJACK,0.01379,1.000042,0.0001,NON REGGE,SOPRA|sotto
gc3x0_lz,1,caldo_netto,3a0,1000,0,100k,A_ins,MAINJACK,0.01379,1.000042,0.0001,NON REGGE,SOPRA|sotto
gc10x0_lz,1,caldo_netto,10a0,1000,0,100k,A_ins,MAINJACK,0.06916,1.000333,0.0001,NON REGGE,SOPRA|sotto
