variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
seg_mmbt,1m,1f,897711,66.4954,70.911
seg_mmbt,1m,470p,912335,63.7794,70.911
seg_mmbt,1m,1n,914730,60.9093,70.911
seg_mmbt,1m,1.5n,904548,58.8547,70.911
seg_mmbt,1m,2.2n,880259,57.1623,70.911
seg_mmbt,1m,2.7n,861494,56.5856,70.911
seg_mmbt,1m,3.3n,840504,56.3257,70.911
seg_mmbt,1m,4.7n,801680,56.6218,70.911
seg_mmbt,2.611k,1f,897402,65.7651,70.911
seg_mmbt,2.611k,470p,911999,63.0389,70.911
seg_mmbt,2.611k,1n,914395,60.168,70.911
seg_mmbt,2.611k,1.5n,904239,58.1218,70.911
seg_mmbt,2.611k,2.2n,879989,56.4485,70.911
seg_mmbt,2.611k,2.7n,861248,55.8862,70.911
seg_mmbt,2.611k,3.3n,840282,55.6427,70.911
seg_mmbt,2.611k,4.7n,801491,55.969,70.911
