cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel
g_mai,g_mai.dat,gear,1000,3.818,10,100k,1.0,1.2,2.2,10e-6,rif_mai,-,-
g_nullo,g_nullo.dat,gear,1000,3.818,10,100k,1.0,2.2,2.2,10e-6,pav_num,g_mai,-
