cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
off_r10s_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.003855,1.000427,0.0001,NON REGGE,SOPRA
off_r10p_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001568,1.000594,0.0001,NON REGGE,SOPRA|sotto
off_r10p_d5_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.003807,1.005427,0.0001,NON REGGE,SOPRA
off_r10p_d100_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,2.315,1.009792,0.0001,NON REGGE,SOPRA
off_r10m_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.003963,1.000427,0.0001,NON REGGE,SOPRA
off_r300s_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001269,1.000438,0.0001,NON REGGE,SOPRA|sotto
off_r300s_d5_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001205,1.000042,0.0001,NON REGGE,SOPRA|sotto
off_r300s_d20_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0003979,1.020031,0.0001,NON REGGE,SOPRA
off_r300s_d100_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.003339,1.100427,0.0001,NON REGGE,SOPRA
off_r300p_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,5.057e-06,1.000594,0.0001,regge,sotto
off_r300p_d5_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001283,1.005427,0.0001,NON REGGE,SOPRA|sotto
off_r300p_d20_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0009473,1.020031,0.0001,NON REGGE,SOPRA
off_r300p_d100_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.004996,1.100031,0.0001,NON REGGE,SOPRA
off_r300m_d0_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001315,1.000427,0.0001,NON REGGE,SOPRA|sotto
off_r300m_d5_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0001372,1.005635,0.0001,NON REGGE,SOPRA|sotto
off_r300m_d20_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.0005518,1.020031,0.0001,NON REGGE,SOPRA
off_r300m_d100_iii,5,spegnimento_iii,10,1000,0,100k,A_ins,MAINJACK,0.004269,1.100427,0.0001,NON REGGE,SOPRA
