cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
g10sempre_lz_iii,g10sempre_lz_iii.dat,rif,1000,0,10,100k,1.0,8.5,36.5,1e-05,rif_sempre,-,-,0.0,0,
off_r10s_d0_iii,off_r10s_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10s_d5_iii,off_r10s_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10s_d20_iii,off_r10s_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10s_d100_iii,off_r10s_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10p_d0_iii,off_r10p_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10p_d5_iii,off_r10p_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10p_d20_iii,off_r10p_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10p_d100_iii,off_r10p_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10m_d0_iii,off_r10m_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10m_d5_iii,off_r10m_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10m_d20_iii,off_r10m_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r10m_d100_iii,off_r10m_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300s_d0_iii,off_r300s_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300s_d5_iii,off_r300s_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300s_d20_iii,off_r300s_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300s_d100_iii,off_r300s_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300p_d0_iii,off_r300p_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300p_d5_iii,off_r300p_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300p_d20_iii,off_r300p_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300p_d100_iii,off_r300p_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300m_d0_iii,off_r300m_d0_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300m_d5_iii,off_r300m_d5_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300m_d20_iii,off_r300m_d20_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
off_r300m_d100_iii,off_r300m_d100_iii.dat,spegnimento_iii,1000,0,10,100k,1.0,1000,3.5,1e-05,evento,g10sempre_lz_iii,-,0.0,5,A_ins
