grandezza,f20,f1k,f20k,max_20_20k
Z_jack_mag,1693.61,57.9515,47.053,
Z_jack_real,53.1318,47.0339,47.0316,53.1318
Z_nodo_buffer_mag,0.0361744,0.03864,0.274404,
