nodo,rsrc,onoise_total_v,inoise_total_v
J1,1,1.62391E-06,1.63216E-06
J1,430,1.66664E-06,1.67581E-06
J1,2500,1.85859E-06,1.87268E-06
OUTA,430,1.21069E-06,1.21137E-06
