caso,t_mute_ms,D_ms,D2_ms,vrelay_min,p_t2_mW
micro_reset,1.4699999999998603,16.910000000000203,56.48000000000009,-1.47494e-05,
micro_a_zero,0.25999999999992696,18.120000000000136,56.48000000000009,-1.46559e-05,
perdita_rete_micro_reset,1.4699999999998603,16.910000000000203,56.48000000000009,-1.48056e-05,
guasto_U503_micro_reset,1.4699999999998603,16.910000000000203,26.90999999999999,-1.47466e-05,
controfattuale_senza_C528,0.31999999999987594,0.0,74.5300000000002,-1.47494e-05,
perdita_rete_micro_fermo_alto,14.810000000000212,,,6.53891,
standby,,,,-1.93404e-06,90.8239
