cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel
var0_100k_bm,var0_100k_bm.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,evento,-,var0_100k_bmmai
var0_100k_bmmai,var0_100k_bmmai.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_mai,-,-
