carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,762156,72.8055,80.3043
1,1m,47p,763752,72.5702,80.3043
1,1m,100p,765561,72.3028,80.3043
1,1m,220p,769686,71.6885,80.3043
1,1m,470p,778476,70.3667,80.3043
1,1m,1n,798183,67.3547,80.3043
1,1m,2.2n,847442,59.307,80.3042
1,1m,4.7n,932878,37.9796,80.3042
1,430,1f,762142,72.7026,80.3043
1,430,47p,763738,72.4672,80.3043
1,430,100p,765546,72.1995,80.3043
1,430,220p,769672,71.5846,80.3043
1,430,470p,778460,70.2618,80.3043
1,430,1n,798166,67.2472,80.3043
1,430,2.2n,847419,59.1932,80.3042
1,430,4.7n,932849,37.8554,80.3042
2,1m,1f,761464,72.8136,80.2022
2,1m,47p,763055,72.5789,80.2022
2,1m,100p,764857,72.3119,80.2022
2,1m,220p,768968,71.6989,80.2022
2,1m,470p,777705,70.3808,80.2022
2,1m,1n,797310,67.3771,80.2022
2,1m,2.2n,846276,59.3582,80.2022
2,1m,4.7n,931241,38.1282,80.2021
2,430,1f,761451,72.7109,80.2022
2,430,47p,763041,72.4759,80.2022
2,430,100p,764843,72.2087,80.2022
2,430,220p,768954,71.5952,80.2022
2,430,470p,777690,70.2759,80.2022
2,430,1n,797293,67.2697,80.2022
2,430,2.2n,846254,59.2446,80.2022
2,430,4.7n,931212,38.0043,80.2021
