cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
390p,470p,0,100k,2.611k,3.3n,842453,55.5506,81.4173
390p,470p,0,100k,2.611k,4.7n,803460,55.9222,81.4173
390p,470p,0,10k,1m,1f,898291,66.2563,81.2287
390p,470p,0,10k,1m,470p,912926,63.5774,81.2287
390p,470p,0,10k,1m,1n,915599,60.7544,81.2288
390p,470p,0,10k,1m,1.5n,905772,58.7373,81.2288
390p,470p,0,10k,1m,2.2n,881888,57.0823,81.2288
390p,470p,0,10k,1m,2.7n,863282,56.5254,81.2289
390p,470p,0,10k,1m,3.3n,842391,56.2839,81.2289
390p,470p,0,10k,1m,4.7n,803594,56.6085,81.229
390p,470p,0,10k,2.611k,1f,897972,65.5279,81.2287
390p,470p,0,10k,2.611k,470p,912578,62.8388,81.2287
390p,470p,0,10k,2.611k,1n,915251,60.0149,81.2288
390p,470p,0,10k,2.611k,1.5n,905452,58.0059,81.2288
390p,470p,0,10k,2.611k,2.2n,881607,56.3695,81.2288
390p,470p,0,10k,2.611k,2.7n,863025,55.8268,81.2289
390p,470p,0,10k,2.611k,3.3n,842158,55.6015,81.2289
390p,470p,0,10k,2.611k,4.7n,803397,55.9561,81.229
390p,470p,10,100k,1m,1f,584425,105.021,70.4452
390p,470p,10,100k,1m,470p,592522,103.358,70.4452
390p,470p,10,100k,1m,1n,594925,101.667,70.4452
390p,470p,10,100k,1m,1.5n,590591,100.403,70.4452
390p,470p,10,100k,1m,2.2n,576834,99.2357,70.4452
390p,470p,10,100k,1m,2.7n,564146,98.7629,70.4452
390p,470p,10,100k,1m,3.3n,548061,98.4746,70.4452
390p,470p,10,100k,1m,4.7n,513074,98.4566,70.4452
390p,470p,10,100k,2.611k,1f,584251,104.548,70.4452
390p,470p,10,100k,2.611k,470p,592335,102.88,70.4452
390p,470p,10,100k,2.611k,1n,594736,101.188,70.4452
390p,470p,10,100k,2.611k,1.5n,590408,99.9275,70.4452
