cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
1n,470p,10,100k,2.611k,2.2n,874965,70.4514,70.4452
1n,470p,10,100k,2.611k,2.7n,854495,70.3421,70.4452
1n,470p,10,100k,2.611k,3.3n,831538,70.6042,70.4452
1n,470p,10,100k,2.611k,4.7n,788840,71.8824,70.4452
1n,470p,10,10k,1m,1f,893662,79.7535,70.2775
1n,470p,10,10k,1m,470p,909242,76.8552,70.2775
1n,470p,10,10k,1m,1n,911625,74.0713,70.2776
1n,470p,10,10k,1m,1.5n,900649,72.3252,70.2776
1n,470p,10,10k,1m,2.2n,874486,71.2317,70.2776
1n,470p,10,10k,1m,2.7n,854232,71.0968,70.2776
1n,470p,10,10k,1m,3.3n,831457,71.3294,70.2777
1n,470p,10,10k,1m,4.7n,788972,72.5534,70.2778
1n,470p,10,10k,2.611k,1f,893318,79.0355,70.2775
1n,470p,10,10k,2.611k,470p,908876,76.1266,70.2775
1n,470p,10,10k,2.611k,1n,911258,73.3421,70.2776
1n,470p,10,10k,2.611k,1.5n,900303,71.6049,70.2776
1n,470p,10,10k,2.611k,2.2n,874183,70.5312,70.2776
1n,470p,10,10k,2.611k,2.7n,853957,70.4116,70.2776
1n,470p,10,10k,2.611k,3.3n,831212,70.6615,70.2777
1n,470p,10,10k,2.611k,4.7n,788765,71.918,70.2778
330p,560p,0,100k,1m,1f,750364,67.2724,81.3893
330p,560p,0,100k,1m,470p,758898,65.1966,81.3893
330p,560p,0,100k,1m,1n,761085,62.9575,81.3893
330p,560p,0,100k,1m,1.5n,756103,61.2061,81.3893
330p,560p,0,100k,1m,2.2n,741818,59.5151,81.3893
330p,560p,0,100k,1m,2.7n,729525,58.7873,81.3893
330p,560p,0,100k,1m,3.3n,714662,58.3038,81.3893
330p,560p,0,100k,1m,4.7n,684582,58.1378,81.3893
330p,560p,0,100k,2.611k,1f,750178,66.662,81.3893
330p,560p,0,100k,2.611k,470p,758700,64.5801,81.3893
330p,560p,0,100k,2.611k,1n,760886,62.34,81.3893
330p,560p,0,100k,2.611k,1.5n,755915,60.5927,81.3893
330p,560p,0,100k,2.611k,2.2n,741644,58.9133,81.3893
330p,560p,0,100k,2.611k,2.7n,729365,58.1951,81.3893
330p,560p,0,100k,2.611k,3.3n,714516,57.7232,81.3893
330p,560p,0,100k,2.611k,4.7n,684458,57.5808,81.3893
330p,560p,0,10k,1m,1f,749405,67.2633,81.2002
330p,560p,0,10k,1m,470p,757825,65.2111,81.2002
330p,560p,0,10k,1m,1n,760006,62.9969,81.2002
330p,560p,0,10k,1m,1.5n,755177,61.2593,81.2002
330p,560p,0,10k,1m,2.2n,741140,59.5752,81.2003
330p,560p,0,10k,1m,2.7n,729020,58.8457,81.2003
330p,560p,0,10k,1m,3.3n,714322,58.357,81.2004
330p,560p,0,10k,1m,4.7n,684470,58.1771,81.2005
330p,560p,0,10k,2.611k,1f,749220,66.6537,81.2002
330p,560p,0,10k,2.611k,470p,757632,64.5953,81.2002
330p,560p,0,10k,2.611k,1n,759807,62.3802,81.2002
330p,560p,0,10k,2.611k,1.5n,754989,60.6467,81.2002
330p,560p,0,10k,2.611k,2.2n,740971,58.9738,81.2003
330p,560p,0,10k,2.611k,2.7n,728860,58.2539,81.2003
330p,560p,0,10k,2.611k,3.3n,714176,57.7767,81.2004
330p,560p,0,10k,2.611k,4.7n,684346,57.6202,81.2005
330p,560p,10,100k,1m,1f,348661,107.876,70.4226
330p,560p,10,100k,1m,470p,350128,107.103,70.4226
330p,560p,10,100k,1m,1n,350644,106.221,70.4226
330p,560p,10,100k,1m,1.5n,350022,105.403,70.4226
330p,560p,10,100k,1m,2.2n,347505,104.324,70.4226
330p,560p,10,100k,1m,2.7n,344805,103.619,70.4226
330p,560p,10,100k,1m,3.3n,340828,102.86,70.4226
330p,560p,10,100k,1m,4.7n,330064,101.454,70.4226
330p,560p,10,100k,2.611k,1f,348629,107.59,70.4226
330p,560p,10,100k,2.611k,470p,350096,106.817,70.4226
330p,560p,10,100k,2.611k,1n,350612,105.934,70.4226
330p,560p,10,100k,2.611k,1.5n,349989,105.116,70.4226
330p,560p,10,100k,2.611k,2.2n,347474,104.039,70.4226
330p,560p,10,100k,2.611k,2.7n,344775,103.336,70.4226
330p,560p,10,100k,2.611k,3.3n,340800,102.581,70.4226
330p,560p,10,100k,2.611k,4.7n,330040,101.184,70.4226
330p,560p,10,10k,1m,1f,347928,107.86,70.2545
330p,560p,10,10k,1m,470p,349374,107.097,70.2545
330p,560p,10,10k,1m,1n,349889,106.224,70.2545
330p,560p,10,10k,1m,1.5n,349286,105.415,70.2545
330p,560p,10,10k,1m,2.2n,346824,104.348,70.2546
330p,560p,10,10k,1m,2.7n,344198,103.648,70.2546
330p,560p,10,10k,1m,3.3n,340288,102.895,70.2546
330p,560p,10,10k,1m,4.7n,329703,101.495,70.2547
330p,560p,10,10k,2.611k,1f,347896,107.575,70.2544
330p,560p,10,10k,2.611k,470p,349342,106.81,70.2545
330p,560p,10,10k,2.611k,1n,349857,105.938,70.2545
330p,560p,10,10k,2.611k,1.5n,349254,105.129,70.2545
330p,560p,10,10k,2.611k,2.2n,346793,104.064,70.2546
330p,560p,10,10k,2.611k,2.7n,344169,103.366,70.2546
330p,560p,10,10k,2.611k,3.3n,340260,102.616,70.2546
330p,560p,10,10k,2.611k,4.7n,329680,101.225,70.2547
330p,680p,0,100k,1m,1f,622015,68.1356,81.3446
330p,680p,0,100k,1m,470p,626877,66.5207,81.3446
330p,680p,0,100k,1m,1n,628344,64.7616,81.3446
330p,680p,0,100k,1m,1.5n,625912,63.3019,81.3446
330p,680p,0,100k,1m,2.2n,617787,61.7266,81.3446
330p,680p,0,100k,1m,2.7n,610136,60.9367,81.3446
330p,680p,0,100k,1m,3.3n,600175,60.3039,81.3446
330p,680p,0,100k,1m,4.7n,578085,59.7322,81.3446
330p,680p,0,100k,2.611k,1f,621908,67.6287,81.3446
330p,680p,0,100k,2.611k,470p,626767,66.0101,81.3446
330p,680p,0,100k,2.611k,1n,628234,64.2502,81.3446
330p,680p,0,100k,2.611k,1.5n,625804,62.7926,81.3446
330p,680p,0,100k,2.611k,2.2n,617685,61.2241,81.3446
330p,680p,0,100k,2.611k,2.7n,610041,60.4403,81.3446
330p,680p,0,100k,2.611k,3.3n,600088,59.8153,81.3446
330p,680p,0,100k,2.611k,4.7n,578009,59.2611,81.3446
330p,680p,0,10k,1m,1f,621241,68.1302,81.1552
330p,680p,0,10k,1m,470p,626044,66.5332,81.1552
330p,680p,0,10k,1m,1n,627514,64.7931,81.1552
330p,680p,0,10k,1m,1.5n,625148,63.3468,81.1553
330p,680p,0,10k,1m,2.2n,617171,61.7814,81.1553
330p,680p,0,10k,1m,2.7n,609646,60.9926,81.1553
330p,680p,0,10k,1m,3.3n,599815,60.3579,81.1554
330p,680p,0,10k,1m,4.7n,577927,59.7765,81.1555
330p,680p,0,10k,2.611k,1f,621135,67.6239,81.1552
330p,680p,0,10k,2.611k,470p,625935,66.0233,81.1552
330p,680p,0,10k,2.611k,1n,627404,64.2823,81.1552
330p,680p,0,10k,2.611k,1.5n,625040,62.8382,81.1553
330p,680p,0,10k,2.611k,2.2n,617069,61.2794,81.1553
330p,680p,0,10k,2.611k,2.7n,609551,60.4966,81.1553
330p,680p,0,10k,2.611k,3.3n,599728,59.8696,81.1554
330p,680p,0,10k,2.611k,4.7n,577850,59.3056,81.1555
330p,680p,10,100k,1m,1f,255011,105.597,70.3867
330p,680p,10,100k,1m,470p,255476,105.052,70.3867
330p,680p,10,100k,1m,1n,255642,104.425,70.3867
330p,680p,10,100k,1m,1.5n,255452,103.832,70.3867
330p,680p,10,100k,1m,2.2n,254644,103.014,70.3866
330p,680p,10,100k,1m,2.7n,253715,102.45,70.3866
330p,680p,10,100k,1m,3.3n,252268,101.805,70.3866
330p,680p,10,100k,1m,4.7n,247950,100.466,70.3866
330p,680p,10,100k,2.611k,1f,255001,105.388,70.3867
330p,680p,10,100k,2.611k,470p,255466,104.843,70.3867
330p,680p,10,100k,2.611k,1n,255632,104.216,70.3867
330p,680p,10,100k,2.611k,1.5n,255441,103.623,70.3867
330p,680p,10,100k,2.611k,2.2n,254634,102.805,70.3866
330p,680p,10,100k,2.611k,2.7n,253705,102.242,70.3866
330p,680p,10,100k,2.611k,3.3n,252258,101.598,70.3866
330p,680p,10,100k,2.611k,4.7n,247941,100.262,70.3866
330p,680p,10,10k,1m,1f,254575,105.576,70.2181
330p,680p,10,10k,1m,470p,255034,105.037,70.2181
330p,680p,10,10k,1m,1n,255200,104.418,70.2181
330p,680p,10,10k,1m,1.5n,255015,103.831,70.2182
330p,680p,10,10k,1m,2.2n,254224,103.022,70.2182
330p,680p,10,10k,1m,2.7n,253313,102.464,70.2182
330p,680p,10,10k,1m,3.3n,251891,101.825,70.2182
330p,680p,10,10k,1m,4.7n,247653,100.496,70.2183
330p,680p,10,10k,2.611k,1f,254565,105.368,70.2181
330p,680p,10,10k,2.611k,470p,255023,104.828,70.2181
330p,680p,10,10k,2.611k,1n,255190,104.209,70.2181
330p,680p,10,10k,2.611k,1.5n,255004,103.622,70.2182
330p,680p,10,10k,2.611k,2.2n,254214,102.814,70.2182
330p,680p,10,10k,2.611k,2.7n,253303,102.256,70.2182
330p,680p,10,10k,2.611k,3.3n,251882,101.618,70.2182
330p,680p,10,10k,2.611k,4.7n,247644,100.293,70.2183
330p,820p,0,100k,1m,1f,519581,68.7561,81.2824
330p,820p,0,100k,1m,470p,522385,67.468,81.2824
330p,820p,0,100k,1m,1n,523322,66.0564,81.2824
330p,820p,0,100k,1m,1.5n,522068,64.8425,81.2824
330p,820p,0,100k,1m,2.2n,517414,63.4321,81.2823
330p,820p,0,100k,1m,2.7n,512639,62.6544,81.2823
330p,820p,0,100k,1m,3.3n,506163,61.9534,81.2823
330p,820p,0,100k,1m,4.7n,490370,61.0993,81.2823
330p,820p,0,100k,2.611k,1f,519519,68.3321,81.2824
330p,820p,0,100k,2.611k,470p,522322,67.0418,81.2824
330p,820p,0,100k,2.611k,1n,523259,65.6297,81.2824
330p,820p,0,100k,2.611k,1.5n,522006,64.417,81.2824
330p,820p,0,100k,2.611k,2.2n,517354,63.0104,81.2823
330p,820p,0,100k,2.611k,2.7n,512583,62.2365,81.2823
330p,820p,0,100k,2.611k,3.3n,506109,61.5408,81.2823
330p,820p,0,100k,2.611k,4.7n,490322,60.6992,81.2823
330p,820p,0,10k,1m,1f,518953,68.7538,81.093
330p,820p,0,10k,1m,470p,521723,67.4798,81.093
330p,820p,0,10k,1m,1n,522660,66.0834,81.0931
330p,820p,0,10k,1m,1.5n,521441,64.8812,81.0931
330p,820p,0,10k,1m,2.2n,516876,63.4815,81.0931
330p,820p,0,10k,1m,2.7n,512188,62.7069,81.0932
330p,820p,0,10k,1m,3.3n,505799,62.007,81.0932
330p,820p,0,10k,1m,4.7n,490178,61.1473,81.0933
330p,820p,0,10k,2.611k,1f,518891,68.3303,81.093
330p,820p,0,10k,2.611k,470p,521660,67.0542,81.093
330p,820p,0,10k,2.611k,1n,522597,65.6572,81.0931
330p,820p,0,10k,2.611k,1.5n,521379,64.4562,81.0931
330p,820p,0,10k,2.611k,2.2n,516816,63.0602,81.0931
330p,820p,0,10k,2.611k,2.7n,512132,62.2893,81.0932
330p,820p,0,10k,2.611k,3.3n,505746,61.5946,81.0932
330p,820p,0,10k,2.611k,4.7n,490130,60.7474,81.0933
330p,820p,10,100k,1m,1f,196834,102.825,70.3364
330p,820p,10,100k,1m,470p,197020,102.408,70.3364
330p,820p,10,100k,1m,1n,197086,101.929,70.3364
330p,820p,10,100k,1m,1.5n,197009,101.475,70.3364
330p,820p,10,100k,1m,2.2n,196678,100.843,70.3364
330p,820p,10,100k,1m,2.7n,196291,100.399,70.3364
330p,820p,10,100k,1m,3.3n,195676,99.8795,70.3364
330p,820p,10,100k,1m,4.7n,193738,98.7464,70.3364
330p,820p,10,100k,2.611k,1f,196830,102.664,70.3364
330p,820p,10,100k,2.611k,470p,197016,102.246,70.3364
330p,820p,10,100k,2.611k,1n,197082,101.768,70.3364
330p,820p,10,100k,2.611k,1.5n,197005,101.314,70.3364
330p,820p,10,100k,2.611k,2.2n,196674,100.682,70.3364
330p,820p,10,100k,2.611k,2.7n,196287,100.238,70.3364
330p,820p,10,100k,2.611k,3.3n,195672,99.7191,70.3364
330p,820p,10,100k,2.611k,4.7n,193734,98.5876,70.3364
330p,820p,10,10k,1m,1f,196537,102.806,70.1677
330p,820p,10,10k,1m,470p,196721,102.393,70.1677
330p,820p,10,10k,1m,1n,196787,101.92,70.1677
330p,820p,10,10k,1m,1.5n,196712,101.471,70.1677
330p,820p,10,10k,1m,2.2n,196388,100.846,70.1678
330p,820p,10,10k,1m,2.7n,196009,100.407,70.1678
330p,820p,10,10k,1m,3.3n,195404,99.8922,70.1678
330p,820p,10,10k,1m,4.7n,193507,98.7693,70.1679
330p,820p,10,10k,2.611k,1f,196533,102.645,70.1677
330p,820p,10,10k,2.611k,470p,196717,102.232,70.1677
330p,820p,10,10k,2.611k,1n,196783,101.759,70.1677
330p,820p,10,10k,2.611k,1.5n,196708,101.31,70.1677
330p,820p,10,10k,2.611k,2.2n,196384,100.685,70.1678
330p,820p,10,10k,2.611k,2.7n,196005,100.246,70.1678
330p,820p,10,10k,2.611k,3.3n,195400,99.732,70.1678
330p,820p,10,10k,2.611k,4.7n,193503,98.6107,70.1679
330p,1n,0,100k,1m,1f,429795,69.2568,81.187
330p,1n,0,100k,1m,470p,431382,68.2282,81.187
330p,1n,0,100k,1m,1n,431949,67.0971,81.187
330p,1n,0,100k,1m,1.5n,431300,66.1007,81.187
330p,1n,0,100k,1m,2.2n,428688,64.8809,81.187
330p,1n,0,100k,1m,2.7n,425879,64.1564,81.187
330p,1n,0,100k,1m,3.3n,421866,63.4495,81.187
330p,1n,0,100k,1m,4.7n,411255,62.412,81.187
330p,1n,0,100k,2.611k,1f,429760,68.9057,81.187
330p,1n,0,100k,2.611k,470p,431347,67.8759,81.187
330p,1n,0,100k,2.611k,1n,431913,66.7445,81.187
330p,1n,0,100k,2.611k,1.5n,431265,65.7486,81.187
330p,1n,0,100k,2.611k,2.2n,428653,64.531,81.187
330p,1n,0,100k,2.611k,2.7n,425847,63.8087,81.187
330p,1n,0,100k,2.611k,3.3n,421835,63.1052,81.187
330p,1n,0,100k,2.611k,4.7n,411227,62.0762,81.187
330p,1n,0,10k,1m,1f,429282,69.2578,80.9984
330p,1n,0,10k,1m,470p,430850,68.2404,80.9985
330p,1n,0,10k,1m,1n,431416,67.1214,80.9985
330p,1n,0,10k,1m,1.5n,430786,66.1349,80.9985
330p,1n,0,10k,1m,2.2n,428225,64.9254,80.9985
330p,1n,0,10k,1m,2.7n,425474,64.205,80.9986
330p,1n,0,10k,1m,3.3n,421521,63.5011,80.9986
330p,1n,0,10k,1m,4.7n,411042,62.4624,80.9987
330p,1n,0,10k,2.611k,1f,429247,68.9071,80.9984
330p,1n,0,10k,2.611k,470p,430814,67.8885,80.9985
330p,1n,0,10k,2.611k,1n,431380,66.7691,80.9985
330p,1n,0,10k,2.611k,1.5n,430751,65.7832,80.9985
330p,1n,0,10k,2.611k,2.2n,428191,64.5759,80.9985
330p,1n,0,10k,2.611k,2.7n,425442,63.8577,80.9986
330p,1n,0,10k,2.611k,3.3n,421489,63.157,80.9986
330p,1n,0,10k,2.611k,4.7n,411014,62.1267,80.9987
330p,1n,10,100k,1m,1f,153837,100.004,70.2592
330p,1n,10,100k,1m,470p,153916,99.6779,70.2592
330p,1n,10,100k,1m,1n,153943,99.3064,70.2592
330p,1n,10,100k,1m,1.5n,153909,98.9543,70.2592
330p,1n,10,100k,1m,2.2n,153765,98.4624,70.2592
330p,1n,10,100k,1m,2.7n,153595,98.1142,70.2592
330p,1n,10,100k,1m,3.3n,153323,97.7023,70.2592
330p,1n,10,100k,1m,4.7n,152421,96.7802,70.2591
330p,1n,10,100k,2.611k,1f,153835,99.8783,70.2592
330p,1n,10,100k,2.611k,470p,153914,99.5518,70.2592
330p,1n,10,100k,2.611k,1n,153941,99.1802,70.2592
330p,1n,10,100k,2.611k,1.5n,153907,98.8282,70.2592
330p,1n,10,100k,2.611k,2.2n,153763,98.3364,70.2592
330p,1n,10,100k,2.611k,2.7n,153594,97.9883,70.2592
330p,1n,10,100k,2.611k,3.3n,153321,97.5767,70.2592
330p,1n,10,100k,2.611k,4.7n,152419,96.6553,70.2591
330p,1n,10,10k,1m,1f,153628,99.9886,70.0907
330p,1n,10,10k,1m,470p,153706,99.6657,70.0908
330p,1n,10,10k,1m,1n,153733,99.2982,70.0908
330p,1n,10,10k,1m,1.5n,153700,98.9499,70.0908
330p,1n,10,10k,1m,2.2n,153559,98.4634,70.0909
330p,1n,10,10k,1m,2.7n,153393,98.1188,70.0909
330p,1n,10,10k,1m,3.3n,153125,97.7112,70.0909
330p,1n,10,10k,1m,4.7n,152239,96.7981,70.091
330p,1n,10,10k,2.611k,1f,153626,99.8626,70.0907
330p,1n,10,10k,2.611k,470p,153704,99.5397,70.0908
330p,1n,10,10k,2.611k,1n,153732,99.1722,70.0908
330p,1n,10,10k,2.611k,1.5n,153698,98.824,70.0908
330p,1n,10,10k,2.611k,2.2n,153557,98.3375,70.0909
330p,1n,10,10k,2.611k,2.7n,153391,97.9931,70.0909
330p,1n,10,10k,2.611k,3.3n,153124,97.5858,70.0909
330p,1n,10,10k,2.611k,4.7n,152237,96.6734,70.091
