pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,812162,66.7089,81.2044
1,10k,47p,813586,66.4782,81.2044
1,10k,100p,815135,66.2157,81.2044
1,10k,220p,818313,65.6158,81.2044
1,10k,470p,823311,64.3629,81.2044
1,10k,1n,825876,61.8899,81.2045
1,10k,1.5n,819158,60.0508,81.2045
1,10k,2.2n,801038,58.4269,81.2045
1,10k,2.7n,786014,57.819,81.2046
1,10k,3.3n,768422,57.4978,81.2046
1,10k,4.7n,734107,57.6675,81.2047
2,10k,1f,812162,66.7089,81.2044
2,10k,47p,813634,66.4761,81.2044
2,10k,100p,815317,66.2112,81.2044
2,10k,220p,819146,65.6039,81.2044
2,10k,470p,827186,64.3047,81.2044
2,10k,1n,844797,61.3807,81.2044
2,10k,1.5n,861937,58.3982,81.2044
2,10k,2.2n,886174,53.8438,81.2043
2,10k,2.7n,903014,50.3296,81.2043
2,10k,3.3n,921374,45.8927,81.2043
2,10k,4.7n,947226,35.4901,81.2043
1,50k,1f,813115,66.7147,81.3717
1,50k,47p,814575,66.4813,81.3717
1,50k,100p,816142,66.216,81.3717
1,50k,220p,819358,65.6101,81.3717
1,50k,470p,824409,64.3442,81.3717
1,50k,1n,826951,61.8473,81.3717
1,50k,1.5n,820081,59.9954,81.3717
1,50k,2.2n,801671,58.3691,81.3717
1,50k,2.7n,786468,57.7649,81.3717
1,50k,3.3n,768715,57.4502,81.3717
1,50k,4.7n,734190,57.6343,81.3717
2,50k,1f,813115,66.7147,81.3717
2,50k,47p,814612,66.4809,81.3717
2,50k,100p,816304,66.2154,81.3717
2,50k,220p,820151,65.6065,81.3717
2,50k,470p,828231,64.3039,81.3717
2,50k,1n,845968,61.3703,81.3717
2,50k,1.5n,863246,58.3763,81.3717
2,50k,2.2n,887682,53.8018,81.3716
2,50k,2.7n,904691,50.2688,81.3716
2,50k,3.3n,923238,45.806,81.3716
2,50k,4.7n,949248,35.3488,81.3716
