mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.465E-10,3.135E-10,46.53,2.611k,100k,4.2n,61.6909
0,4.465E-10,3.135E-10,46.53,2.611k,100k,4.7n,61.9315
0,4.465E-10,3.135E-10,46.53,2.611k,10k,2n,62.1167
0,4.465E-10,3.135E-10,46.53,2.611k,10k,2.3n,61.7862
0,4.465E-10,3.135E-10,46.53,2.611k,10k,2.5n,61.6414
0,4.465E-10,3.135E-10,46.53,2.611k,10k,2.7n,61.5433
0,4.465E-10,3.135E-10,46.53,2.611k,10k,2.9n,61.4865
0,4.465E-10,3.135E-10,46.53,2.611k,10k,3.1n,61.4645
0,4.465E-10,3.135E-10,46.53,2.611k,10k,3.3n,61.4684
0,4.465E-10,3.135E-10,46.53,2.611k,10k,3.5n,61.4964
0,4.465E-10,3.135E-10,46.53,2.611k,10k,3.8n,61.5734
0,4.465E-10,3.135E-10,46.53,2.611k,10k,4.2n,61.722
0,4.465E-10,3.135E-10,46.53,2.611k,10k,4.7n,61.9582
0,4.465E-10,3.135E-10,47.47,2.5k,100k,2n,62.1695
0,4.465E-10,3.135E-10,47.47,2.5k,100k,2.3n,61.8587
0,4.465E-10,3.135E-10,47.47,2.5k,100k,2.5n,61.7266
0,4.465E-10,3.135E-10,47.47,2.5k,100k,2.7n,61.6404
0,4.465E-10,3.135E-10,47.47,2.5k,100k,2.9n,61.5947
0,4.465E-10,3.135E-10,47.47,2.5k,100k,3.1n,61.5829
0,4.465E-10,3.135E-10,47.47,2.5k,100k,3.3n,61.5962
0,4.465E-10,3.135E-10,47.47,2.5k,100k,3.5n,61.6327
0,4.465E-10,3.135E-10,47.47,2.5k,100k,3.8n,61.7208
0,4.465E-10,3.135E-10,47.47,2.5k,100k,4.2n,61.8816
0,4.465E-10,3.135E-10,47.47,2.5k,100k,4.7n,62.1292
0,4.465E-10,3.135E-10,47.47,2.5k,10k,2n,62.224
0,4.465E-10,3.135E-10,47.47,2.5k,10k,2.3n,61.9103
0,4.465E-10,3.135E-10,47.47,2.5k,10k,2.5n,61.7761
0,4.465E-10,3.135E-10,47.47,2.5k,10k,2.7n,61.6874
0,4.465E-10,3.135E-10,47.47,2.5k,10k,2.9n,61.6394
0,4.465E-10,3.135E-10,47.47,2.5k,10k,3.1n,61.625
0,4.465E-10,3.135E-10,47.47,2.5k,10k,3.3n,61.636
0,4.465E-10,3.135E-10,47.47,2.5k,10k,3.5n,61.6703
0,4.465E-10,3.135E-10,47.47,2.5k,10k,3.8n,61.7551
0,4.465E-10,3.135E-10,47.47,2.5k,10k,4.2n,61.9119
0,4.465E-10,3.135E-10,47.47,2.5k,10k,4.7n,62.1552
