ldr,rs_ohm,pos,mode,att,rsrc,onoise_uv
nessuna,1m,0,0db,max,1.5,1.65846
nessuna,1m,0,0db,max,430,1.70061
nessuna,1m,0,0db,mid,1.5,1.59625
nessuna,1m,0,0db,mid,430,1.60724
nessuna,1m,0,3db,max,1.5,2.28571
nessuna,1m,0,3db,max,430,2.34721
nessuna,1m,0,3db,mid,1.5,2.19478
nessuna,1m,0,3db,mid,430,2.21087
nessuna,1m,0,10db,max,1.5,4.85476
nessuna,1m,0,10db,max,430,4.99601
nessuna,1m,0,10db,mid,1.5,4.64536
nessuna,1m,0,10db,mid,430,4.68247
nessuna,1m,6,0db,max,1.5,1.36615
nessuna,1m,6,0db,max,430,1.37909
nessuna,1m,6,0db,mid,1.5,1.52583
nessuna,1m,6,0db,mid,430,1.52872
nessuna,1m,6,3db,max,1.5,1.85618
nessuna,1m,6,3db,max,430,1.87535
nessuna,1m,6,3db,mid,1.5,2.09157
nessuna,1m,6,3db,mid,430,2.09582
nessuna,1m,6,10db,max,1.5,3.85757
nessuna,1m,6,10db,max,430,3.90258
nessuna,1m,6,10db,mid,1.5,4.40668
nessuna,1m,6,10db,mid,430,4.41654
nessuna,1m,12,0db,max,1.5,1.25701
nessuna,1m,12,0db,max,430,1.26061
nessuna,1m,12,0db,mid,1.5,1.50229
nessuna,1m,12,0db,mid,430,1.50304
nessuna,1m,12,3db,max,1.5,1.69393
nessuna,1m,12,3db,max,430,1.6993
nessuna,1m,12,3db,mid,1.5,2.057
nessuna,1m,12,3db,mid,430,2.0581
nessuna,1m,12,10db,max,1.5,3.47388
nessuna,1m,12,10db,max,430,3.48667
nessuna,1m,12,10db,mid,1.5,4.32651
nessuna,1m,12,10db,mid,430,4.32907
curvab,88.3,0,0db,max,1.5,1.66724
curvab,88.3,0,0db,max,430,1.70917
curvab,88.3,0,0db,mid,1.5,1.59852
curvab,88.3,0,0db,mid,430,1.6095
curvab,88.3,0,3db,max,1.5,2.29852
curvab,88.3,0,3db,max,430,2.35968
curvab,88.3,0,3db,mid,1.5,2.1981
curvab,88.3,0,3db,mid,430,2.21417
curvab,88.3,0,10db,max,1.5,4.88421
curvab,88.3,0,10db,max,430,5.02461
curvab,88.3,0,10db,mid,1.5,4.65303
curvab,88.3,0,10db,mid,430,4.69007
curvab,88.3,6,0db,max,1.5,1.36882
curvab,88.3,6,0db,max,430,1.38175
curvab,88.3,6,0db,mid,1.5,1.52642
curvab,88.3,6,0db,mid,430,1.52932
curvab,88.3,6,3db,max,1.5,1.86031
curvab,88.3,6,3db,max,430,1.87927
curvab,88.3,6,3db,mid,1.5,2.09244
curvab,88.3,6,3db,mid,430,2.09669
curvab,88.3,6,10db,max,1.5,3.86689
curvab,88.3,6,10db,max,430,3.91179
curvab,88.3,6,10db,mid,1.5,4.40872
curvab,88.3,6,10db,mid,430,4.41856
curvab,88.3,12,0db,max,1.5,1.25776
curvab,88.3,12,0db,max,430,1.26135
curvab,88.3,12,0db,mid,1.5,1.50245
curvab,88.3,12,0db,mid,430,1.5032
curvab,88.3,12,3db,max,1.5,1.69503
curvab,88.3,12,3db,max,430,1.7004
curvab,88.3,12,3db,mid,1.5,2.05723
curvab,88.3,12,3db,mid,430,2.05833
curvab,88.3,12,10db,max,1.5,3.47652
curvab,88.3,12,10db,max,430,3.4893
curvab,88.3,12,10db,mid,1.5,4.32703
curvab,88.3,12,10db,mid,430,4.32959
curvad,118,0,0db,max,1.5,1.67018
curvad,118,0,0db,max,430,1.71203
curvad,118,0,0db,mid,1.5,1.59928
curvad,118,0,0db,mid,430,1.61026
curvad,118,0,3db,max,1.5,2.30281
curvad,118,0,3db,max,430,2.36386
curvad,118,0,3db,mid,1.5,2.19922
curvad,118,0,3db,mid,430,2.21527
curvad,118,0,10db,max,1.5,4.89408
curvad,118,0,10db,max,430,5.03419
curvad,118,0,10db,mid,1.5,4.65561
curvad,118,0,10db,mid,430,4.69263
curvad,118,6,0db,max,1.5,1.36972
curvad,118,6,0db,max,430,1.38264
curvad,118,6,0db,mid,1.5,1.52662
curvad,118,6,0db,mid,430,1.52952
curvad,118,6,3db,max,1.5,1.86148
curvad,118,6,3db,max,430,1.88059
curvad,118,6,3db,mid,1.5,2.09274
curvad,118,6,3db,mid,430,2.09698
curvad,118,6,10db,max,1.5,3.87002
curvad,118,6,10db,max,430,3.91488
curvad,118,6,10db,mid,1.5,4.4094
curvad,118,6,10db,mid,430,4.41924
curvad,118,12,0db,max,1.5,1.25801
curvad,118,12,0db,max,430,1.2616
curvad,118,12,0db,mid,1.5,1.5025
curvad,118,12,0db,mid,430,1.50325
curvad,118,12,3db,max,1.5,1.69541
curvad,118,12,3db,max,430,1.70077
curvad,118,12,3db,mid,1.5,2.05731
curvad,118,12,3db,mid,430,2.05841
curvad,118,12,10db,max,1.5,3.47741
curvad,118,12,10db,max,430,3.49018
curvad,118,12,10db,mid,1.5,4.32721
curvad,118,12,10db,mid,430,4.32977
