lato,mode,hmax,hint_v,ea_max_nv
serie_lato_sorgente,0db,9.41597E-08,7.68887E-06,1.30058E+08
serie_lato_sorgente,10db,2.92067E-07,2.40005E-05,4.16658E+07
nodo_ain,0db,5.6384E-06,0.000460419,2.17193E+06
nodo_ain,10db,1.74894E-05,0.00143718,695807
