carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,704932,74.0904,80.3043
1,1m,47p,706153,73.8883,80.3043
1,1m,100p,707535,73.6589,80.3043
1,1m,220p,710753,73.1309,80.3043
1,1m,470p,717556,72.001,80.3043
1,1m,1n,732490,69.4607,80.3043
1,1m,2.2n,768699,62.8782,80.3042
1,1m,4.7n,835576,45.7416,80.3042
1,430,1f,704922,73.9949,80.3043
1,430,47p,706143,73.7927,80.3043
1,430,100p,707525,73.5631,80.3043
1,430,220p,710743,73.0347,80.3043
1,430,470p,717545,71.9039,80.3043
1,430,1n,732479,69.3616,80.3043
1,430,2.2n,768684,62.7745,80.3042
1,430,4.7n,835558,45.6294,80.3042
2,1m,1f,704344,74.0933,80.2022
2,1m,47p,705561,73.8916,80.2022
2,1m,100p,706938,73.6626,80.2022
2,1m,220p,710129,73.1361,80.2022
2,1m,470p,716908,72.0084,80.2022
2,1m,1n,731769,69.4742,80.2022
2,1m,2.2n,767773,62.9119,80.2022
2,1m,4.7n,834230,45.8483,80.2021
2,430,1f,704334,73.9979,80.2022
2,430,47p,705552,73.7961,80.2022
2,430,100p,706928,73.5669,80.2022
2,430,220p,710119,73.04,80.2022
2,430,470p,716898,71.9114,80.2022
2,430,1n,731757,69.3753,80.2022
2,430,2.2n,767759,62.8082,80.2022
2,430,4.7n,834212,45.7363,80.2021
