variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
seg_diodo,1m,1f,873292,66.5631,81.7053
seg_diodo,1m,470p,887006,63.9698,81.7053
seg_diodo,1m,1n,889684,61.2146,81.7053
seg_diodo,1m,1.5n,880849,59.202,81.7053
seg_diodo,1m,2.2n,858648,57.4932,81.7053
seg_diodo,1m,2.7n,841089,56.8831,81.7053
seg_diodo,1m,3.3n,821170,56.5807,81.7052
seg_diodo,1m,4.7n,783765,56.7979,81.7052
seg_diodo,2.611k,1f,872999,65.8564,81.7053
seg_diodo,2.611k,470p,886695,63.2533,81.7053
seg_diodo,2.611k,1n,889374,60.4972,81.7053
seg_diodo,2.611k,1.5n,880554,58.4922,81.7053
seg_diodo,2.611k,2.2n,858388,56.8006,81.7053
seg_diodo,2.611k,2.7n,840852,56.204,81.7053
seg_diodo,2.611k,3.3n,820955,55.917,81.7052
seg_diodo,2.611k,4.7n,783582,56.1632,81.7052
