mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,759155,69.4729,79.6571,100k
0db,1m,1,47p,760261,69.2689,79.6571,100k
0db,1m,1,100p,761447,69.0368,79.6571,100k
0db,1m,1,220p,763880,68.5052,79.6571,100k
0db,1m,1,470p,767716,67.3855,79.6571,100k
0db,1m,1,1n,769840,65.1081,79.6571,100k
0db,1m,1,1.5n,764900,63.3012,79.6571,100k
0db,1m,1,2.2n,750802,61.5246,79.6571,100k
0db,1m,1,2.7n,738615,60.7439,79.6571,100k
0db,1m,1,3.3n,723944,60.2056,79.6571,100k
0db,1m,1,4.7n,694378,59.9516,79.6571,100k
0db,1m,2,1f,759155,69.4729,79.6571,100k
0db,1m,2,47p,760287,69.2689,79.6571,100k
0db,1m,2,100p,761566,69.0375,79.6571,100k
0db,1m,2,220p,764465,68.5079,79.6571,100k
0db,1m,2,470p,770519,67.3794,79.6571,100k
0db,1m,2,1n,783552,64.8674,79.657,100k
0db,1m,2,1.5n,795913,62.3449,79.657,100k
0db,1m,2,2.2n,813049,58.558,79.657,100k
0db,1m,2,2.7n,824825,55.677,79.657,100k
0db,1m,2,3.3n,837638,52.0674,79.657,100k
0db,1m,2,4.7n,857974,43.394,79.657,100k
0db,1k,1,1f,759118,69.2343,79.6571,100k
0db,1k,1,47p,760224,69.0299,79.6571,100k
0db,1k,1,100p,761410,68.7975,79.6571,100k
0db,1k,1,220p,763842,68.2652,79.6571,100k
0db,1k,1,470p,767678,67.1444,79.6571,100k
0db,1k,1,1n,769802,64.8664,79.6571,100k
0db,1k,1,1.5n,764863,63.0611,79.6571,100k
0db,1k,1,2.2n,750770,61.2889,79.6571,100k
0db,1k,1,2.7n,738585,60.5119,79.6571,100k
0db,1k,1,3.3n,723917,59.9782,79.6571,100k
0db,1k,1,4.7n,694354,59.7334,79.6571,100k
0db,1k,2,1f,759118,69.2343,79.6571,100k
0db,1k,2,47p,760250,69.03,79.6571,100k
0db,1k,2,100p,761528,68.7981,79.6571,100k
0db,1k,2,220p,764427,68.2677,79.6571,100k
0db,1k,2,470p,770480,67.1374,79.6571,100k
0db,1k,2,1n,783510,64.6215,79.657,100k
0db,1k,2,1.5n,795868,62.0952,79.657,100k
0db,1k,2,2.2n,812999,58.3034,79.657,100k
0db,1k,2,2.7n,824774,55.419,79.657,100k
0db,1k,2,3.3n,837582,51.8058,79.657,100k
0db,1k,2,4.7n,857916,43.1269,79.657,100k
0db,2.5k,1,1f,758987,68.8792,79.6571,100k
0db,2.5k,1,47p,760092,68.6744,79.6571,100k
0db,2.5k,1,100p,761277,68.4415,79.6571,100k
0db,2.5k,1,220p,763708,67.9081,79.6571,100k
0db,2.5k,1,470p,767542,66.7858,79.6571,100k
0db,2.5k,1,1n,769666,64.5073,79.6571,100k
0db,2.5k,1,1.5n,764732,62.7045,79.6571,100k
0db,2.5k,1,2.2n,750652,60.9389,79.6571,100k
0db,2.5k,1,2.7n,738476,60.1673,79.6571,100k
0db,2.5k,1,3.3n,723818,59.6402,79.6571,100k
0db,2.5k,1,4.7n,694268,59.4087,79.6571,100k
0db,2.5k,2,1f,758987,68.8792,79.6571,100k
