carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,641457,73.2433,80.2548
1,1m,47p,642385,73.0581,80.2548
1,1m,100p,643435,72.8482,80.2548
1,1m,220p,645820,72.3683,80.2548
1,1m,470p,650935,71.344,80.2548
1,1m,1n,661900,69.0772,80.2548
1,1m,2.2n,687624,63.4082,80.2547
1,1m,4.7n,734765,49.537,80.2547
1,430,1f,641448,73.1567,80.2548
1,430,47p,642377,72.9714,80.2548
1,430,100p,643426,72.7614,80.2548
1,430,220p,645812,72.2811,80.2548
1,430,470p,650926,71.2563,80.2548
1,430,1n,661890,68.9879,80.2548
1,430,2.2n,687612,63.3157,80.2547
1,430,4.7n,734751,49.4386,80.2547
2,1m,1f,640941,73.2507,80.1536
2,1m,47p,641867,73.0659,80.1536
2,1m,100p,642913,72.8563,80.1536
2,1m,220p,645287,72.3774,80.1536
2,1m,470p,650375,71.3554,80.1536
2,1m,1n,661288,69.0936,80.1536
2,1m,2.2n,686897,63.4391,80.1535
2,1m,4.7n,733782,49.6146,80.1535
2,430,1f,640933,73.1642,80.1536
2,430,47p,641859,72.9793,80.1536
2,430,100p,642904,72.7695,80.1536
2,430,220p,645278,72.2903,80.1536
2,430,470p,650366,71.2677,80.1536
2,430,1n,661278,69.0045,80.1536
2,430,2.2n,686886,63.3466,80.1535
2,430,4.7n,733768,49.5162,80.1535
