mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,750364,67.2724,81.3893,100k
0db,1m,1,47p,751465,67.0684,81.3893,100k
0db,1m,1,100p,752646,66.8366,81.3893,100k
0db,1m,1,220p,755069,66.307,81.3893,100k
0db,1m,1,470p,758898,65.1966,81.3893,100k
0db,1m,1,1n,761085,62.9575,81.3893,100k
0db,1m,1,1.5n,756103,61.2061,81.3893,100k
0db,1m,1,2.2n,741818,59.5151,81.3893,100k
0db,1m,1,2.7n,729525,58.7873,81.3893,100k
0db,1m,1,3.3n,714662,58.3038,81.3893,100k
0db,1m,1,4.7n,684582,58.1378,81.3893,100k
0db,1m,2,1f,750364,67.2724,81.3893,100k
0db,1m,2,47p,751492,67.0683,81.3893,100k
0db,1m,2,100p,752765,66.8367,81.3893,100k
0db,1m,2,220p,755651,66.307,81.3893,100k
0db,1m,2,470p,761765,65.1767,81.3893,100k
0db,1m,2,1n,774917,62.6621,81.3893,100k
0db,1m,2,1.5n,787540,60.1338,81.3893,100k
0db,1m,2,2.2n,805007,56.3432,81.3892,100k
0db,1m,2,2.7n,816947,53.4669,81.3892,100k
0db,1m,2,3.3n,830072,49.8635,81.3892,100k
0db,1m,2,4.7n,851103,41.2371,81.3892,100k
0db,1k,1,1f,750325,67.0373,81.3893,100k
0db,1k,1,47p,751426,66.8329,81.3893,100k
0db,1k,1,100p,752607,66.6008,81.3893,100k
0db,1k,1,220p,755029,66.0705,81.3893,100k
0db,1k,1,470p,758857,64.959,81.3893,100k
0db,1k,1,1n,761044,62.7194,81.3893,100k
0db,1k,1,1.5n,756064,60.9695,81.3893,100k
0db,1k,1,2.2n,741782,59.283,81.3893,100k
0db,1k,1,2.7n,729492,58.559,81.3893,100k
0db,1k,1,3.3n,714632,58.08,81.3893,100k
0db,1k,1,4.7n,684556,57.9233,81.3893,100k
0db,1k,2,1f,750325,67.0373,81.3893,100k
0db,1k,2,47p,751453,66.8329,81.3893,100k
0db,1k,2,100p,752726,66.6009,81.3893,100k
0db,1k,2,220p,755611,66.0704,81.3893,100k
0db,1k,2,470p,761723,64.9382,81.3893,100k
0db,1k,2,1n,774872,62.4197,81.3893,100k
0db,1k,2,1.5n,787491,59.8877,81.3893,100k
0db,1k,2,2.2n,804953,56.092,81.3892,100k
0db,1k,2,2.7n,816889,53.2125,81.3892,100k
0db,1k,2,3.3n,830011,49.6054,81.3892,100k
0db,1k,2,4.7n,851037,40.9735,81.3892,100k
0db,2.5k,1,1f,750192,66.6878,81.3893,100k
0db,2.5k,1,47p,751292,66.4829,81.3893,100k
0db,2.5k,1,100p,752472,66.2503,81.3893,100k
0db,2.5k,1,220p,754892,65.7189,81.3893,100k
0db,2.5k,1,470p,758714,64.6061,81.3893,100k
0db,2.5k,1,1n,760900,62.366,81.3893,100k
0db,2.5k,1,1.5n,755928,60.6185,81.3893,100k
0db,2.5k,1,2.2n,741657,58.9386,81.3893,100k
0db,2.5k,1,2.7n,729377,58.2201,81.3893,100k
0db,2.5k,1,3.3n,714527,57.7477,81.3893,100k
0db,2.5k,1,4.7n,684467,57.6043,81.3893,100k
0db,2.5k,2,1f,750192,66.6878,81.3893,100k
0db,2.5k,2,47p,751318,66.4828,81.3893,100k
0db,2.5k,2,100p,752590,66.2503,81.3893,100k
0db,2.5k,2,220p,755474,65.7186,81.3893,100k
0db,2.5k,2,470p,761578,64.584,81.3893,100k
