cablaggio,f_hz,rj1,blk,icmax_q132,icmin_q132,icmax_q133,icmin_q133,classe_a,vpk_outa,vpk_j2,irms_rsep1
1,1000,470k,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80204,3.81031,1.14955E-05
1,1000,470k,f1,0.0203191,0.0202224,-0.0203107,-0.020449,1,3.80204,3.81031,1.14955E-05
1,1000,470k,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80204,3.81031,1.14955E-05
1,1000,10k,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80204,3.8103,0.000274621
1,1000,10k,f1,0.0205022,0.0200372,-0.0202643,-0.0204958,1,3.80204,3.8103,0.000274621
1,1000,10k,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80204,3.8103,0.000274621
1,1000,1k,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80198,3.81024,0.00258245
1,1000,1k,f1,0.0220959,0.0183948,-0.0186676,-0.0221464,1,3.80198,3.81024,0.00258245
1,1000,1k,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80198,3.81024,0.00258245
1,1000,100,a,0.0205028,0.0200367,-0.0202639,-0.0204972,1,3.80168,3.81006,0.0178973
1,1000,100,f1,0.0331198,0.00796409,-0.00816549,-0.0331846,1,3.80168,3.81006,0.0178973
1,1000,100,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80168,3.81006,0.0178973
1,1000,47,a,0.0205028,0.0200366,-0.0202639,-0.0204972,1,3.80195,3.8103,0.0270216
1,1000,47,f1,0.040229,0.00231892,-0.00246727,-0.0403234,1,3.80195,3.8103,0.0270216
1,1000,47,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80195,3.8103,0.0270216
1,1000,22,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80207,3.8104,0.0351215
1,1000,22,f1,0.0491318,1.8028E-05,-2.46435E-05,-0.0494038,1,3.80207,3.8104,0.0351215
1,1000,22,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80207,3.8104,0.0351215
1,1000,10,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80209,3.81042,0.0407153
1,1000,10,f1,0.0569335,4.99965E-07,-5.88044E-07,-0.0572569,1,3.80209,3.81042,0.0407153
1,1000,10,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80209,3.81042,0.0407153
1,1000,1,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80211,3.81043,0.0459538
1,1000,1,f1,0.0642561,-1.63149E-08,-2.29396E-08,-0.0646219,0,3.80211,3.81043,0.0459538
1,1000,1,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80211,3.81043,0.0459538
1,1000,0.01,a,0.0205028,0.0200366,-0.020264,-0.0204972,1,3.80211,3.81043,0.0465934
1,1000,0.01,f1,0.0651552,-4.72901E-08,1.11327E-08,-0.0655262,0,3.80211,3.81043,0.0465934
1,1000,0.01,f2,0.0203527,0.0201885,-0.0203445,-0.0204163,1,3.80211,3.81043,0.0465934
1,20000,470k,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.8031,3.81562,1.14891E-05
1,20000,470k,f1,0.0203234,0.0202223,-0.0202959,-0.0204691,1,3.8031,3.81562,1.14891E-05
1,20000,470k,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.8031,3.81562,1.14891E-05
1,20000,10k,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80311,3.81562,0.000274472
1,20000,10k,f1,0.0205033,0.0200375,-0.020258,-0.0205161,1,3.80311,3.81562,0.000274472
1,20000,10k,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80311,3.81562,0.000274472
1,20000,1k,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80316,3.81564,0.00258426
1,20000,1k,f1,0.0221194,0.0184159,-0.0186434,-0.0221265,1,3.80316,3.81564,0.00258426
1,20000,1k,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80316,3.81564,0.00258426
1,20000,100,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80332,3.81569,0.0183594
1,20000,100,f1,0.0334395,0.00761673,-0.00787929,-0.0335712,1,3.80332,3.81569,0.0183594
1,20000,100,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80332,3.81569,0.0183594
1,20000,47,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80335,3.81569,0.0286893
1,20000,47,f1,0.0416308,0.00137476,-0.00161952,-0.0419448,1,3.80335,3.81569,0.0286893
1,20000,47,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80335,3.81569,0.0286893
1,20000,22,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80342,3.81569,0.0390279
1,20000,22,f1,0.0544229,-1.01102E-05,8.1085E-06,-0.0553217,0,3.80342,3.81569,0.0390279
1,20000,22,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80342,3.81569,0.0390279
1,20000,10,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80345,3.81568,0.0471568
1,20000,10,f1,0.0657355,-2.29238E-05,2.13834E-05,-0.0670964,0,3.80345,3.81568,0.0471568
1,20000,10,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80345,3.81568,0.0471568
1,20000,1,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80347,3.81567,0.0558766
1,20000,1,f1,0.0778336,-3.01947E-05,2.72935E-05,-0.0798849,0,3.80347,3.81567,0.0558766
1,20000,1,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80347,3.81567,0.0558766
1,20000,0.01,a,0.0205032,0.0200366,-0.0202584,-0.0205176,1,3.80347,3.81567,0.057036
1,20000,0.01,f1,0.0794397,-3.09151E-05,2.78564E-05,-0.0815969,0,3.80347,3.81567,0.057036
1,20000,0.01,f2,0.0203546,0.0201884,-0.0203243,-0.0204535,1,3.80347,3.81567,0.057036
2,1000,470k,a,0.0205525,0.0199866,-0.0202139,-0.0205471,1,3.80205,3.81075,1.14967E-05
2,1000,470k,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80205,3.81075,1.14967E-05
2,1000,470k,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80205,3.81075,1.14967E-05
2,1000,10k,a,0.0207358,0.0198015,-0.0200294,-0.0207323,1,3.80205,3.81075,0.000274657
2,1000,10k,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80205,3.81075,0.000274657
2,1000,10k,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80205,3.81075,0.000274657
2,1000,1k,a,0.0223308,0.0181604,-0.0184338,-0.0223843,1,3.802,3.8107,0.00258305
2,1000,1k,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.802,3.8107,0.00258305
2,1000,1k,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.802,3.8107,0.00258305
2,1000,100,a,0.0333632,0.00774639,-0.00794843,-0.033431,1,3.80173,3.81042,0.0178896
2,1000,100,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80173,3.81042,0.0178896
2,1000,100,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80173,3.81042,0.0178896
2,1000,47,a,0.0404992,0.00214584,-0.00229264,-0.0405993,1,3.80153,3.81019,0.0270242
2,1000,47,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80153,3.81019,0.0270242
2,1000,47,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80153,3.81019,0.0270242
2,1000,22,a,0.0495527,1.34867E-05,-1.85084E-05,-0.0498321,1,3.80186,3.81058,0.0351371
2,1000,22,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80186,3.81058,0.0351371
2,1000,22,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80186,3.81058,0.0351371
2,1000,10,a,0.0573399,4.4046E-07,-5.21641E-07,-0.0576691,1,3.80248,3.81118,0.0407361
2,1000,10,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80248,3.81118,0.0407361
2,1000,10,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80248,3.81118,0.0407361
2,1000,1,a,0.0646443,-4.04345E-08,-3.96851E-11,-0.0650158,0,3.80276,3.81143,0.0459601
2,1000,1,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80276,3.81143,0.0459601
2,1000,1,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.80276,3.81143,0.0459601
2,1000,0.01,a,0.0655404,-7.03312E-08,3.49766E-08,-0.0659171,0,3.8028,3.81146,0.0466
2,1000,0.01,f1,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.8028,3.81146,0.0466
2,1000,0.01,f2,0.0203111,0.0202305,-0.0203026,-0.0204571,1,3.8028,3.81146,0.0466
2,20000,470k,a,0.0205529,0.0199866,-0.0202095,-0.0205613,1,3.8031,3.81438,1.14878E-05
2,20000,470k,f1,0.0203167,0.0202303,-0.0202887,-0.0204745,1,3.8031,3.81438,1.14878E-05
2,20000,470k,f2,0.0203167,0.0202303,-0.0202887,-0.0204745,1,3.8031,3.81438,1.14878E-05
2,20000,10k,a,0.0207366,0.019802,-0.0200263,-0.0207382,1,3.80309,3.81437,0.000274443
