pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,662102,69.7411,81.4544
1,10k,47p,663069,69.5521,81.4544
1,10k,100p,664116,69.3378,81.4544
1,10k,220p,666307,68.8485,81.4544
1,10k,470p,669992,67.8225,81.4544
1,10k,1n,673404,65.7275,81.4544
1,10k,1.5n,671162,64.0218,81.4545
1,10k,2.2n,661296,62.27,81.4545
1,10k,2.7n,651736,61.4544,81.4545
1,10k,3.3n,639379,60.8592,81.4546
1,10k,4.7n,612481,60.4883,81.4547
2,10k,1f,662102,69.7411,81.4544
2,10k,47p,663097,69.5504,81.4544
2,10k,100p,664220,69.3342,81.4544
2,10k,220p,666773,68.8396,81.4544
2,10k,470p,672123,67.787,81.4544
2,10k,1n,683781,65.4455,81.4544
2,10k,1.5n,695040,63.0949,81.4543
2,10k,2.2n,711095,59.559,81.4543
2,10k,2.7n,722499,56.8595,81.4543
2,10k,3.3n,735761,53.4393,81.4543
2,10k,4.7n,760884,45.0025,81.4542
1,50k,1f,662917,69.7465,81.6381
1,50k,47p,663896,69.5556,81.6381
1,50k,100p,664955,69.3391,81.6381
1,50k,220p,667173,68.8448,81.6381
1,50k,470p,670899,67.8081,81.6381
1,50k,1n,674324,65.6921,81.6381
1,50k,1.5n,672009,63.972,81.6381
1,50k,2.2n,661966,62.2115,81.6381
1,50k,2.7n,652260,61.3964,81.6381
1,50k,3.3n,639757,60.8049,81.6381
1,50k,4.7n,612638,60.4464,81.6381
2,50k,1f,662917,69.7465,81.6381
2,50k,47p,663916,69.5553,81.6381
2,50k,100p,665046,69.3385,81.6381
2,50k,220p,667611,68.8427,81.6381
2,50k,470p,672988,67.7874,81.6381
2,50k,1n,684733,65.4382,81.6381
2,50k,1.5n,696086,63.0788,81.6381
2,50k,2.2n,712278,59.528,81.6381
2,50k,2.7n,723757,56.8174,81.638
2,50k,3.3n,737155,53.3789,81.638
2,50k,4.7n,762548,44.891,81.638
