col0,col1,col2,col3,col4,col5,col6,col7
0.0,0.0,0.0,-0.0484010721,0.0,0.0,0.0,0.833571527
1e-08,3.14159265e-05,1e-08,-0.0483928416,1e-08,8.22488693e-06,1e-08,0.833578985
2e-08,6.28318529e-05,2e-08,-0.0483925193,2e-08,8.54700751e-06,2e-08,0.833578123
4e-08,0.000125663705,4e-08,-0.048399181,4e-08,1.88983096e-06,4e-08,0.83357007
8e-08,0.000251327402,8e-08,-0.0484175789,8e-08,-1.64954553e-05,8e-08,0.833553548
1.6e-07,0.00050265474,1.6e-07,-0.0483747164,1.6e-07,2.63377892e-05,1.6e-07,0.833603508
3.2e-07,0.00100530897,3.2e-07,-0.0480189293,3.2e-07,0.000381881719,3.2e-07,0.833967335
6.4e-07,0.00201061388,6.4e-07,-0.0466987696,6.4e-07,0.00170113843,6.4e-07,0.835303969
1.28e-06,0.00402119525,1.28e-06,-0.0425469001,1.28e-06,0.00585016405,1.28e-06,0.839496069
2.28e-06,0.00716258625,2.28e-06,-0.0339540158,2.28e-06,0.0144371466,2.28e-06,0.848153912
3.28e-06,0.0103036945,3.28e-06,-0.0243933823,3.28e-06,0.0239911891,3.28e-06,0.857784309
4.28e-06,0.013444396,4.28e-06,-0.0145717694,4.28e-06,0.0338060028,4.28e-06,0.867674059
5.28e-06,0.0165845667,5.28e-06,-0.00470081536,5.28e-06,0.0436700935,5.28e-06,0.877615385
6.28e-06,0.0197240826,6.28e-06,0.00519400278,6.28e-06,0.0535580015,6.28e-06,0.887578666
7.28e-06,0.02286282,7.28e-06,0.0150821269,7.28e-06,0.0634391894,7.28e-06,0.897536998
8.28e-06,0.0260006547,8.28e-06,0.0249756783,8.28e-06,0.0733257704,8.28e-06,0.907499168
9.28e-06,0.0291374629,9.28e-06,0.0348609607,9.28e-06,0.0832040574,9.28e-06,0.917454428
1.028e-05,0.0322731209,1.028e-05,0.0447474061,1.028e-05,0.0930834761,1.028e-05,0.927409626
1.128e-05,0.0354075048,1.128e-05,0.0546268846,1.128e-05,0.102955902,1.128e-05,0.937358845
1.228e-05,0.0385404908,1.228e-05,0.0645046534,1.228e-05,0.112826589,1.228e-05,0.947305476
1.328e-05,0.0416719553,1.328e-05,0.0743764304,1.328e-05,0.122691258,1.328e-05,0.957246764
1.428e-05,0.0448017747,1.428e-05,0.0842442021,1.428e-05,0.132551893,1.428e-05,0.967183474
1.528e-05,0.0479298254,1.528e-05,0.0941064727,1.528e-05,0.142407001,1.528e-05,0.97711504
1.628e-05,0.0510559839,1.628e-05,0.103962912,1.628e-05,0.152256251,1.628e-05,0.987040456
1.728e-05,0.0541801268,1.728e-05,0.113813914,1.728e-05,0.162100037,1.728e-05,0.996960555
1.828e-05,0.0573021308,1.828e-05,0.123657648,1.828e-05,0.17193653,1.828e-05,1.00687327
1.928e-05,0.0604218726,1.928e-05,0.133495663,1.928e-05,0.181767277,1.928e-05,1.0167802
