stato,pos,csel,rs_ohm,rp_ohm,zmin_ohm,z20_ohm,z1k_ohm,z20k_ohm
gioco,0,1f,88.3219,4.00037E+08,788898,997593,996718,775764
gioco,0,22p,88.3219,4.00037E+08,282851,997587,982147,271177
gioco,0,68p,88.3219,4.00037E+08,111578,997550,904212,106628
gioco,6,1f,88.3219,4.00037E+08,788897,997593,996718,775763
gioco,6,22p,88.3219,4.00037E+08,282851,997587,982147,271177
gioco,6,68p,88.3219,4.00037E+08,111578,997550,904212,106628
gioco,12,1f,88.3219,4.00037E+08,788897,997593,996718,775763
gioco,12,22p,88.3219,4.00037E+08,282851,997587,982147,271177
gioco,12,68p,88.3219,4.00037E+08,111578,997550,904212,106628
mute,0,1f,4.00037E+08,88.3219,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,0,22p,4.00037E+08,88.3219,304464,2.34429E+08,5.78751E+06,290858
mute,0,68p,4.00037E+08,88.3219,113575,1.04506E+08,2.16558E+06,108477
mute,6,1f,4.00037E+08,88.3219,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,6,22p,4.00037E+08,88.3219,304464,2.34429E+08,5.78751E+06,290858
mute,6,68p,4.00037E+08,88.3219,113575,1.04506E+08,2.16558E+06,108477
mute,12,1f,4.00037E+08,88.3219,1.55055E+06,3.85423E+08,2.88561E+07,1.48324E+06
mute,12,22p,4.00037E+08,88.3219,304464,2.34429E+08,5.78751E+06,290858
mute,12,68p,4.00037E+08,88.3219,113575,1.04506E+08,2.16558E+06,108477
meta,0,1f,3.48983E+06,4.00037E+08,2.01427E+06,4.48731E+06,4.45747E+06,1.94996E+06
meta,0,22p,3.48983E+06,4.00037E+08,325537,4.48684E+06,3.62607E+06,311153
meta,0,68p,3.48983E+06,4.00037E+08,116484,4.48364E+06,1.98691E+06,111268
meta,6,1f,3.48983E+06,4.00037E+08,2.01427E+06,4.48731E+06,4.45747E+06,1.94996E+06
meta,6,22p,3.48983E+06,4.00037E+08,325537,4.48684E+06,3.62607E+06,311153
meta,6,68p,3.48983E+06,4.00037E+08,116484,4.48364E+06,1.98691E+06,111268
meta,12,1f,3.48983E+06,4.00037E+08,2.01427E+06,4.48731E+06,4.45747E+06,1.94996E+06
meta,12,22p,3.48983E+06,4.00037E+08,325537,4.48684E+06,3.62607E+06,311153
meta,12,68p,3.48983E+06,4.00037E+08,116484,4.48364E+06,1.98691E+06,111268
