ldr,rs_ohm,pos,mode,att,rsrc,onoise_uv
nessuna,1m,0,0db,max,1.5,1.63051
nessuna,1m,0,0db,max,430,1.67335
nessuna,1m,0,0db,mid,1.5,1.57812
nessuna,1m,0,0db,mid,430,1.58924
nessuna,1m,0,3db,max,1.5,2.24572
nessuna,1m,0,3db,max,430,2.3083
nessuna,1m,0,3db,mid,1.5,2.16904
nessuna,1m,0,3db,mid,430,2.18532
nessuna,1m,0,10db,max,1.5,4.77405
nessuna,1m,0,10db,max,430,4.91833
nessuna,1m,0,10db,mid,1.5,4.59682
nessuna,1m,0,10db,mid,430,4.6345
nessuna,1m,6,0db,max,1.5,1.34497
nessuna,1m,6,0db,max,430,1.35811
nessuna,1m,6,0db,mid,1.5,1.5097
nessuna,1m,6,0db,mid,430,1.51262
nessuna,1m,6,3db,max,1.5,1.82547
nessuna,1m,6,3db,max,430,1.84496
nessuna,1m,6,3db,mid,1.5,2.06865
nessuna,1m,6,3db,mid,430,2.07295
nessuna,1m,6,10db,max,1.5,3.79426
nessuna,1m,6,10db,max,430,3.84024
nessuna,1m,6,10db,mid,1.5,4.36384
nessuna,1m,6,10db,mid,430,4.37384
nessuna,1m,12,0db,max,1.5,1.23746
nessuna,1m,12,0db,max,430,1.24111
nessuna,1m,12,0db,mid,1.5,1.48664
nessuna,1m,12,0db,mid,430,1.48739
nessuna,1m,12,3db,max,1.5,1.66532
nessuna,1m,12,3db,max,430,1.67078
nessuna,1m,12,3db,mid,1.5,2.03473
nessuna,1m,12,3db,mid,430,2.03585
nessuna,1m,12,10db,max,1.5,3.41368
nessuna,1m,12,10db,max,430,3.42676
nessuna,1m,12,10db,mid,1.5,4.28489
nessuna,1m,12,10db,mid,430,4.28749
curvab,88.3,0,0db,max,1.5,1.63944
curvab,88.3,0,0db,max,430,1.68204
curvab,88.3,0,0db,mid,1.5,1.58042
curvab,88.3,0,0db,mid,430,1.59152
curvab,88.3,0,3db,max,1.5,2.25876
curvab,88.3,0,3db,max,430,2.32098
curvab,88.3,0,3db,mid,1.5,2.17241
curvab,88.3,0,3db,mid,430,2.18866
curvab,88.3,0,10db,max,1.5,4.80415
curvab,88.3,0,10db,max,430,4.94753
curvab,88.3,0,10db,mid,1.5,4.60461
curvab,88.3,0,10db,mid,430,4.64223
curvab,88.3,6,0db,max,1.5,1.34769
curvab,88.3,6,0db,max,430,1.3608
curvab,88.3,6,0db,mid,1.5,1.5103
curvab,88.3,6,0db,mid,430,1.51323
curvab,88.3,6,3db,max,1.5,1.82951
curvab,88.3,6,3db,max,430,1.84895
curvab,88.3,6,3db,mid,1.5,2.06953
curvab,88.3,6,3db,mid,430,2.07383
curvab,88.3,6,10db,max,1.5,3.80378
curvab,88.3,6,10db,max,430,3.84964
curvab,88.3,6,10db,mid,1.5,4.36591
curvab,88.3,6,10db,mid,430,4.3759
curvab,88.3,12,0db,max,1.5,1.23821
curvab,88.3,12,0db,max,430,1.24186
curvab,88.3,12,0db,mid,1.5,1.48679
curvab,88.3,12,0db,mid,430,1.48755
curvab,88.3,12,3db,max,1.5,1.66645
curvab,88.3,12,3db,max,430,1.67191
curvab,88.3,12,3db,mid,1.5,2.03496
curvab,88.3,12,3db,mid,430,2.03608
curvab,88.3,12,10db,max,1.5,3.41638
curvab,88.3,12,10db,max,430,3.42944
curvab,88.3,12,10db,mid,1.5,4.28543
curvab,88.3,12,10db,mid,430,4.28803
curvad,118,0,0db,max,1.5,1.64243
curvad,118,0,0db,max,430,1.68495
curvad,118,0,0db,mid,1.5,1.58119
curvad,118,0,0db,mid,430,1.59228
curvad,118,0,3db,max,1.5,2.26313
curvad,118,0,3db,max,430,2.32523
curvad,118,0,3db,mid,1.5,2.17354
curvad,118,0,3db,mid,430,2.18978
curvad,118,0,10db,max,1.5,4.81423
curvad,118,0,10db,max,430,4.95731
curvad,118,0,10db,mid,1.5,4.60723
curvad,118,0,10db,mid,430,4.64482
curvad,118,6,0db,max,1.5,1.3486
curvad,118,6,0db,max,430,1.3617
curvad,118,6,0db,mid,1.5,1.5105
curvad,118,6,0db,mid,430,1.51343
curvad,118,6,3db,max,1.5,1.83086
curvad,118,6,3db,max,430,1.85029
curvad,118,6,3db,mid,1.5,2.06983
curvad,118,6,3db,mid,430,2.07413
curvad,118,6,10db,max,1.5,3.80698
curvad,118,6,10db,max,430,3.8528
curvad,118,6,10db,mid,1.5,4.3666
curvad,118,6,10db,mid,430,4.37659
curvad,118,12,0db,max,1.5,1.23846
curvad,118,12,0db,max,430,1.24211
curvad,118,12,0db,mid,1.5,1.48684
curvad,118,12,0db,mid,430,1.4876
curvad,118,12,3db,max,1.5,1.66683
curvad,118,12,3db,max,430,1.67229
curvad,118,12,3db,mid,1.5,2.03504
curvad,118,12,3db,mid,430,2.03616
curvad,118,12,10db,max,1.5,3.41728
curvad,118,12,10db,max,430,3.43035
curvad,118,12,10db,mid,1.5,4.28561
curvad,118,12,10db,mid,430,4.28821
