carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,812190,66.7868,82.0814
1,1m,47p,813982,66.5352,82.0814
1,1m,100p,816032,66.2483,82.0814
1,1m,220p,820717,65.5883,82.0814
1,1m,470p,830655,64.1654,82.0813
1,1m,1n,853136,60.8952,82.0813
1,1m,2.2n,910188,51.9675,82.0813
1,1m,4.7n,999782,28.2667,82.0812
1,430,1f,812175,66.6773,82.0814
1,430,47p,813967,66.4254,82.0814
1,430,100p,816017,66.1382,82.0814
1,430,220p,820702,65.4776,82.0814
1,430,470p,830639,64.0534,82.0813
1,430,1n,853117,60.7803,82.0813
1,430,2.2n,910163,51.8454,82.0813
1,430,4.7n,999750,28.1339,82.0812
2,1m,1f,811490,66.7929,81.9762
2,1m,47p,813258,66.5422,81.9762
2,1m,100p,815301,66.256,81.9762
2,1m,220p,819968,65.5974,81.9762
2,1m,470p,829869,64.1776,81.9762
2,1m,1n,852208,60.9174,81.9762
2,1m,2.2n,908914,52.0232,81.9762
2,1m,4.7n,998097,28.4281,81.9761
2,430,1f,811475,66.6835,81.9762
2,430,47p,813242,66.4326,81.9762
2,430,100p,815286,66.146,81.9762
2,430,220p,819952,65.4868,81.9762
2,430,470p,829852,64.0657,81.9762
2,430,1n,852189,60.8026,81.9762
2,430,2.2n,908888,51.9013,81.9762
2,430,4.7n,998065,28.2956,81.9761
