pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,457686,70.1832,81.0028
1,10k,47p,457943,70.072,81.0028
1,10k,100p,458218,69.9466,81.0028
1,10k,220p,458785,69.6625,81.0028
1,10k,470p,459702,69.0734,81.0028
1,10k,1n,460425,67.8635,81.0028
1,10k,1.5n,459604,66.8141,81.0029
1,10k,2.2n,456348,65.5624,81.0029
1,10k,2.7n,452934,64.8419,81.0029
1,10k,3.3n,448028,64.1683,81.003
1,10k,4.7n,435488,63.2597,81.003
2,10k,1f,457686,70.1832,81.0028
2,10k,47p,457951,70.0709,81.0028
2,10k,100p,458248,69.9441,81.0028
2,10k,220p,458919,69.6559,81.0028
2,10k,470p,460300,69.0516,81.0028
2,10k,1n,463140,67.7527,81.0028
2,10k,1.5n,465699,66.5069,81.0027
2,10k,2.2n,469093,64.7309,81.0027
2,10k,2.7n,471370,63.4417,81.0027
2,10k,3.3n,473871,61.8785,81.0027
2,10k,4.7n,478562,58.1928,81.0026
1,50k,1f,458201,70.1799,81.17
1,50k,47p,458461,70.0677,81.17
1,50k,100p,458740,69.941,81.17
1,50k,220p,459313,69.6541,81.17
1,50k,470p,460239,69.0592,81.17
1,50k,1n,460963,67.8376,81.17
1,50k,1.5n,460120,66.7789,81.17
1,50k,2.2n,456794,65.5189,81.17
1,50k,2.7n,453329,64.7948,81.17
1,50k,3.3n,448359,64.1195,81.1699
1,50k,4.7n,435678,63.2143,81.1699
2,50k,1f,458201,70.1799,81.17
2,50k,47p,458467,70.0674,81.17
2,50k,100p,458766,69.9403,81.17
2,50k,220p,459440,69.6515,81.17
2,50k,470p,460826,69.0457,81.17
2,50k,1n,463680,67.7438,81.17
2,50k,1.5n,466251,66.4949,81.1699
2,50k,2.2n,469676,64.7135,81.1699
2,50k,2.7n,471966,63.4208,81.1699
2,50k,3.3n,474478,61.8533,81.1699
2,50k,4.7n,479210,58.156,81.1698
