cand,r1,r2,r3,pos,csel,zmin_ohm,z20_ohm,z1k_ohm,z20k_ohm,att1k_db
1,549,294,294,99,1f,996181,999999,999989,995814,-8.77279E-05
1,549,294,294,99,22p,341892,999995,989801,328196,-8.77279E-05
1,549,294,294,99,68p,120051,999962,917675,114721,-8.77279E-05
1,549,294,294,0,1f,996204,999999,999989,995840,-8.77275E-05
1,549,294,294,0,22p,341892,999995,989801,328196,-8.77275E-05
1,549,294,294,0,68p,120051,999962,917675,114721,-8.77275E-05
1,549,294,294,6,1f,996202,999999,999989,995837,-5.9734
1,549,294,294,6,22p,341892,999995,989801,328196,-5.9734
1,549,294,294,6,68p,120051,999962,917675,114721,-5.9734
1,549,294,294,12,1f,996201,999999,999989,995837,-11.9376
1,549,294,294,12,22p,341892,999995,989801,328196,-11.9376
1,549,294,294,12,68p,120051,999962,917675,114721,-11.9376
2,845,464,464,99,1f,996181,999999,999989,995814,-8.77279E-05
2,845,464,464,99,22p,341892,999995,989801,328196,-8.77279E-05
2,845,464,464,99,68p,120051,999962,917675,114721,-8.77279E-05
2,845,464,464,0,1f,996196,999999,999989,995830,-8.77274E-05
2,845,464,464,0,22p,341892,999995,989801,328196,-8.77274E-05
2,845,464,464,0,68p,120051,999962,917675,114721,-8.77274E-05
2,845,464,464,6,1f,996194,999999,999989,995828,-6.00296
2,845,464,464,6,22p,341892,999995,989801,328196,-6.00296
2,845,464,464,6,68p,120051,999962,917675,114721,-6.00296
2,845,464,464,12,1f,996193,999999,999989,995828,-11.9394
2,845,464,464,12,22p,341892,999995,989801,328196,-11.9394
2,845,464,464,12,68p,120051,999962,917675,114721,-11.9394
