carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,796129,69.5556,80.9122
1,1m,47p,797874,69.3065,80.9122
1,1m,100p,799852,69.0231,80.9122
1,1m,220p,804368,68.3716,80.9122
1,1m,470p,813972,66.9678,80.9122
1,1m,1n,835663,63.751,80.9122
1,1m,2.2n,890350,55.0437,80.9121
1,1m,4.7n,979274,32.0004,80.9121
1,430,1f,796115,69.4483,80.9122
1,430,47p,797860,69.1989,80.9122
1,430,100p,799837,68.9153,80.9122
1,430,220p,804353,68.2632,80.9122
1,430,470p,813956,66.8581,80.9122
1,430,1n,835644,63.6385,80.9122
1,430,2.2n,890325,54.9243,80.9121
1,430,4.7n,979242,31.8704,80.9121
2,1m,1f,795417,69.5638,80.8092
2,1m,47p,797156,69.3152,80.8092
2,1m,100p,799127,69.0324,80.8091
2,1m,220p,803627,68.3823,80.8091
2,1m,470p,813174,66.9822,80.8091
2,1m,1n,834750,63.7745,80.8091
2,1m,2.2n,889108,55.0993,80.8091
2,1m,4.7n,977567,32.1643,80.809
2,430,1f,795403,69.4566,80.8092
2,430,47p,797141,69.2077,80.8092
2,430,100p,799112,68.9247,80.8091
2,430,220p,803611,68.2739,80.8091
2,430,470p,813157,66.8727,80.8091
2,430,1n,834731,63.6621,80.8091
2,430,2.2n,889084,54.9801,80.8091
2,430,4.7n,977535,32.0346,80.809
