pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,950173,67.5808,80.0787
1,10k,47p,952475,67.2877,80.0787
1,10k,100p,954948,66.9537,80.0787
1,10k,220p,960143,66.185,80.0787
1,10k,470p,968154,64.5795,80.0787
1,10k,1n,970884,61.5228,80.0788
1,10k,1.5n,958301,59.4898,80.0788
1,10k,2.2n,929565,58.0224,80.0788
1,10k,2.7n,907998,57.646,80.0789
1,10k,3.3n,884341,57.6134,80.0789
1,10k,4.7n,841490,58.3173,80.079
2,10k,1f,950173,67.5808,80.0787
2,10k,47p,952553,67.285,80.0787
2,10k,100p,955257,66.948,80.0787
2,10k,220p,961583,66.1675,80.0787
2,10k,470p,975027,64.4771,80.0787
2,10k,1n,1.00553E+06,60.5534,80.0787
2,10k,1.5n,1.03654E+06,56.3711,80.0787
2,10k,2.2n,1.08218E+06,49.6378,80.0787
2,10k,2.7n,1.11366E+06,44.2418,80.0787
2,10k,3.3n,1.14434E+06,37.4614,80.0787
2,10k,4.7n,1.15837E+06,23.9296,80.0786
1,50k,1f,951343,67.5872,80.2423
1,50k,47p,953674,67.2911,80.2423
1,50k,100p,956208,66.953,80.2423
1,50k,220p,961467,66.1761,80.2423
1,50k,470p,969563,64.5534,80.2423
1,50k,1n,972230,61.4677,80.2423
1,50k,1.5n,959380,59.4238,80.2423
1,50k,2.2n,930215,57.9608,80.2423
1,50k,2.7n,908430,57.5917,80.2423
1,50k,3.3n,884594,57.5681,80.2423
1,50k,4.7n,841535,58.2885,80.2423
2,50k,1f,951343,67.5872,80.2423
2,50k,47p,953735,67.2907,80.2423
2,50k,100p,956483,66.952,80.2423
2,50k,220p,962842,66.1694,80.2423
2,50k,470p,976359,64.4742,80.2423
2,50k,1n,1.00712E+06,60.5343,80.2423
2,50k,1.5n,1.03841E+06,56.3322,80.2422
2,50k,2.2n,1.08454E+06,49.556,80.2422
2,50k,2.7n,1.11636E+06,44.1212,80.2422
2,50k,3.3n,1.14732E+06,37.2915,80.2422
2,50k,4.7n,1.161E+06,23.7071,80.2422
