col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
1000.0,8.6053231e-09,1000.0,8.61735926e-09,1000.0,2.43345205e-09,1000.0,2.11727463e-09,1000.0,4.98176912e-09,1000.0,2.77434758e-09,1000.0,2.77119196e-09,1000.0,2.66604788e-09,1000.0,1.63774163e-09,1000.0,1.64638085e-09
1001.0,8.60532306e-09,1001.0,8.6173592e-09,1001.0,2.43345206e-09,1001.0,2.11727463e-09,1001.0,4.98176908e-09,1001.0,2.77434759e-09,1001.0,2.77119197e-09,1001.0,2.66604789e-09,1001.0,1.63774163e-09,1001.0,1.64638085e-09
