variante,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
r1.30k,2.611k,2.2n,880445,55.0872,82.4154
r1.30k,2.611k,2.7n,860724,54.4218,82.4154
r1.30k,2.611k,3.3n,838489,54.1133,82.4154
r1.30k,2.611k,4.7n,797204,54.4003,82.4154
r1.33k,1m,1f,889384,66.3355,82.3363
r1.33k,1m,470p,907713,63.4044,82.3363
r1.33k,1m,1n,913399,60.2098,82.3363
r1.33k,1m,1.5n,904563,57.8766,82.3363
r1.33k,1m,2.2n,879970,55.938,82.3363
r1.33k,1m,2.7n,860388,55.267,82.3363
r1.33k,1m,3.3n,838313,54.9465,82.3363
r1.33k,1m,4.7n,797314,55.2024,82.3363
r1.33k,2.611k,1f,889079,65.6137,82.3363
r1.33k,2.611k,470p,907376,62.6694,82.3363
r1.33k,2.611k,1n,913050,59.4722,82.3363
r1.33k,2.611k,1.5n,904241,57.1464,82.3363
r1.33k,2.611k,2.2n,879690,55.2269,82.3363
r1.33k,2.611k,2.7n,860136,54.5709,82.3363
r1.33k,2.611k,3.3n,838085,54.2674,82.3363
r1.33k,2.611k,4.7n,797123,54.5551,82.3363
r1.35k,1m,1f,889377,66.3307,82.2837
r1.35k,1m,470p,907410,63.4203,82.2837
r1.35k,1m,1n,912853,60.2557,82.2837
r1.35k,1m,1.5n,903980,57.9455,82.2837
r1.35k,1m,2.2n,879487,56.0256,82.2837
r1.35k,1m,2.7n,860009,55.3609,82.2837
r1.35k,1m,3.3n,838050,55.0438,82.2837
r1.35k,1m,4.7n,797258,55.3004,82.2837
r1.35k,2.611k,1f,889072,65.6088,82.2837
r1.35k,2.611k,470p,907073,62.6856,82.2837
r1.35k,2.611k,1n,912505,59.5185,82.2837
r1.35k,2.611k,1.5n,903658,57.2157,82.2837
r1.35k,2.611k,2.2n,879207,55.3149,82.2837
r1.35k,2.611k,2.7n,859757,54.6651,82.2837
r1.35k,2.611k,3.3n,837823,54.3649,82.2837
r1.35k,2.611k,4.7n,797066,54.6531,82.2837
r1.40k,1m,1f,889362,66.3182,82.1531
r1.40k,1m,470p,906702,63.4562,82.1531
r1.40k,1m,1n,911590,60.3606,82.1531
r1.40k,1m,1.5n,902610,58.1045,82.1531
r1.40k,1m,2.2n,878344,56.2286,82.1531
r1.40k,1m,2.7n,859108,55.5786,82.1531
