variante,B0_pm_min,B0_fc_khz,B0_t10_db,B3_pm_min,B3_fc_khz,B3_t10_db,B10_pm_min,B10_fc_khz,B10_t10_db,A_pm_min,A_fc_khz,A_t10_db,Atrim_pm_min,Atrim_fc_khz,Atrim_t10_db,buf_pm_min,buf_fc_khz,buf_t10_db
cm1.2n_r1.33k,62.8591,361.347,81.9014,77.5969,298.418,78.4044,94.9108,124.593,70.9206,68.8322,381.879,81.6997,68.8864,377.544,80.4877,64.2372,381.864,81.8833
cm1.2n_r1.69k,63.2448,361.324,81.0621,77.8808,298.425,77.5999,94.9811,124.604,70.1575,68.8933,381.884,80.876,68.9635,377.677,79.7541,64.6619,381.871,81.0455
cm1n_r1.33k,61.569,429.824,82.0533,75.7879,369.777,78.5418,96.5636,153.824,71.042,67.5901,457.696,81.8448,67.6367,452.456,80.5987,62.6513,457.668,82.0347
cm1n_r1.69k,62.0762,429.795,81.187,76.1971,369.789,77.7137,96.6553,153.837,70.2591,67.685,457.71,80.9957,67.7505,452.64,79.8476,63.2143,457.686,81.1699
cm470p_r1.33k,54.2674,889.384,82.3363,62.6149,872.183,78.7965,99.5806,487.088,71.2658,57.0975,964.576,82.1143,57.2205,952.105,80.8024,53.5221,964.281,82.3167
cm470p_r1.69k,55.547,889.301,81.4173,63.9007,872.337,77.9231,100.19,487.045,70.4452,57.9319,964.783,81.2162,58.044,952.999,80.0182,54.9194,964.524,81.3997
cm560p_r1.33k,56.4915,750.429,82.3016,66.5808,720.89,78.7654,100.846,348.66,71.2386,60.7803,812.19,82.0813,60.841,802.179,80.7777,56.3119,812.022,82.2822
cm560p_r1.69k,57.5808,750.364,81.3893,67.5873,720.975,77.8976,101.184,348.661,70.4226,61.2518,812.311,81.1893,61.3293,802.784,79.9976,57.4502,812.162,81.3717
cm680p_r1.33k,58.3954,622.064,82.2465,70.151,579.729,78.7159,100.067,254.997,71.1952,63.7354,670.722,82.0289,63.7767,662.66,80.7382,58.7353,670.63,82.2273
cm680p_r1.69k,59.2611,622.015,81.3446,70.9623,579.773,77.8571,100.262,255.011,70.3866,64.0005,670.787,81.1466,64.0634,663.059,79.9646,59.6891,670.705,81.3271
cm820p_r1.33k,60.0242,519.618,82.17,73.1556,466.951,78.647,98.4583,196.819,71.1347,65.8615,557.302,81.9561,65.9036,550.751,80.6832,60.7349,557.252,82.151
cm820p_r1.69k,60.6992,519.581,81.2823,73.7506,466.973,77.8005,98.5876,196.834,70.3364,66.0205,557.336,81.0871,66.0839,551.022,79.9185,61.4832,557.29,81.265
