carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,941486,68.9587,79.4614
1,1m,47p,943856,68.6635,79.4613
1,1m,100p,946545,68.3272,79.4614
1,1m,220p,952688,67.5525,79.4613
1,1m,470p,966018,65.8684,79.4613
1,1m,1n,995976,61.9727,79.4613
1,1m,2.2n,1.07118E+06,51.1811,79.4613
1,1m,4.7n,1.14849E+06,25.721,79.4613
1,430,1f,941462,68.8319,79.4614
1,430,47p,943833,68.5364,79.4614
1,430,100p,946521,68.1998,79.4614
1,430,220p,952664,67.4242,79.4614
1,430,470p,965991,65.7385,79.4613
1,430,1n,995946,61.8388,79.4613
1,430,2.2n,1.07113E+06,51.038,79.4613
1,430,4.7n,1.14844E+06,25.569,79.4613
2,1m,1f,940603,68.9726,79.3681
2,1m,47p,942965,68.6781,79.3681
2,1m,100p,945643,68.3426,79.3681
2,1m,220p,951764,67.5696,79.3681
2,1m,470p,965015,65.8904,79.3681
2,1m,1n,994815,62.0067,79.3681
2,1m,2.2n,1.06951E+06,51.2619,79.3681
2,1m,4.7n,1.14679E+06,25.8902,79.368
2,430,1f,940579,68.846,79.3681
2,430,47p,942941,68.5511,79.3681
2,430,100p,945619,68.2152,79.3681
2,430,220p,951738,67.4414,79.3681
2,430,470p,964988,65.7606,79.3681
2,430,1n,994784,61.8731,79.3681
2,430,2.2n,1.06947E+06,51.1191,79.3681
2,430,4.7n,1.14674E+06,25.7385,79.368
