mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,870442,70.275,79.6571,100k
0db,1m,1,47p,872259,70.0183,79.6571,100k
0db,1m,1,100p,874224,69.7259,79.6571,100k
0db,1m,1,220p,878252,69.0562,79.6571,100k
0db,1m,1,470p,884511,67.6546,79.6571,100k
0db,1m,1,1n,887136,64.9186,79.6571,100k
0db,1m,1,1.5n,877861,62.9656,79.6571,100k
0db,1m,1,2.2n,854852,61.3653,79.6571,100k
0db,1m,1,2.7n,836721,60.8311,79.6571,100k
0db,1m,1,3.3n,816155,60.6101,79.6571,100k
0db,1m,1,4.7n,777510,60.9706,79.6571,100k
0db,1m,2,1f,870442,70.275,79.6571,100k
0db,1m,2,47p,872304,70.0182,79.6571,100k
0db,1m,2,100p,874428,69.7257,79.6571,100k
0db,1m,2,220p,879268,69.0536,79.6571,100k
0db,1m,2,470p,889483,67.6081,79.6571,100k
0db,1m,2,1n,912201,64.3116,79.657,100k
0db,1m,2,1.5n,934749,60.8852,79.657,100k
0db,1m,2,2.2n,967241,55.5317,79.657,100k
0db,1m,2,2.7n,989748,51.3316,79.657,100k
0db,1m,2,3.3n,1.01352E+06,46.0032,79.657,100k
0db,1m,2,4.7n,1.03862E+06,34.0795,79.657,100k
0db,1k,1,1f,870380,70.0028,79.6571,100k
0db,1k,1,47p,872195,69.7456,79.6571,100k
0db,1k,1,100p,874160,69.4525,79.6571,100k
0db,1k,1,220p,878186,68.7817,79.6571,100k
0db,1k,1,470p,884444,67.3783,79.6571,100k
0db,1k,1,1n,887069,64.6417,79.6571,100k
0db,1k,1,1.5n,877798,62.6916,79.6571,100k
0db,1k,1,2.2n,854796,61.0984,79.6571,100k
0db,1k,1,2.7n,836671,60.5696,79.6571,100k
0db,1k,1,3.3n,816110,60.355,79.6571,100k
0db,1k,1,4.7n,777472,60.7272,79.6571,100k
0db,1k,2,1f,870380,70.0028,79.6571,100k
0db,1k,2,47p,872241,69.7454,79.6571,100k
0db,1k,2,100p,874364,69.4523,79.6571,100k
0db,1k,2,220p,879203,68.7788,79.6571,100k
0db,1k,2,470p,889415,67.3303,79.6571,100k
0db,1k,2,1n,912122,64.0272,79.657,100k
0db,1k,2,1.5n,934659,60.5944,79.657,100k
0db,1k,2,2.2n,967137,55.2319,79.657,100k
0db,1k,2,2.7n,989632,51.0258,79.657,100k
0db,1k,2,3.3n,1.0134E+06,45.6915,79.657,100k
0db,1k,2,4.7n,1.0385E+06,33.7619,79.657,100k
0db,2.5k,1,1f,870165,69.599,79.6571,100k
0db,2.5k,1,47p,871972,69.3412,79.6571,100k
