pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,957433,66.4541,81.5427
1,10k,47p,960312,66.1315,81.5427
1,10k,100p,963436,65.7621,81.5427
1,10k,220p,969959,64.9081,81.5427
1,10k,470p,980652,63.0909,81.5428
1,10k,1n,987099,59.5341,81.5428
1,10k,1.5n,974727,57.138,81.5428
1,10k,2.2n,943832,55.401,81.5429
1,10k,2.7n,920447,54.9397,81.5429
1,10k,3.3n,894871,54.8622,81.543
1,10k,4.7n,848943,55.5517,81.5431
2,10k,1f,957433,66.4541,81.5427
2,10k,47p,960401,66.1289,81.5427
2,10k,100p,963778,65.7573,81.5427
2,10k,220p,971543,64.8963,81.5427
2,10k,470p,988564,63.0008,81.5427
2,10k,1n,1.02854E+06,58.457,81.5427
2,10k,1.5n,1.07176E+06,53.3449,81.5427
2,10k,2.2n,1.14064E+06,44.4258,81.5427
2,10k,2.7n,1.18938E+06,36.8139,81.5427
2,10k,3.3n,1.22961E+06,27.4855,81.5427
2,10k,4.7n,1.21513E+06,12.5722,81.5426
1,50k,1f,958692,66.4678,81.7258
1,50k,47p,961608,66.1419,81.7258
1,50k,100p,964772,65.7686,81.7258
1,50k,220p,971378,64.9054,81.7258
1,50k,470p,982236,63.0669,81.7258
1,50k,1n,988647,59.4742,81.7258
1,50k,1.5n,975940,57.0653,81.7258
1,50k,2.2n,944573,55.3325,81.7258
1,50k,2.7n,920939,54.8796,81.7258
1,50k,3.3n,895162,54.8124,81.7258
1,50k,4.7n,849002,55.5202,81.7258
2,50k,1f,958692,66.4678,81.7258
2,50k,47p,961675,66.1418,81.7258
2,50k,100p,965070,65.7692,81.7258
2,50k,220p,972879,64.9057,81.7258
2,50k,470p,990038,63.0033,81.7258
2,50k,1n,1.03039E+06,58.4384,81.7257
2,50k,1.5n,1.0741E+06,53.293,81.7257
2,50k,2.2n,1.14385E+06,44.2985,81.7257
2,50k,2.7n,1.1933E+06,36.6023,81.7257
2,50k,3.3n,1.23375E+06,27.1902,81.7257
2,50k,4.7n,1.21784E+06,12.2926,81.7257
