carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,732968,73.8493,79.4359
1,1m,47p,734136,73.6461,79.4359
1,1m,100p,735455,73.4156,79.4359
1,1m,220p,738448,72.8883,79.4359
1,1m,470p,744800,71.7621,79.4359
1,1m,1n,758500,69.2556,79.4359
1,1m,2.2n,790269,62.9371,79.4359
1,1m,4.7n,841190,47.7313,79.4358
1,430,1f,732956,73.7502,79.4359
1,430,47p,734124,73.5469,79.4359
1,430,100p,735443,73.3162,79.4359
1,430,220p,738436,72.7885,79.4359
1,430,470p,744787,71.6615,79.4359
1,430,1n,758486,69.1531,79.4359
1,430,2.2n,790252,62.8306,79.4359
1,430,4.7n,841171,47.6185,79.4358
2,1m,1f,732358,73.8573,79.343
2,1m,47p,733522,73.6545,79.343
2,1m,100p,734837,73.4244,79.343
2,1m,220p,737820,72.898,79.343
2,1m,470p,744134,71.7746,79.343
2,1m,1n,757787,69.2733,79.343
2,1m,2.2n,789390,62.9724,79.343
2,1m,4.7n,840053,47.8179,79.3429
2,430,1f,732346,73.7583,79.343
2,430,47p,733510,73.5553,79.343
2,430,100p,734824,73.325,79.343
2,430,220p,737808,72.7983,79.343
2,430,470p,744121,71.6741,79.343
2,430,1n,757773,69.1709,79.343
2,430,2.2n,789374,62.866,79.343
2,430,4.7n,840033,47.7052,79.3429
