cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x10_lz_c100_iii_i,1,l29d2_iii_c100,0a10,1000,0,100k,A_ins,FIXJACK2,4.143e-09,2.362458,0.0001,regge,sotto
gm0x10_lz_c100_iii_i,1,l29d2_iii_c100,0a10,1000,0,100k,B2,FIXJACK1,3.475e-09,7.520000,0.0001,regge,sotto
gm0x10_lz_c100_iii_c,1,l29d2_iii_c100,0a10,1000,0,100k,A_ins,MAINJACK,3.902e-08,8.000312,0.0001,regge,sotto
gm0x10_lz_c100_iii_c,1,l29d2_iii_c100,0a10,1000,0,100k,A_rel,MAINJACK,4.863e-08,10.001167,0.0001,regge,sotto
gm0x10_lz_c100_iii_c,1,l29d2_iii_c100,0a10,1000,0,100k,B2,MAINJACK,9.976e-13,8.025531,0.0001,regge,sotto
tm0x12_lz_c100_iii_i,2,l29d2_iii_c100,t0a12,1000,0,100k,A_ins,MAINJACK,1.303e-08,2.362344,0.0001,regge,sotto
tm0x12_lz_c100_iii_i,2,l29d2_iii_c100,t0a12,1000,0,100k,B2,FIXJACK1,3.475e-09,7.520000,0.0001,regge,sotto
tm0x12_lz_c100_iii_c,2,l29d2_iii_c100,t0a12,1000,0,100k,A_ins,MAINJACK,3.301e-08,8.000615,0.0001,regge,sotto
tm0x12_lz_c100_iii_c,2,l29d2_iii_c100,t0a12,1000,0,100k,A_rel,FIXJACK1,2.692e-08,10.001469,0.0001,regge,sotto
tm0x12_lz_c100_iii_c,2,l29d2_iii_c100,t0a12,1000,0,100k,B2,MAINJACK,7.216e-13,8.028229,0.0001,regge,sotto
x01000_dpmaxmax_c100_iii_i,3,l29d2_iii_c100_dpmaxmax,g0a10_t0a0,1000,0,100k,A_ins,FIXJACK1,8.913e-06,2.362406,0.0001,regge,sotto
x01000_dpmaxmax_c100_iii_i,3,l29d2_iii_c100_dpmaxmax,g0a10_t0a0,1000,0,100k,B2,FIXJACK1,7.37e-06,7.520000,0.0001,regge,sotto
x01000_dpmaxmax_c100_iii_c,3,l29d2_iii_c100_dpmaxmax,g0a10_t0a0,1000,0,100k,A_ins,MAINJACK,8.866e-08,8.000312,0.0001,regge,sotto
x01000_dpmaxmax_c100_iii_c,3,l29d2_iii_c100_dpmaxmax,g0a10_t0a0,1000,0,100k,A_rel,MAINJACK,6.969e-05,11.323125,0.0001,regge,sotto
x01000_dpmaxmax_c100_iii_c,3,l29d2_iii_c100_dpmaxmax,g0a10_t0a0,1000,0,100k,B2,MAINJACK,3.481e-12,8.026615,0.0001,regge,sotto
mh01_1k_c100_iii,4,l29d2_iii_c100_h01,10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
mh01_1k_c100_iii,4,l29d2_iii_c100_h01,10,1000,3.818,100k,S_rel,MAINJACK,5.445,8.479000,20.0,regge,sotto
mh01_1k_c100_iii,4,l29d2_iii_c100_h01,10,1000,3.818,100k,B2,MAINJACK,1.989e-07,7.526990,0.0001,regge,sotto
mh01_20_c100_iii,4,l29d2_iii_c100_h01,10,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
mh01_20_c100_iii,4,l29d2_iii_c100_h01,10,20,3.818,100k,S_rel,MAINJACK,4.938,8.505000,20.0,regge,sotto
mh01_20_c100_iii,4,l29d2_iii_c100_h01,10,20,3.818,100k,B2,MAINJACK,8.719e-06,7.526313,0.0001,regge,sotto
on_r300p_c100_iii,5,accensione_iii,10,1000,0,100k,A_ins,FIXJACK1,3.039e-06,0.292365,0.0001,regge,sotto
on_r300p_c100_iii,5,accensione_iii,10,1000,0,100k,A_rel,MAINJACK,3.194e-08,3.923073,0.0001,regge,sotto
gm0x10_lz_r10k_iii_i,1,l29d2_iii_r10k,0a10,1000,0,10k,A_ins,FIXJACK1,3.789e-09,2.361292,0.0001,regge,sotto
gm0x10_lz_r10k_iii_i,1,l29d2_iii_r10k,0a10,1000,0,10k,B2,MAINJACK,2.735e-14,7.523760,0.0001,regge,sotto
gm0x10_lz_r10k_iii_c,1,l29d2_iii_r10k,0a10,1000,0,10k,A_ins,MAINJACK,2.02e-08,8.000312,0.0001,regge,sotto
gm0x10_lz_r10k_iii_c,1,l29d2_iii_r10k,0a10,1000,0,10k,A_rel,MAINJACK,2.959e-08,11.322260,0.0001,regge,sotto
gm0x10_lz_r10k_iii_c,1,l29d2_iii_r10k,0a10,1000,0,10k,B2,MAINJACK,8.873e-12,8.026958,0.0001,regge,sotto
tm0x12_lz_r10k_iii_i,2,l29d2_iii_r10k,t0a12,1000,0,10k,A_ins,MAINJACK,1.187e-08,2.361427,0.0001,regge,sotto
tm0x12_lz_r10k_iii_i,2,l29d2_iii_r10k,t0a12,1000,0,10k,B2,MAINJACK,5.529e-14,7.525760,0.0001,regge,sotto
tm0x12_lz_r10k_iii_c,2,l29d2_iii_r10k,t0a12,1000,0,10k,A_ins,MAINJACK,1.44e-08,8.000406,0.0001,regge,sotto
tm0x12_lz_r10k_iii_c,2,l29d2_iii_r10k,t0a12,1000,0,10k,A_rel,FIXJACK1,9.434e-09,11.322188,0.0001,regge,sotto
tm0x12_lz_r10k_iii_c,2,l29d2_iii_r10k,t0a12,1000,0,10k,B2,MAINJACK,3.028e-12,8.026438,0.0001,regge,sotto
x01000_dpmaxmax_r10k_iii_i,3,l29d2_iii_r10k_dpmaxmax,g0a10_t0a0,1000,0,10k,A_ins,FIXJACK1,8.144e-06,2.361427,0.0001,regge,sotto
x01000_dpmaxmax_r10k_iii_i,3,l29d2_iii_r10k_dpmaxmax,g0a10_t0a0,1000,0,10k,B2,FIXJACK2,8.176e-13,7.520000,0.0001,regge,sotto
x01000_dpmaxmax_r10k_iii_c,3,l29d2_iii_r10k_dpmaxmax,g0a10_t0a0,1000,0,10k,A_ins,MAINJACK,5.69e-08,8.000312,0.0001,regge,sotto
x01000_dpmaxmax_r10k_iii_c,3,l29d2_iii_r10k_dpmaxmax,g0a10_t0a0,1000,0,10k,A_rel,MAINJACK,6.455e-05,11.322135,0.0001,regge,sotto
x01000_dpmaxmax_r10k_iii_c,3,l29d2_iii_r10k_dpmaxmax,g0a10_t0a0,1000,0,10k,B2,MAINJACK,1.217e-11,8.026729,0.0001,regge,sotto
mh01_1k_r10k_iii,4,l29d2_iii_r10k_h01,10,1000,3.818,10k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
mh01_1k_r10k_iii,4,l29d2_iii_r10k_h01,10,1000,3.818,10k,S_rel,MAINJACK,5.445,8.479000,20.0,regge,sotto
