pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,457668,70.229,81.8503
1,10k,47p,457982,70.112,81.8503
1,10k,100p,458322,69.9799,81.8503
1,10k,220p,459033,69.68,81.8504
1,10k,470p,460244,69.0553,81.8504
1,10k,1n,461526,67.7608,81.8504
1,10k,1.5n,461123,66.6261,81.8504
1,10k,2.2n,458214,65.2599,81.8505
1,10k,2.7n,454886,64.468,81.8505
1,10k,3.3n,449995,63.7208,81.8505
1,10k,4.7n,437124,62.6992,81.8506
2,10k,1f,457668,70.229,81.8503
2,10k,47p,457991,70.1109,81.8503
2,10k,100p,458355,69.9774,81.8503
2,10k,220p,459175,69.6739,81.8503
2,10k,470p,460872,69.0358,81.8503
2,10k,1n,464406,67.6582,81.8503
2,10k,1.5n,467644,66.3287,81.8503
2,10k,2.2n,472108,64.4148,81.8503
2,10k,2.7n,475127,63.0171,81.8502
2,10k,3.3n,478525,61.3107,81.8502
2,10k,4.7n,485485,57.2241,81.8501
1,50k,1f,458201,70.229,82.0348
1,50k,47p,458519,70.1109,82.0348
1,50k,100p,458863,69.9774,82.0347
1,50k,220p,459582,69.6745,82.0347
1,50k,470p,460805,69.0436,82.0347
1,50k,1n,462095,67.7363,82.0347
1,50k,1.5n,461674,66.5912,82.0347
1,50k,2.2n,458707,65.2147,82.0347
1,50k,2.7n,455314,64.4192,82.0347
1,50k,3.3n,450355,63.6698,82.0347
1,50k,4.7n,437339,62.6513,82.0347
2,50k,1f,458201,70.229,82.0348
2,50k,47p,458525,70.1106,82.0347
2,50k,100p,458890,69.9768,82.0347
2,50k,220p,459715,69.6726,82.0347
2,50k,470p,461420,69.033,82.0347
2,50k,1n,464970,67.652,82.0347
2,50k,1.5n,468238,66.3183,82.0347
2,50k,2.2n,472727,64.399,82.0347
2,50k,2.7n,475762,62.9972,82.0346
2,50k,3.3n,479195,61.2847,82.0346
2,50k,4.7n,486196,57.1848,82.0346
