var,carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
a_come_e,1,1m,1f,457722,70.1767,80.9958
a_come_e,1,1m,47p,457987,70.0645,80.9958
a_come_e,1,1m,100p,458285,69.9376,80.9958
a_come_e,1,1m,220p,458956,69.6494,80.9958
a_come_e,1,1m,470p,460336,69.0449,80.9958
a_come_e,1,1m,1n,463176,67.7458,80.9957
a_come_e,1,430,1f,457719,70.1149,80.9958
a_come_e,1,430,47p,457984,70.0026,80.9958
a_come_e,1,430,100p,458282,69.8757,80.9958
a_come_e,1,430,220p,458953,69.5874,80.9958
a_come_e,1,430,470p,460333,68.9827,80.9958
a_come_e,1,430,1n,463173,67.6833,80.9957
a_come_e,2,1m,1f,457410,70.1851,80.9035
a_come_e,2,1m,47p,457675,70.073,80.9035
a_come_e,2,1m,100p,457972,69.9463,80.9035
a_come_e,2,1m,220p,458641,69.6585,80.9035
a_come_e,2,1m,470p,460018,69.0549,80.9035
a_come_e,2,1m,1n,462852,67.7577,80.9035
a_come_e,2,430,1f,457407,70.1233,80.9035
a_come_e,2,430,47p,457672,70.0111,80.9035
a_come_e,2,430,100p,457969,69.8844,80.9035
a_come_e,2,430,220p,458638,69.5965,80.9035
a_come_e,2,430,470p,460015,68.9928,80.9035
a_come_e,2,430,1n,462848,67.6952,80.9035
b_min,1,1m,1f,457376,70.1862,80.9835
b_min,1,1m,47p,457641,70.074,80.9835
b_min,1,1m,100p,457939,69.9473,80.9835
b_min,1,1m,220p,458610,69.6595,80.9835
b_min,1,1m,470p,459990,69.0558,80.9835
b_min,1,1m,1n,462830,67.7583,80.9835
b_min,1,430,1f,457374,70.1421,80.9835
b_min,1,430,47p,457639,70.0299,80.9835
b_min,1,430,100p,457937,69.9032,80.9835
b_min,1,430,220p,458608,69.6153,80.9835
b_min,1,430,470p,459988,69.0115,80.9835
b_min,1,430,1n,462828,67.7137,80.9835
b_min,2,1m,1f,457073,70.1939,80.8912
b_min,2,1m,47p,457337,70.0819,80.8912
b_min,2,1m,100p,457634,69.9554,80.8912
b_min,2,1m,220p,458303,69.6679,80.8912
b_min,2,1m,470p,459680,69.0651,80.8912
b_min,2,1m,1n,462513,67.7694,80.8912
b_min,2,430,1f,457071,70.1498,80.8912
b_min,2,430,47p,457335,70.0378,80.8912
b_min,2,430,100p,457632,69.9112,80.8912
b_min,2,430,220p,458301,69.6238,80.8912
b_min,2,430,470p,459678,69.0208,80.8912
b_min,2,430,1n,462511,67.7249,80.8912
b_tip,1,1m,1f,457144,70.1946,80.9775
b_tip,1,1m,47p,457409,70.0825,80.9775
b_tip,1,1m,100p,457707,69.9559,80.9775
b_tip,1,1m,220p,458377,69.6683,80.9775
b_tip,1,1m,470p,459756,69.065,80.9775
b_tip,1,1m,1n,462594,67.7684,80.9775
b_tip,1,430,1f,457143,70.1549,80.9775
b_tip,1,430,47p,457408,70.0428,80.9775
b_tip,1,430,100p,457706,69.9162,80.9775
b_tip,1,430,220p,458376,69.6285,80.9775
b_tip,1,430,470p,459755,69.0251,80.9775
b_tip,1,430,1n,462593,67.7283,80.9775
b_tip,2,1m,1f,456849,70.2019,80.8852
b_tip,2,1m,47p,457107,70.0902,80.8852
b_tip,2,1m,100p,457404,69.9637,80.8852
b_tip,2,1m,220p,458073,69.6765,80.8852
b_tip,2,1m,470p,459448,69.074,80.8852
b_tip,2,1m,1n,462280,67.7793,80.8852
b_tip,2,430,1f,456848,70.1623,80.8852
b_tip,2,430,47p,457106,70.0506,80.8852
b_tip,2,430,100p,457402,69.9241,80.8852
b_tip,2,430,220p,458071,69.6368,80.8852
b_tip,2,430,470p,459447,69.0342,80.8852
b_tip,2,430,1n,462278,67.7392,80.8852
b_max,1,1m,1f,456928,70.2028,80.9721
b_max,1,1m,47p,457188,70.0909,80.9721
b_max,1,1m,100p,457486,69.9644,80.9721
b_max,1,1m,220p,458156,69.6769,80.9721
b_max,1,1m,470p,459534,69.074,80.9721
b_max,1,1m,1n,462369,67.7783,80.9721
b_max,1,430,1f,456926,70.1661,80.9721
b_max,1,430,47p,457187,70.0542,80.9721
b_max,1,430,100p,457484,69.9277,80.9721
b_max,1,430,220p,458154,69.6402,80.9721
b_max,1,430,470p,459532,69.0371,80.9721
b_max,1,430,1n,462368,67.7412,80.9721
b_max,2,1m,1f,456636,70.2099,80.8798
b_max,2,1m,47p,456893,70.0983,80.8798
b_max,2,1m,100p,457184,69.9721,80.8798
b_max,2,1m,220p,457853,69.6851,80.8798
b_max,2,1m,470p,459227,69.083,80.8798
b_max,2,1m,1n,462056,67.7891,80.8798
b_max,2,430,1f,456634,70.1732,80.8798
b_max,2,430,47p,456891,70.0616,80.8798
b_max,2,430,100p,457183,69.9354,80.8798
b_max,2,430,220p,457851,69.6483,80.8798
b_max,2,430,470p,459226,69.0461,80.8798
b_max,2,430,1n,462055,67.752,80.8798
