var,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
a_come_e,10k,1f,964524,65.1845,81.2329
a_come_e,10k,47p,966903,64.889,81.2329
a_come_e,10k,100p,969458,64.552,81.2329
a_come_e,10k,220p,974692,63.7779,81.2329
a_come_e,10k,470p,982889,62.1506,81.2329
a_come_e,10k,1n,985578,59.0348,81.233
a_come_e,10k,1.5n,972572,56.9522,81.233
a_come_e,10k,2.2n,943284,55.4321,81.233
a_come_e,10k,2.7n,921474,55.0263,81.2331
a_come_e,10k,3.3n,897670,54.9637,81.2331
a_come_e,10k,4.7n,854884,55.6105,81.2332
a_come_e,50k,1f,965700,65.1935,81.3997
a_come_e,50k,47p,968108,64.895,81.3997
a_come_e,50k,100p,970696,64.5545,81.3997
a_come_e,50k,220p,975993,63.7724,81.3997
a_come_e,50k,470p,984313,62.1267,81.3997
a_come_e,50k,1n,986933,58.9812,81.3997
a_come_e,50k,1.5n,973626,56.8884,81.3997
a_come_e,50k,2.2n,943925,55.3717,81.3997
a_come_e,50k,2.7n,921897,54.973,81.3997
a_come_e,50k,3.3n,897914,54.9194,81.3997
a_come_e,50k,4.7n,854924,55.5822,81.3997
b_min,10k,1f,963818,65.2047,81.2206
b_min,10k,47p,966196,64.9097,81.2206
b_min,10k,100p,968750,64.5732,81.2206
b_min,10k,220p,973983,63.8002,81.2206
b_min,10k,470p,982166,62.1757,81.2206
b_min,10k,1n,984887,59.0636,81.2206
b_min,10k,1.5n,971940,56.9817,81.2207
b_min,10k,2.2n,942714,55.4604,81.2207
b_min,10k,2.7n,920937,55.053,81.2208
b_min,10k,3.3n,897158,54.9886,81.2208
b_min,10k,4.7n,854404,55.632,81.2209
b_min,50k,1f,964993,65.2137,81.3874
b_min,50k,47p,967401,64.9157,81.3874
b_min,50k,100p,969987,64.5757,81.3874
b_min,50k,220p,975284,63.7947,81.3874
b_min,50k,470p,983589,62.1519,81.3874
b_min,50k,1n,986242,59.0102,81.3874
b_min,50k,1.5n,972994,56.9179,81.3874
b_min,50k,2.2n,943355,55.4,81.3874
b_min,50k,2.7n,921360,54.9997,81.3874
b_min,50k,3.3n,897404,54.9443,81.3875
b_min,50k,4.7n,854444,55.6038,81.3875
b_tip,10k,1f,963340,65.2173,81.2145
b_tip,10k,47p,965716,64.9225,81.2145
b_tip,10k,100p,968269,64.5862,81.2145
b_tip,10k,220p,973499,63.8139,81.2145
b_tip,10k,470p,981665,62.1911,81.2145
b_tip,10k,1n,984396,59.0812,81.2146
b_tip,10k,1.5n,971483,56.9996,81.2146
b_tip,10k,2.2n,942295,55.4775,81.2146
b_tip,10k,2.7n,920542,55.0692,81.2147
b_tip,10k,3.3n,896781,55.0038,81.2147
b_tip,10k,4.7n,854050,55.6452,81.2148
b_tip,50k,1f,964515,65.2263,81.3814
b_tip,50k,47p,966921,64.9285,81.3814
b_tip,50k,100p,969506,64.5888,81.3814
b_tip,50k,220p,974799,63.8084,81.3814
b_tip,50k,470p,983088,62.1673,81.3814
b_tip,50k,1n,985751,59.0278,81.3814
b_tip,50k,1.5n,972537,56.9359,81.3814
b_tip,50k,2.2n,942937,55.4172,81.3814
b_tip,50k,2.7n,920965,55.016,81.3814
b_tip,50k,3.3n,897026,54.9594,81.3814
b_tip,50k,4.7n,854091,55.617,81.3814
b_max,10k,1f,962887,65.229,81.2091
b_max,10k,47p,965259,64.9345,81.2091
b_max,10k,100p,967810,64.5984,81.2091
b_max,10k,220p,973036,63.8267,81.2091
b_max,10k,470p,981185,62.2055,81.2091
b_max,10k,1n,983924,59.0976,81.2091
b_max,10k,1.5n,971042,57.0164,81.2092
b_max,10k,2.2n,941890,55.4936,81.2092
b_max,10k,2.7n,920158,55.0843,81.2092
b_max,10k,3.3n,896416,55.0179,81.2093
b_max,10k,4.7n,853708,55.6576,81.2094
b_max,50k,1f,964060,65.238,81.376
b_max,50k,47p,966464,64.9405,81.376
b_max,50k,100p,969047,64.601,81.376
b_max,50k,220p,974336,63.8212,81.376
b_max,50k,470p,982608,62.1817,81.376
b_max,50k,1n,985279,59.0442,81.376
b_max,50k,1.5n,972096,56.9527,81.376
b_max,50k,2.2n,942533,55.4332,81.376
b_max,50k,2.7n,920582,55.0311,81.376
b_max,50k,3.3n,896661,54.9735,81.376
b_max,50k,4.7n,853749,55.6293,81.376
