carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,796293,69.4734,80.0362
1,1m,47p,797731,69.2429,80.0362
1,1m,100p,799356,68.9813,80.0362
1,1m,220p,803050,68.3818,80.0362
1,1m,470p,810803,67.1006,80.0362
1,1m,1n,827822,64.2221,80.0362
1,1m,2.2n,867660,56.8461,80.0362
1,1m,4.7n,927551,38.9907,80.0361
1,430,1f,796278,69.366,80.0362
1,430,47p,797716,69.1354,80.0362
1,430,100p,799341,68.8735,80.0362
1,430,220p,803035,68.2735,80.0362
1,430,470p,810787,66.9913,80.0362
1,430,1n,827804,64.1107,80.0362
1,430,2.2n,867639,56.7296,80.0362
1,430,4.7n,927524,38.867,80.0361
2,1m,1f,795628,69.4838,79.9425
2,1m,47p,797060,69.2538,79.9425
2,1m,100p,798680,68.9927,79.9425
2,1m,220p,802362,68.3944,79.9425
2,1m,470p,810089,67.1157,79.9425
2,1m,1n,827027,64.2443,79.9425
2,1m,2.2n,866656,56.8903,79.9425
2,1m,4.7n,926276,39.0968,79.9425
2,430,1f,795612,69.3766,79.9425
2,430,47p,797045,69.1464,79.9425
2,430,100p,798664,68.8851,79.9425
2,430,220p,802346,68.2862,79.9425
2,430,470p,810073,67.0066,79.9425
2,430,1n,827009,64.133,79.9425
2,430,2.2n,866634,56.7739,79.9425
2,430,4.7n,926248,38.9733,79.9425
