c124,c137,rsep,rld,ccable,fcross_hz,pm_deg,tdb_20k
470p,100p,68,10k,4.7n,880308,65.3202,33.7159
470p,100p,68,50k,1f,1.00564E+06,69.5024,33.7356
470p,100p,68,50k,470p,1.01056E+06,66.9908,33.7348
470p,100p,68,50k,1n,995132,65.0024,33.7338
470p,100p,68,50k,1.5n,972071,64.1108,33.7328
470p,100p,68,50k,2.2n,941226,63.8627,33.7313
470p,100p,68,50k,2.7n,923310,64.0316,33.7302
470p,100p,68,50k,3.3n,906272,64.3826,33.7287
470p,100p,68,50k,4.7n,880233,65.3088,33.7249
470p,150p,47,10k,1f,1.00665E+06,69.4866,33.7264
470p,150p,47,10k,470p,1.01444E+06,66.9237,33.7256
470p,150p,47,10k,1n,1.00619E+06,64.521,33.7247
470p,150p,47,10k,1.5n,987355,63.0181,33.7238
470p,150p,47,10k,2.2n,955528,61.9908,33.7224
470p,150p,47,10k,2.7n,933938,61.7621,33.7213
470p,150p,47,10k,3.3n,911181,61.8042,33.72
470p,150p,47,10k,4.7n,871484,62.4923,33.7167
470p,150p,47,50k,1f,1.00784E+06,69.4846,33.7356
470p,150p,47,50k,470p,1.0157E+06,66.8963,33.7348
470p,150p,47,50k,1n,1.00728E+06,64.4741,33.7338
470p,150p,47,50k,1.5n,988144,62.9659,33.7329
470p,150p,47,50k,2.2n,955969,61.9427,33.7315
470p,150p,47,50k,2.7n,934204,61.7198,33.7304
470p,150p,47,50k,3.3n,911307,61.7689,33.7291
470p,150p,47,50k,4.7n,871462,62.4699,33.7257
470p,150p,56,10k,1f,1.00665E+06,69.4865,33.7264
470p,150p,56,10k,470p,1.01318E+06,66.957,33.7256
470p,150p,56,10k,1n,1.00161E+06,64.741,33.7247
470p,150p,56,10k,1.5n,980505,63.521,33.7237
470p,150p,56,10k,2.2n,948574,62.8781,33.7223
470p,150p,56,10k,2.7n,928362,62.8606,33.7212
470p,150p,56,10k,3.3n,908057,63.079,33.7199
470p,150p,56,10k,4.7n,874751,63.9397,33.7164
470p,150p,56,50k,1f,1.00784E+06,69.4846,33.7356
470p,150p,56,50k,470p,1.01442E+06,66.9267,33.7348
470p,150p,56,50k,1n,1.00261E+06,64.6921,33.7338
470p,150p,56,50k,1.5n,981163,63.47,33.7328
470p,150p,56,50k,2.2n,948877,62.8349,33.7314
470p,150p,56,50k,2.7n,928516,62.8242,33.7303
470p,150p,56,50k,3.3n,908102,63.0502,33.7289
470p,150p,56,50k,4.7n,874694,63.923,33.7254
470p,150p,68,10k,1f,1.00665E+06,69.4865,33.7264
470p,150p,68,10k,470p,1.01156E+06,67.0054,33.7257
470p,150p,68,10k,1n,996315,65.0378,33.7247
470p,150p,68,10k,1.5n,973438,64.1513,33.7237
470p,150p,68,10k,2.2n,942746,63.9005,33.7222
470p,150p,68,10k,2.7n,924860,64.066,33.7211
470p,150p,68,10k,3.3n,907823,64.413,33.7197
470p,150p,68,10k,4.7n,881768,65.3319,33.7159
470p,150p,68,50k,1f,1.00784E+06,69.4846,33.7356
470p,150p,68,50k,470p,1.01277E+06,66.9715,33.7348
470p,150p,68,50k,1n,997164,64.9881,33.7338
470p,150p,68,50k,1.5n,973927,64.1035,33.7328
470p,150p,68,50k,2.2n,942920,63.8636,33.7313
470p,150p,68,50k,2.7n,924913,64.0368,33.7302
470p,150p,68,50k,3.3n,907801,64.3912,33.7287
470p,150p,68,50k,4.7n,881693,65.3205,33.7249
470p,220p,47,10k,1f,1.00851E+06,69.4352,33.7264
470p,220p,47,10k,470p,1.01634E+06,66.8701,33.7256
470p,220p,47,10k,1n,1.00806E+06,64.468,33.7247
470p,220p,47,10k,1.5n,989104,62.9699,33.7238
470p,220p,47,10k,2.2n,957134,61.9507,33.7224
