c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
680p,47p,68,0.1,2.5k,2.7n,212203,84.9391,20.5253
680p,47p,68,0.1,2.5k,3.3n,211211,84.4814,20.5242
680p,47p,68,0.1,2.5k,4.7n,208482,83.6167,20.5212
680p,47p,82,1g,1m,1f,672622,66.5221,30.5432
680p,47p,82,1g,1m,470p,673560,64.9445,30.5426
680p,47p,82,1g,1m,1n,667790,63.5883,30.5419
680p,47p,82,1g,1m,1.5n,658528,62.8374,30.5412
680p,47p,82,1g,1m,2.2n,644491,62.4564,30.54
680p,47p,82,1g,1m,2.7n,635472,62.4766,30.539
680p,47p,82,1g,1m,3.3n,626272,62.6656,30.5378
680p,47p,82,1g,1m,4.7n,611052,63.3389,30.5345
680p,47p,82,1g,1k,1f,672611,66.3352,30.5432
680p,47p,82,1g,1k,470p,673549,64.7574,30.5426
680p,47p,82,1g,1k,1n,667779,63.4028,30.5419
680p,47p,82,1g,1k,1.5n,658518,62.6544,30.5412
680p,47p,82,1g,1k,2.2n,644482,62.2773,30.54
680p,47p,82,1g,1k,2.7n,635463,62.3,30.539
680p,47p,82,1g,1k,3.3n,626263,62.4915,30.5378
680p,47p,82,1g,1k,4.7n,611044,63.169,30.5345
680p,47p,82,1g,2.5k,1f,672569,66.0563,30.5432
680p,47p,82,1g,2.5k,470p,673507,64.4783,30.5426
680p,47p,82,1g,2.5k,1n,667738,63.1261,30.5419
680p,47p,82,1g,2.5k,1.5n,658481,62.3815,30.5412
680p,47p,82,1g,2.5k,2.2n,644448,62.0101,30.54
680p,47p,82,1g,2.5k,2.7n,635430,62.0366,30.539
680p,47p,82,1g,2.5k,3.3n,626232,62.2318,30.5378
680p,47p,82,1g,2.5k,4.7n,611015,62.9155,30.5345
680p,47p,82,0.1,1m,1f,214125,87.6329,20.5293
680p,47p,82,0.1,1m,470p,214144,87.1575,20.5287
680p,47p,82,0.1,1m,1n,213925,86.6319,20.528
680p,47p,82,0.1,1m,1.5n,213505,86.1577,20.5273
680p,47p,82,0.1,1m,2.2n,212615,85.5468,20.5261
680p,47p,82,0.1,1m,2.7n,211802,85.1568,20.5252
680p,47p,82,0.1,1m,3.3n,210683,84.7451,20.5239
680p,47p,82,0.1,1m,4.7n,207764,84.0216,20.5206
680p,47p,82,0.1,1k,1f,214125,87.5733,20.5293
680p,47p,82,0.1,1k,470p,214144,87.098,20.5287
680p,47p,82,0.1,1k,1n,213925,86.5725,20.528
680p,47p,82,0.1,1k,1.5n,213505,86.0984,20.5273
680p,47p,82,0.1,1k,2.2n,212615,85.4877,20.5261
680p,47p,82,0.1,1k,2.7n,211802,85.0979,20.5252
680p,47p,82,0.1,1k,3.3n,210683,84.6865,20.5239
680p,47p,82,0.1,1k,4.7n,207764,83.9638,20.5206
680p,47p,82,0.1,2.5k,1f,214123,87.4843,20.5293
680p,47p,82,0.1,2.5k,470p,214143,87.009,20.5287
680p,47p,82,0.1,2.5k,1n,213923,86.4835,20.528
680p,47p,82,0.1,2.5k,1.5n,213503,86.0096,20.5273
680p,47p,82,0.1,2.5k,2.2n,212614,85.3993,20.5261
680p,47p,82,0.1,2.5k,2.7n,211801,85.0099,20.5252
680p,47p,82,0.1,2.5k,3.3n,210682,84.5989,20.5239
680p,47p,82,0.1,2.5k,4.7n,207762,83.8774,20.5206
680p,100p,68,1g,1m,1f,663894,68.0334,30.543
680p,100p,68,1g,1m,470p,665263,66.4643,30.5424
680p,100p,68,1g,1m,1n,660930,64.9878,30.5417
680p,100p,68,1g,1m,1.5n,653056,64.012,30.541
680p,100p,68,1g,1m,2.2n,639666,63.2808,30.5399
680p,100p,68,1g,1m,2.7n,630238,63.0887,30.539
680p,100p,68,1g,1m,3.3n,620097,63.0837,30.5378
680p,100p,68,1g,1m,4.7n,601837,63.5317,30.5348
680p,100p,68,1g,1k,1f,663882,67.849,30.543
680p,100p,68,1g,1k,470p,665251,66.2795,30.5424
680p,100p,68,1g,1k,1n,660918,64.8042,30.5417
680p,100p,68,1g,1k,1.5n,653045,63.8306,30.541
680p,100p,68,1g,1k,2.2n,639656,63.1031,30.5399
680p,100p,68,1g,1k,2.7n,630229,62.9136,30.539
680p,100p,68,1g,1k,3.3n,620088,62.9113,30.5378
680p,100p,68,1g,1k,4.7n,601829,63.3645,30.5348
680p,100p,68,1g,2.5k,1f,663840,67.5737,30.543
680p,100p,68,1g,2.5k,470p,665209,66.0038,30.5424
680p,100p,68,1g,2.5k,1n,660877,64.5303,30.5417
680p,100p,68,1g,2.5k,1.5n,653007,63.56,30.541
680p,100p,68,1g,2.5k,2.2n,639622,62.8379,30.5399
680p,100p,68,1g,2.5k,2.7n,630196,62.6523,30.539
680p,100p,68,1g,2.5k,3.3n,620057,62.6542,30.5378
680p,100p,68,1g,2.5k,4.7n,601801,63.1148,30.5348
680p,100p,68,0.1,1m,1f,217262,91.6806,20.5303
680p,100p,68,0.1,1m,470p,217299,91.1984,20.5298
680p,100p,68,0.1,1m,1n,217124,90.6583,20.5291
680p,100p,68,0.1,1m,1.5n,216758,90.1618,20.5284
680p,100p,68,0.1,1m,2.2n,215950,89.5031,20.5273
680p,100p,68,0.1,1m,2.7n,215191,89.0668,20.5264
680p,100p,68,0.1,1m,3.3n,214121,88.5875,20.5252
680p,100p,68,0.1,1m,4.7n,211245,87.6707,20.5222
680p,100p,68,0.1,1k,1f,217261,91.6202,20.5303
680p,100p,68,0.1,1k,470p,217298,91.1379,20.5298
680p,100p,68,0.1,1k,1n,217124,90.598,20.5291
680p,100p,68,0.1,1k,1.5n,216758,90.1016,20.5284
680p,100p,68,0.1,1k,2.2n,215949,89.443,20.5273
680p,100p,68,0.1,1k,2.7n,215191,89.007,20.5264
680p,100p,68,0.1,1k,3.3n,214121,88.528,20.5252
680p,100p,68,0.1,1k,4.7n,211244,87.612,20.5222
680p,100p,68,0.1,2.5k,1f,217260,91.5299,20.5303
680p,100p,68,0.1,2.5k,470p,217297,91.0476,20.5298
680p,100p,68,0.1,2.5k,1n,217122,90.5077,20.5291
680p,100p,68,0.1,2.5k,1.5n,216756,90.0114,20.5284
680p,100p,68,0.1,2.5k,2.2n,215948,89.3532,20.5273
680p,100p,68,0.1,2.5k,2.7n,215189,88.9175,20.5264
680p,100p,68,0.1,2.5k,3.3n,214119,88.4389,20.5252
680p,100p,68,0.1,2.5k,4.7n,211243,87.5241,20.5222
680p,100p,82,1g,1m,1f,663894,68.0334,30.543
680p,100p,82,1g,1m,470p,664778,66.4837,30.5424
680p,100p,82,1g,1m,1n,659176,65.1188,30.5417
680p,100p,82,1g,1m,1.5n,650269,64.3276,30.5409
680p,100p,82,1g,1m,2.2n,636643,63.8763,30.5397
680p,100p,82,1g,1m,2.7n,627801,63.8504,30.5388
680p,100p,82,1g,1m,3.3n,618779,63.9919,30.5376
680p,100p,82,1g,1m,4.7n,603791,64.59,30.5343
680p,100p,82,1g,1k,1f,663882,67.849,30.543
680p,100p,82,1g,1k,470p,664766,66.299,30.5424
680p,100p,82,1g,1k,1n,659164,64.9357,30.5417
680p,100p,82,1g,1k,1.5n,650258,64.147,30.5409
680p,100p,82,1g,1k,2.2n,636633,63.6995,30.5397
680p,100p,82,1g,1k,2.7n,627792,63.676,30.5388
680p,100p,82,1g,1k,3.3n,618770,63.82,30.5376
680p,100p,82,1g,1k,4.7n,603783,64.4222,30.5343
680p,100p,82,1g,2.5k,1f,663840,67.5737,30.543
680p,100p,82,1g,2.5k,470p,664724,66.0235,30.5424
680p,100p,82,1g,2.5k,1n,659125,64.6625,30.5417
680p,100p,82,1g,2.5k,1.5n,650221,63.8775,30.5409
680p,100p,82,1g,2.5k,2.2n,636598,63.4355,30.5397
680p,100p,82,1g,2.5k,2.7n,627760,63.4156,30.5388
680p,100p,82,1g,2.5k,3.3n,618738,63.5633,30.5376
680p,100p,82,1g,2.5k,4.7n,603753,64.1717,30.5343
680p,100p,82,0.1,1m,1f,217262,91.6806,20.5303
680p,100p,82,0.1,1m,470p,217282,91.1986,20.5298
680p,100p,82,0.1,1m,1n,217049,90.6616,20.5291
680p,100p,82,0.1,1m,1.5n,216597,90.1736,20.5283
680p,100p,82,0.1,1m,2.2n,215635,89.5402,20.5271
680p,100p,82,0.1,1m,2.7n,214758,89.1327,20.5262
680p,100p,82,0.1,1m,3.3n,213560,88.6992,20.525
680p,100p,82,0.1,1m,4.7n,210482,87.9255,20.5217
680p,100p,82,0.1,1k,1f,217261,91.6202,20.5303
680p,100p,82,0.1,1k,470p,217281,91.1382,20.5298
680p,100p,82,0.1,1k,1n,217049,90.6013,20.5291
680p,100p,82,0.1,1k,1.5n,216596,90.1134,20.5283
680p,100p,82,0.1,1k,2.2n,215634,89.4803,20.5271
680p,100p,82,0.1,1k,2.7n,214758,89.073,20.5262
680p,100p,82,0.1,1k,3.3n,213560,88.6398,20.525
680p,100p,82,0.1,1k,4.7n,210482,87.867,20.5217
680p,100p,82,0.1,2.5k,1f,217260,91.5299,20.5303
680p,100p,82,0.1,2.5k,470p,217280,91.0479,20.5298
680p,100p,82,0.1,2.5k,1n,217047,90.511,20.5291
680p,100p,82,0.1,2.5k,1.5n,216595,90.0234,20.5283
680p,100p,82,0.1,2.5k,2.2n,215633,89.3906,20.5271
680p,100p,82,0.1,2.5k,2.7n,214756,88.9837,20.5262
680p,100p,82,0.1,2.5k,3.3n,213558,88.551,20.525
680p,100p,82,0.1,2.5k,4.7n,210480,87.7794,20.5217
