c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
470p,100p,68,1g,2.5k,1f,933738,66.4412,33.7359
470p,100p,68,1g,2.5k,470p,937391,64.1434,33.7351
470p,100p,68,1g,2.5k,1n,925907,62.2142,33.7341
470p,100p,68,1g,2.5k,1.5n,907802,61.238,33.7331
470p,100p,68,1g,2.5k,2.2n,882381,60.8283,33.7316
470p,100p,68,1g,2.5k,2.7n,867038,60.9044,33.7305
470p,100p,68,1g,2.5k,3.3n,852127,61.1756,33.729
470p,100p,68,1g,2.5k,4.7n,828808,62.0083,33.7252
470p,100p,68,0.1,1m,1f,320272,94.548,23.723
470p,100p,68,0.1,1m,470p,320413,93.8327,23.7222
470p,100p,68,0.1,1m,1n,319849,93.0337,23.7212
470p,100p,68,0.1,1m,1.5n,318675,92.3163,23.7203
470p,100p,68,0.1,1m,2.2n,316192,91.4123,23.7188
470p,100p,68,0.1,1m,2.7n,314047,90.8544,23.7176
470p,100p,68,0.1,1m,3.3n,311199,90.2876,23.7162
470p,100p,68,0.1,1m,4.7n,304341,89.3648,23.7124
470p,100p,68,0.1,1k,1f,320270,94.459,23.723
470p,100p,68,0.1,1k,470p,320412,93.7436,23.7222
470p,100p,68,0.1,1k,1n,319847,92.9448,23.7212
470p,100p,68,0.1,1k,1.5n,318673,92.2277,23.7203
470p,100p,68,0.1,1k,2.2n,316191,91.3244,23.7188
470p,100p,68,0.1,1k,2.7n,314046,90.7671,23.7176
470p,100p,68,0.1,1k,3.3n,311198,90.2011,23.7162
470p,100p,68,0.1,1k,4.7n,304340,89.2802,23.7124
470p,100p,68,0.1,2.5k,1f,320265,94.3257,23.723
470p,100p,68,0.1,2.5k,470p,320407,93.6103,23.7222
470p,100p,68,0.1,2.5k,1n,319842,92.8117,23.7212
470p,100p,68,0.1,2.5k,1.5n,318668,92.0952,23.7203
470p,100p,68,0.1,2.5k,2.2n,316187,91.1928,23.7188
470p,100p,68,0.1,2.5k,2.7n,314041,90.6365,23.7176
470p,100p,68,0.1,2.5k,3.3n,311193,90.0716,23.7162
470p,100p,68,0.1,2.5k,4.7n,304336,89.1536,23.7124
470p,100p,82,1g,1m,1f,933889,67.0872,33.7359
470p,100p,82,1g,1m,470p,936176,64.8342,33.7351
470p,100p,82,1g,1m,1n,921917,63.1334,33.7341
470p,100p,82,1g,1m,1.5n,902922,62.4477,33.733
470p,100p,82,1g,1m,2.2n,879159,62.352,33.7315
470p,100p,82,1g,1m,2.7n,865995,62.5562,33.7303
470p,100p,82,1g,1m,3.3n,853892,62.8991,33.7287
470p,100p,82,1g,1m,4.7n,836179,63.7091,33.7246
470p,100p,82,1g,1k,1f,933854,66.8278,33.7359
470p,100p,82,1g,1k,470p,936142,64.5744,33.7351
470p,100p,82,1g,1k,1n,921886,62.8774,33.7341
470p,100p,82,1g,1k,1.5n,902893,62.197,33.733
470p,100p,82,1g,1k,2.2n,879134,62.1078,33.7315
470p,100p,82,1g,1k,2.7n,865971,62.3157,33.7303
470p,100p,82,1g,1k,3.3n,853868,62.6619,33.7287
470p,100p,82,1g,1k,4.7n,836156,63.4768,33.7246
470p,100p,82,1g,2.5k,1f,933738,66.4412,33.7359
470p,100p,82,1g,2.5k,470p,936025,64.1871,33.7351
470p,100p,82,1g,2.5k,1n,921778,62.4961,33.7341
470p,100p,82,1g,2.5k,1.5n,902795,61.8233,33.733
470p,100p,82,1g,2.5k,2.2n,879044,61.7438,33.7315
470p,100p,82,1g,2.5k,2.7n,865886,61.9569,33.7303
470p,100p,82,1g,2.5k,3.3n,853786,62.3081,33.7287
470p,100p,82,1g,2.5k,4.7n,836078,63.1302,33.7246
470p,100p,82,0.1,1m,1f,320272,94.548,23.723
470p,100p,82,0.1,1m,470p,320356,93.833,23.7222
470p,100p,82,0.1,1m,1n,319602,93.0419,23.7212
470p,100p,82,0.1,1m,1.5n,318171,92.3482,23.7202
470p,100p,82,0.1,1m,2.2n,315327,91.5099,23.7187
470p,100p,82,0.1,1m,2.7n,312960,91.0199,23.7175
470p,100p,82,0.1,1m,3.3n,309941,90.5499,23.7159
470p,100p,82,0.1,1m,4.7n,303162,89.8743,23.7119
470p,100p,82,0.1,1k,1f,320270,94.459,23.723
470p,100p,82,0.1,1k,470p,320354,93.7439,23.7222
470p,100p,82,0.1,1k,1n,319601,92.9531,23.7212
470p,100p,82,0.1,1k,1.5n,318169,92.2598,23.7202
470p,100p,82,0.1,1k,2.2n,315326,91.4222,23.7187
470p,100p,82,0.1,1k,2.7n,312958,90.9329,23.7175
470p,100p,82,0.1,1k,3.3n,309939,90.4637,23.7159
470p,100p,82,0.1,1k,4.7n,303161,89.79,23.7119
470p,100p,82,0.1,2.5k,1f,320265,94.3257,23.723
470p,100p,82,0.1,2.5k,470p,320349,93.6106,23.7222
470p,100p,82,0.1,2.5k,1n,319596,92.8201,23.7212
470p,100p,82,0.1,2.5k,1.5n,318164,92.1274,23.7202
470p,100p,82,0.1,2.5k,2.2n,315321,91.291,23.7187
470p,100p,82,0.1,2.5k,2.7n,312954,90.8027,23.7175
470p,100p,82,0.1,2.5k,3.3n,309935,90.3348,23.7159
470p,100p,82,0.1,2.5k,4.7n,303157,89.6639,23.7119
560p,47p,68,1g,1m,1f,804679,65.5011,32.2223
560p,47p,68,1g,1m,470p,807071,63.5482,32.2216
560p,47p,68,1g,1m,1n,799680,61.8447,32.2208
560p,47p,68,1g,1m,1.5n,787047,60.8884,32.2199
560p,47p,68,1g,1m,2.2n,767610,60.3804,32.2186
560p,47p,68,1g,1m,2.7n,755030,60.3792,32.2176
560p,47p,68,1g,1m,3.3n,742204,60.5807,32.2163
560p,47p,68,1g,1m,4.7n,720956,61.3477,32.2129
560p,47p,68,1g,1k,1f,804659,65.2776,32.2223
560p,47p,68,1g,1k,470p,807052,63.3241,32.2216
560p,47p,68,1g,1k,1n,799662,61.6226,32.2208
560p,47p,68,1g,1k,1.5n,787030,60.6698,32.2199
560p,47p,68,1g,1k,2.2n,767595,60.1671,32.2186
560p,47p,68,1g,1k,2.7n,755015,60.1694,32.2176
560p,47p,68,1g,1k,3.3n,742191,60.3744,32.2163
560p,47p,68,1g,1k,4.7n,720944,61.1473,32.2129
560p,47p,68,1g,2.5k,1f,804588,64.9443,32.2223
560p,47p,68,1g,2.5k,470p,806980,62.9899,32.2216
560p,47p,68,1g,2.5k,1n,799594,61.2917,32.2208
560p,47p,68,1g,2.5k,1.5n,786967,60.344,32.2199
560p,47p,68,1g,2.5k,2.2n,767538,59.8492,32.2186
560p,47p,68,1g,2.5k,2.7n,754962,59.8566,32.2176
560p,47p,68,1g,2.5k,3.3n,742140,60.0669,32.2163
560p,47p,68,1g,2.5k,4.7n,720897,60.8483,32.2129
560p,47p,68,0.1,1m,1f,260266,88.1925,22.2082
560p,47p,68,0.1,1m,470p,260334,87.612,22.2076
560p,47p,68,0.1,1m,1n,260047,86.9687,22.2067
560p,47p,68,0.1,1m,1.5n,259443,86.3881,22.2059
560p,47p,68,0.1,1m,2.2n,258128,85.6412,22.2046
560p,47p,68,0.1,1m,2.7n,256922,85.1658,22.2036
560p,47p,68,0.1,1m,3.3n,255295,84.665,22.2023
560p,47p,68,0.1,1m,4.7n,251034,83.79,22.199
560p,47p,68,0.1,1k,1f,260265,88.1202,22.2082
560p,47p,68,0.1,1k,470p,260333,87.5397,22.2076
560p,47p,68,0.1,1k,1n,260046,86.8964,22.2067
560p,47p,68,0.1,1k,1.5n,259442,86.316,22.2059
560p,47p,68,0.1,1k,2.2n,258127,85.5695,22.2046
560p,47p,68,0.1,1k,2.7n,256921,85.0944,22.2036
560p,47p,68,0.1,1k,3.3n,255295,84.5941,22.2023
560p,47p,68,0.1,1k,4.7n,251033,83.7203,22.199
560p,47p,68,0.1,2.5k,1f,260263,88.0119,22.2082
560p,47p,68,0.1,2.5k,470p,260331,87.4314,22.2076
560p,47p,68,0.1,2.5k,1n,260044,86.7883,22.2067
560p,47p,68,0.1,2.5k,1.5n,259440,86.2081,22.2059
560p,47p,68,0.1,2.5k,2.2n,258125,85.4622,22.2046
560p,47p,68,0.1,2.5k,2.7n,256919,84.9876,22.2036
560p,47p,68,0.1,2.5k,3.3n,255292,84.488,22.2023
560p,47p,68,0.1,2.5k,4.7n,251031,83.6159,22.199
560p,47p,82,1g,1m,1f,804679,65.5011,32.2223
560p,47p,82,1g,1m,470p,806219,63.5816,32.2216
560p,47p,82,1g,1m,1n,796791,62.059,32.2207
560p,47p,82,1g,1m,1.5n,783074,61.3573,32.2199
560p,47p,82,1g,1m,2.2n,764189,61.1672,32.2185
560p,47p,82,1g,1m,2.7n,752970,61.319,32.2174
560p,47p,82,1g,1m,3.3n,742144,61.6285,32.216
560p,47p,82,1g,1m,4.7n,725472,62.4399,32.2124
560p,47p,82,1g,1k,1f,804659,65.2776,32.2223
560p,47p,82,1g,1k,470p,806200,63.3577,32.2216
560p,47p,82,1g,1k,1n,796772,61.8377,32.2207
560p,47p,82,1g,1k,1.5n,783057,61.1397,32.2199
560p,47p,82,1g,1k,2.2n,764173,60.9549,32.2185
560p,47p,82,1g,1k,2.7n,752956,61.1098,32.2174
560p,47p,82,1g,1k,3.3n,742130,61.4222,32.216
560p,47p,82,1g,1k,4.7n,725459,62.2383,32.2124
560p,47p,82,1g,2.5k,1f,804589,64.9443,32.2223
560p,47p,82,1g,2.5k,470p,806129,63.0239,32.2216
560p,47p,82,1g,2.5k,1n,796705,61.5079,32.2207
560p,47p,82,1g,2.5k,1.5n,782995,60.8155,32.2199
560p,47p,82,1g,2.5k,2.2n,764117,60.6383,32.2185
560p,47p,82,1g,2.5k,2.7n,752902,60.7977,32.2174
560p,47p,82,1g,2.5k,3.3n,742078,61.1146,32.216
560p,47p,82,1g,2.5k,4.7n,725410,61.9375,32.2124
560p,47p,82,0.1,1m,1f,260266,88.1925,22.2082
560p,47p,82,0.1,1m,470p,260305,87.6128,22.2076
560p,47p,82,0.1,1m,1n,259921,86.9758,22.2067
560p,47p,82,0.1,1m,1.5n,259178,86.4111,22.2058
560p,47p,82,0.1,1m,2.2n,257630,85.708,22.2045
560p,47p,82,0.1,1m,2.7n,256277,85.2788,22.2034
560p,47p,82,0.1,1m,3.3n,254490,84.8475,22.2021
560p,47p,82,0.1,1m,4.7n,250088,84.1667,22.1984
560p,47p,82,0.1,1k,1f,260265,88.1202,22.2082
560p,47p,82,0.1,1k,470p,260305,87.5405,22.2076
560p,47p,82,0.1,1k,1n,259921,86.9035,22.2067
560p,47p,82,0.1,1k,1.5n,259177,86.3391,22.2058
560p,47p,82,0.1,1k,2.2n,257630,85.6364,22.2045
560p,47p,82,0.1,1k,2.7n,256276,85.2076,22.2034
560p,47p,82,0.1,1k,3.3n,254489,84.7768,22.2021
560p,47p,82,0.1,1k,4.7n,250087,84.0971,22.1984
560p,47p,82,0.1,2.5k,1f,260263,88.0119,22.2082
560p,47p,82,0.1,2.5k,470p,260302,87.4322,22.2076
560p,47p,82,0.1,2.5k,1n,259918,86.7954,22.2067
