c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_20k
470p,100p,47,1g,1m,1f,933889,67.0872,33.7359
470p,100p,47,1g,1m,470p,939672,64.7372,33.7351
470p,100p,47,1g,1m,1n,933563,62.4543,33.7341
470p,100p,47,1g,1m,1.5n,919245,60.9185,33.7332
470p,100p,47,1g,1m,2.2n,893880,59.7296,33.7318
470p,100p,47,1g,1m,2.7n,876029,59.3735,33.7307
470p,100p,47,1g,1m,3.3n,856721,59.2823,33.7294
470p,100p,47,1g,1m,4.7n,822037,59.7623,33.726
470p,100p,47,1g,1k,1f,933854,66.8278,33.7359
470p,100p,47,1g,1k,470p,939637,64.4763,33.7351
470p,100p,47,1g,1k,1n,933530,62.1953,33.7341
470p,100p,47,1g,1k,1.5n,919214,60.6634,33.7332
470p,100p,47,1g,1k,2.2n,893853,59.4815,33.7318
470p,100p,47,1g,1k,2.7n,876005,59.1302,33.7307
470p,100p,47,1g,1k,3.3n,856698,59.0443,33.7294
470p,100p,47,1g,1k,4.7n,822018,59.5339,33.726
470p,100p,47,1g,2.5k,1f,933738,66.4412,33.7359
470p,100p,47,1g,2.5k,470p,939518,64.0877,33.7351
470p,100p,47,1g,2.5k,1n,933414,61.8094,33.7341
470p,100p,47,1g,2.5k,1.5n,919108,60.2833,33.7332
470p,100p,47,1g,2.5k,2.2n,893759,59.1118,33.7318
470p,100p,47,1g,2.5k,2.7n,875919,58.7677,33.7307
470p,100p,47,1g,2.5k,3.3n,856619,58.6896,33.7294
470p,100p,47,1g,2.5k,4.7n,821949,59.1932,33.726
470p,100p,47,0.1,1m,1f,320271,94.548,23.723
470p,100p,47,0.1,1m,470p,320500,93.8328,23.7222
470p,100p,47,0.1,1m,1n,320229,93.0255,23.7213
470p,100p,47,0.1,1m,1.5n,319481,92.2803,23.7203
470p,100p,47,0.1,1m,2.2n,317717,91.2911,23.719
470p,100p,47,0.1,1m,2.7n,316034,90.6381,23.7179
470p,100p,47,0.1,1m,3.3n,313706,89.9239,23.7166
470p,100p,47,0.1,1m,4.7n,307402,88.5709,23.7132
470p,100p,47,0.1,1k,1f,320270,94.459,23.723
470p,100p,47,0.1,1k,470p,320498,93.7437,23.7222
470p,100p,47,0.1,1k,1n,320228,92.9365,23.7213
470p,100p,47,0.1,1k,1.5n,319480,92.1914,23.7203
470p,100p,47,0.1,1k,2.2n,317716,91.2028,23.719
470p,100p,47,0.1,1k,2.7n,316033,90.5502,23.7179
470p,100p,47,0.1,1k,3.3n,313705,89.8367,23.7166
470p,100p,47,0.1,1k,4.7n,307401,88.4855,23.7132
470p,100p,47,0.1,2.5k,1f,320265,94.3257,23.723
470p,100p,47,0.1,2.5k,470p,320493,93.6103,23.7222
470p,100p,47,0.1,2.5k,1n,320223,92.8033,23.7213
470p,100p,47,0.1,2.5k,1.5n,319475,92.0585,23.7203
470p,100p,47,0.1,2.5k,2.2n,317711,91.0706,23.719
470p,100p,47,0.1,2.5k,2.7n,316028,90.4188,23.7179
470p,100p,47,0.1,2.5k,3.3n,313700,89.7062,23.7166
470p,100p,47,0.1,2.5k,4.7n,307397,88.3577,23.7132
470p,100p,56,1g,1m,1f,933889,67.0872,33.7359
470p,100p,56,1g,1m,470p,938750,64.7589,33.7351
470p,100p,56,1g,1m,1n,930146,62.6211,33.7341
470p,100p,56,1g,1m,1.5n,913747,61.3322,33.7332
470p,100p,56,1g,1m,2.2n,887812,60.5129,33.7317
470p,100p,56,1g,1m,2.7n,870776,60.377,33.7306
470p,100p,56,1g,1m,3.3n,853311,60.4819,33.7292
470p,100p,56,1g,1m,4.7n,823884,61.1856,33.7257
470p,100p,56,1g,1k,1f,933854,66.8278,33.7359
470p,100p,56,1g,1k,470p,938715,64.4983,33.7351
470p,100p,56,1g,1k,1n,930114,62.363,33.7341
470p,100p,56,1g,1k,1.5n,913717,61.0785,33.7332
470p,100p,56,1g,1k,2.2n,887786,60.2663,33.7317
470p,100p,56,1g,1k,2.7n,870752,60.1352,33.7306
470p,100p,56,1g,1k,3.3n,853288,60.2449,33.7292
470p,100p,56,1g,1k,4.7n,823864,60.9567,33.7257
470p,100p,56,1g,2.5k,1f,933738,66.4412,33.7359
470p,100p,56,1g,2.5k,470p,938597,64.11,33.7351
470p,100p,56,1g,2.5k,1n,930003,61.9784,33.7341
470p,100p,56,1g,2.5k,1.5n,913614,60.7007,33.7332
470p,100p,56,1g,2.5k,2.2n,887696,59.8989,33.7317
470p,100p,56,1g,2.5k,2.7n,870668,59.7747,33.7306
470p,100p,56,1g,2.5k,3.3n,853208,59.8915,33.7292
470p,100p,56,1g,2.5k,4.7n,823793,60.6152,33.7257
470p,100p,56,0.1,1m,1f,320272,94.548,23.723
470p,100p,56,0.1,1m,470p,320462,93.8327,23.7222
470p,100p,56,0.1,1m,1n,320065,93.0284,23.7213
470p,100p,56,0.1,1m,1.5n,319129,92.2939,23.7203
470p,100p,56,0.1,1m,2.2n,317036,91.3388,23.7189
470p,100p,56,0.1,1m,2.7n,315130,90.7249,23.7178
470p,100p,56,0.1,1m,3.3n,312537,90.0731,23.7164
470p,100p,56,0.1,1m,4.7n,305874,88.9111,23.7129
470p,100p,56,0.1,1k,1f,320270,94.459,23.723
470p,100p,56,0.1,1k,470p,320461,93.7436,23.7222
470p,100p,56,0.1,1k,1n,320063,92.9394,23.7213
470p,100p,56,0.1,1k,1.5n,319127,92.2052,23.7203
470p,100p,56,0.1,1k,2.2n,317035,91.2506,23.7189
470p,100p,56,0.1,1k,2.7n,315129,90.6373,23.7178
470p,100p,56,0.1,1k,3.3n,312535,89.9862,23.7164
470p,100p,56,0.1,1k,4.7n,305873,88.8261,23.7129
470p,100p,56,0.1,2.5k,1f,320265,94.3257,23.723
470p,100p,56,0.1,2.5k,470p,320456,93.6102,23.7222
470p,100p,56,0.1,2.5k,1n,320058,92.8063,23.7213
470p,100p,56,0.1,2.5k,1.5n,319122,92.0724,23.7203
