k,mode,rsrc,rload,ccable,fcross_hz,pm_deg,tdb_10hz,tdb_20k
1,1g,1m,100k,1f,959802,63.0161,72.3992,33.7362
1,1g,1m,100k,470p,966159,60.5363,72.3992,33.7355
1,1g,1m,100k,1n,959725,58.2268,72.3992,33.7345
1,1g,1m,100k,1.5n,944423,56.7755,72.3993,33.7336
1,1g,1m,100k,1.8n,933131,56.2277,72.3993,33.733
1,1g,1m,100k,2.2n,917614,55.7907,72.3993,33.7322
1,1g,1m,100k,2.7n,898875,55.5916,72.3993,33.7311
1,1g,1m,100k,3.3n,878737,55.6737,72.3993,33.7298
1,1g,1m,100k,3.9n,861551,55.9514,72.3993,33.7283
1,1g,1m,100k,4.7n,842838,56.4623,72.3993,33.7264
1,1g,1m,10k,1f,958641,63.0235,72.296,33.7259
1,1g,1m,10k,470p,964935,60.5706,72.296,33.7252
1,1g,1m,10k,1n,958653,58.2819,72.296,33.7242
1,1g,1m,10k,1.5n,943620,56.8366,72.296,33.7233
1,1g,1m,10k,1.8n,932490,56.2879,72.296,33.7227
1,1g,1m,10k,2.2n,917145,55.8473,72.296,33.7219
1,1g,1m,10k,2.7n,898581,55.6417,72.2961,33.7209
1,1g,1m,10k,3.3n,878587,55.7155,72.2961,33.7195
1,1g,1m,10k,3.9n,861492,55.9859,72.2961,33.7182
1,1g,1m,10k,4.7n,842851,56.4888,72.2961,33.7162
1,1g,500,100k,1f,959791,62.8826,72.3992,33.7362
1,1g,500,100k,470p,966147,60.4019,72.3992,33.7355
1,1g,500,100k,1n,959715,58.0933,72.3992,33.7345
1,1g,500,100k,1.5n,944413,56.6442,72.3993,33.7336
1,1g,500,100k,1.8n,933122,56.098,72.3993,33.733
1,1g,500,100k,2.2n,917605,55.6631,72.3993,33.7322
1,1g,500,100k,2.7n,898867,55.4666,72.3993,33.7311
1,1g,500,100k,3.3n,878730,55.5514,72.3993,33.7298
1,1g,500,100k,3.9n,861544,55.8315,72.3993,33.7283
1,1g,500,100k,4.7n,842832,56.345,72.3993,33.7264
1,1g,500,10k,1f,958630,62.8901,72.296,33.7259
1,1g,500,10k,470p,964924,60.4365,72.296,33.7252
1,1g,500,10k,1n,958643,58.1486,72.296,33.7242
1,1g,500,10k,1.5n,943610,56.7054,72.296,33.7233
1,1g,500,10k,1.8n,932482,56.1582,72.296,33.7227
1,1g,500,10k,2.2n,917136,55.7198,72.296,33.7219
1,1g,500,10k,2.7n,898574,55.5167,72.2961,33.7209
1,1g,500,10k,3.3n,878580,55.5933,72.2961,33.7195
1,1g,500,10k,3.9n,861486,55.8661,72.2961,33.7182
1,1g,500,10k,4.7n,842845,56.3716,72.2961,33.7162
1,1g,1k,100k,1f,959770,62.7495,72.3992,33.7362
1,1g,1k,100k,470p,966127,60.268,72.3992,33.7355
1,1g,1k,100k,1n,959695,57.9603,72.3992,33.7345
1,1g,1k,100k,1.5n,944395,56.5133,72.3993,33.7336
1,1g,1k,100k,1.8n,933105,55.9686,72.3993,33.733
1,1g,1k,100k,2.2n,917589,55.5358,72.3993,33.7322
1,1g,1k,100k,2.7n,898852,55.342,72.3993,33.7311
1,1g,1k,100k,3.3n,878716,55.4296,72.3993,33.7298
1,1g,1k,100k,3.9n,861531,55.712,72.3993,33.7283
1,1g,1k,100k,4.7n,842820,56.2281,72.3993,33.7264
1,1g,1k,10k,1f,958610,62.7572,72.296,33.7259
1,1g,1k,10k,470p,964903,60.3027,72.296,33.7252
1,1g,1k,10k,1n,958623,58.0157,72.296,33.7242
1,1g,1k,10k,1.5n,943592,56.5746,72.296,33.7233
1,1g,1k,10k,1.8n,932465,56.029,72.296,33.7227
1,1g,1k,10k,2.2n,917120,55.5926,72.296,33.7219
1,1g,1k,10k,2.7n,898559,55.3921,72.2961,33.7209
1,1g,1k,10k,3.3n,878566,55.4714,72.2961,33.7195
1,1g,1k,10k,3.9n,861473,55.7465,72.2961,33.7182
1,1g,1k,10k,4.7n,842833,56.2546,72.2961,33.7162
1,1g,1.5k,100k,1f,959740,62.6168,72.3992,33.7362
1,1g,1.5k,100k,470p,966096,60.1345,72.3992,33.7355
1,1g,1.5k,100k,1n,959666,57.8278,72.3992,33.7345
1,1g,1.5k,100k,1.5n,944368,56.3828,72.3993,33.7336
1,1g,1.5k,100k,1.8n,933080,55.8397,72.3993,33.733
1,1g,1.5k,100k,2.2n,917566,55.409,72.3993,33.7322
1,1g,1.5k,100k,2.7n,898830,55.2177,72.3993,33.7311
1,1g,1.5k,100k,3.3n,878696,55.308,72.3993,33.7298
1,1g,1.5k,100k,3.9n,861513,55.5928,72.3993,33.7283
1,1g,1.5k,100k,4.7n,842802,56.1114,72.3993,33.7264
1,1g,1.5k,10k,1f,958580,62.6246,72.296,33.7259
1,1g,1.5k,10k,470p,964873,60.1694,72.296,33.7252
1,1g,1.5k,10k,1n,958594,57.8833,72.296,33.7242
1,1g,1.5k,10k,1.5n,943565,56.4442,72.296,33.7233
1,1g,1.5k,10k,1.8n,932440,55.9001,72.296,33.7227
1,1g,1.5k,10k,2.2n,917097,55.4659,72.296,33.7219
1,1g,1.5k,10k,2.7n,898537,55.2679,72.2961,33.7209
1,1g,1.5k,10k,3.3n,878546,55.3499,72.2961,33.7195
1,1g,1.5k,10k,3.9n,861454,55.6273,72.2961,33.7182
1,1g,1.5k,10k,4.7n,842815,56.138,72.2961,33.7162
1,1g,2k,100k,1f,959701,62.4845,72.3992,33.7362
1,1g,2k,100k,470p,966057,60.0014,72.3992,33.7355
1,1g,2k,100k,1n,959627,57.6957,72.3992,33.7345
1,1g,2k,100k,1.5n,944333,56.2528,72.3993,33.7336
1,1g,2k,100k,1.8n,933047,55.7112,72.3993,33.733
1,1g,2k,100k,2.2n,917534,55.2826,72.3993,33.7322
1,1g,2k,100k,2.7n,898802,55.0938,72.3993,33.7311
1,1g,2k,100k,3.3n,878670,55.1868,72.3993,33.7298
1,1g,2k,100k,3.9n,861488,55.4739,72.3993,33.7283
1,1g,2k,100k,4.7n,842779,55.9951,72.3993,33.7264
1,1g,2k,10k,1f,958541,62.4925,72.296,33.7259
1,1g,2k,10k,470p,964833,60.0365,72.296,33.7252
1,1g,2k,10k,1n,958555,57.7514,72.296,33.7242
1,1g,2k,10k,1.5n,943530,56.3143,72.296,33.7233
1,1g,2k,10k,1.8n,932406,55.7717,72.296,33.7227
1,1g,2k,10k,2.2n,917065,55.3395,72.296,33.7219
1,1g,2k,10k,2.7n,898508,55.144,72.2961,33.7209
1,1g,2k,10k,3.3n,878520,55.2288,72.2961,33.7195
1,1g,2k,10k,3.9n,861430,55.5085,72.2961,33.7182
1,1g,2k,10k,4.7n,842792,56.0216,72.2961,33.7162
1,1g,2.5k,100k,1f,959653,62.3526,72.3992,33.7362
1,1g,2.5k,100k,470p,966007,59.8688,72.3992,33.7355
1,1g,2.5k,100k,1n,959579,57.564,72.3992,33.7345
1,1g,2.5k,100k,1.5n,944289,56.1232,72.3993,33.7336
1,1g,2.5k,100k,1.8n,933006,55.5831,72.3993,33.733
1,1g,2.5k,100k,2.2n,917495,55.1566,72.3993,33.7322
1,1g,2.5k,100k,2.7n,898766,54.9703,72.3993,33.7311
1,1g,2.5k,100k,3.3n,878637,55.066,72.3993,33.7298
1,1g,2.5k,100k,3.9n,861457,55.3554,72.3993,33.7283
1,1g,2.5k,100k,4.7n,842750,55.879,72.3993,33.7264
1,1g,2.5k,10k,1f,958492,62.3607,72.296,33.7259
1,1g,2.5k,10k,470p,964784,59.904,72.296,33.7252
1,1g,2.5k,10k,1n,958508,57.6199,72.296,33.7242
1,1g,2.5k,10k,1.5n,943486,56.1848,72.296,33.7233
1,1g,2.5k,10k,1.8n,932365,55.6437,72.296,33.7227
1,1g,2.5k,10k,2.2n,917027,55.2136,72.296,33.7219
1,1g,2.5k,10k,2.7n,898473,55.0205,72.2961,33.7209
1,1g,2.5k,10k,3.3n,878487,55.1079,72.2961,33.7195
1,1g,2.5k,10k,3.9n,861399,55.3899,72.2961,33.7182
1,1g,2.5k,10k,4.7n,842763,55.9056,72.2961,33.7162
1,0.1,1m,100k,1f,308478,86.0157,61.8675,23.7218
1,0.1,1m,100k,470p,308668,85.3223,61.8675,23.721
1,0.1,1m,100k,1n,308448,84.5506,61.8675,23.72
1,0.1,1m,100k,1.5n,307835,83.847,61.8675,23.7191
1,0.1,1m,100k,1.8n,307290,83.4416,61.8675,23.7185
1,0.1,1m,100k,2.2n,306378,82.9252,61.8675,23.7177
1,0.1,1m,100k,2.7n,304974,82.3237,61.8675,23.7167
1,0.1,1m,100k,3.3n,302974,81.673,61.8675,23.7153
1,0.1,1m,100k,3.9n,300747,81.1024,61.8675,23.714
1,0.1,1m,100k,4.7n,297557,80.4642,61.8675,23.712
1,0.1,1m,10k,1f,308114,86.0137,61.7708,23.7115
1,0.1,1m,10k,470p,308302,85.3277,61.7708,23.7107
1,0.1,1m,10k,1n,308088,84.5642,61.7709,23.7098
1,0.1,1m,10k,1.5n,307485,83.8679,61.7709,23.7089
1,0.1,1m,10k,1.8n,306950,83.4664,61.7709,23.7083
1,0.1,1m,10k,2.2n,306053,82.9547,61.7709,23.7075
1,0.1,1m,10k,2.7n,304672,82.3582,61.7709,23.7065
1,0.1,1m,10k,3.3n,302701,81.7122,61.771,23.7052
1,0.1,1m,10k,3.9n,300510,81.1448,61.771,23.7038
1,0.1,1m,10k,4.7n,297360,80.5092,61.771,23.7019
1,0.1,500,100k,1f,308478,85.9728,61.8675,23.7218
1,0.1,500,100k,470p,308668,85.2793,61.8675,23.721
1,0.1,500,100k,1n,308448,84.5077,61.8675,23.72
1,0.1,500,100k,1.5n,307834,83.8042,61.8675,23.7191
1,0.1,500,100k,1.8n,307290,83.3989,61.8675,23.7185
1,0.1,500,100k,2.2n,306378,82.8826,61.8675,23.7177
1,0.1,500,100k,2.7n,304974,82.2813,61.8675,23.7167
1,0.1,500,100k,3.3n,302974,81.6309,61.8675,23.7153
1,0.1,500,100k,3.9n,300746,81.0606,61.8675,23.714
