k,mode,rsrc,rload,ccable,fcross_hz,pm_deg,tdb_10hz,tdb_20k
1,0.1,500,100k,4.7n,297556,80.4229,61.8675,23.712
1,0.1,500,10k,1f,308114,85.9709,61.7708,23.7115
1,0.1,500,10k,470p,308302,85.2849,61.7708,23.7107
1,0.1,500,10k,1n,308087,84.5214,61.7709,23.7098
1,0.1,500,10k,1.5n,307485,83.8251,61.7709,23.7089
1,0.1,500,10k,1.8n,306950,83.4237,61.7709,23.7083
1,0.1,500,10k,2.2n,306053,82.9121,61.7709,23.7075
1,0.1,500,10k,2.7n,304671,82.3159,61.7709,23.7065
1,0.1,500,10k,3.3n,302701,81.6701,61.771,23.7052
1,0.1,500,10k,3.9n,300510,81.103,61.771,23.7038
1,0.1,500,10k,4.7n,297359,80.4678,61.771,23.7019
1,0.1,1k,100k,1f,308477,85.9299,61.8675,23.7218
1,0.1,1k,100k,470p,308667,85.2365,61.8675,23.721
1,0.1,1k,100k,1n,308447,84.4648,61.8675,23.72
1,0.1,1k,100k,1.5n,307834,83.7615,61.8675,23.7191
1,0.1,1k,100k,1.8n,307289,83.3562,61.8675,23.7185
1,0.1,1k,100k,2.2n,306377,82.84,61.8675,23.7177
1,0.1,1k,100k,2.7n,304973,82.2389,61.8675,23.7167
1,0.1,1k,100k,3.3n,302973,81.5888,61.8675,23.7153
1,0.1,1k,100k,3.9n,300746,81.0188,61.8675,23.714
1,0.1,1k,100k,4.7n,297556,80.3815,61.8675,23.712
1,0.1,1k,10k,1f,308113,85.9281,61.7708,23.7115
1,0.1,1k,10k,470p,308301,85.2421,61.7708,23.7107
1,0.1,1k,10k,1n,308086,84.4786,61.7709,23.7098
1,0.1,1k,10k,1.5n,307484,83.7824,61.7709,23.7089
1,0.1,1k,10k,1.8n,306949,83.3811,61.7709,23.7083
1,0.1,1k,10k,2.2n,306052,82.8696,61.7709,23.7075
1,0.1,1k,10k,2.7n,304670,82.2736,61.7709,23.7065
1,0.1,1k,10k,3.3n,302700,81.6281,61.771,23.7052
1,0.1,1k,10k,3.9n,300509,81.0613,61.771,23.7038
1,0.1,1k,10k,4.7n,297359,80.4265,61.771,23.7019
1,0.1,1.5k,100k,1f,308476,85.8871,61.8675,23.7218
1,0.1,1.5k,100k,470p,308666,85.1937,61.8675,23.721
1,0.1,1.5k,100k,1n,308446,84.4221,61.8675,23.72
1,0.1,1.5k,100k,1.5n,307833,83.7188,61.8675,23.7191
1,0.1,1.5k,100k,1.8n,307288,83.3136,61.8675,23.7185
1,0.1,1.5k,100k,2.2n,306376,82.7975,61.8675,23.7177
1,0.1,1.5k,100k,2.7n,304972,82.1966,61.8675,23.7167
1,0.1,1.5k,100k,3.3n,302972,81.5468,61.8675,23.7153
1,0.1,1.5k,100k,3.9n,300745,80.9771,61.8675,23.714
1,0.1,1.5k,100k,4.7n,297555,80.3403,61.8675,23.712
1,0.1,1.5k,10k,1f,308112,85.8853,61.7708,23.7115
1,0.1,1.5k,10k,470p,308300,85.1993,61.7708,23.7107
1,0.1,1.5k,10k,1n,308085,84.4359,61.7709,23.7098
1,0.1,1.5k,10k,1.5n,307483,83.7398,61.7709,23.7089
1,0.1,1.5k,10k,1.8n,306948,83.3385,61.7709,23.7083
1,0.1,1.5k,10k,2.2n,306051,82.8272,61.7709,23.7075
1,0.1,1.5k,10k,2.7n,304670,82.2313,61.7709,23.7065
1,0.1,1.5k,10k,3.3n,302699,81.5861,61.771,23.7052
1,0.1,1.5k,10k,3.9n,300508,81.0196,61.771,23.7038
1,0.1,1.5k,10k,4.7n,297358,80.3853,61.771,23.7019
1,0.1,2k,100k,1f,308475,85.8444,61.8675,23.7218
1,0.1,2k,100k,470p,308665,85.1509,61.8675,23.721
1,0.1,2k,100k,1n,308445,84.3793,61.8675,23.72
1,0.1,2k,100k,1.5n,307832,83.6761,61.8675,23.7191
1,0.1,2k,100k,1.8n,307287,83.271,61.8675,23.7185
1,0.1,2k,100k,2.2n,306375,82.7551,61.8675,23.7177
1,0.1,2k,100k,2.7n,304971,82.1544,61.8675,23.7167
1,0.1,2k,100k,3.3n,302971,81.5048,61.8675,23.7153
1,0.1,2k,100k,3.9n,300744,80.9355,61.8675,23.714
1,0.1,2k,100k,4.7n,297554,80.299,61.8675,23.712
1,0.1,2k,10k,1f,308110,85.8426,61.7708,23.7115
1,0.1,2k,10k,470p,308299,85.1566,61.7708,23.7107
1,0.1,2k,10k,1n,308084,84.3932,61.7709,23.7098
1,0.1,2k,10k,1.5n,307482,83.6972,61.7709,23.7089
1,0.1,2k,10k,1.8n,306947,83.296,61.7709,23.7083
1,0.1,2k,10k,2.2n,306050,82.7848,61.7709,23.7075
1,0.1,2k,10k,2.7n,304668,82.1891,61.7709,23.7065
1,0.1,2k,10k,3.3n,302698,81.5442,61.771,23.7052
1,0.1,2k,10k,3.9n,300507,80.978,61.771,23.7038
1,0.1,2k,10k,4.7n,297357,80.3441,61.771,23.7019
1,0.1,2.5k,100k,1f,308473,85.8017,61.8675,23.7218
1,0.1,2.5k,100k,470p,308663,85.1081,61.8675,23.721
1,0.1,2.5k,100k,1n,308443,84.3366,61.8675,23.72
1,0.1,2.5k,100k,1.5n,307830,83.6335,61.8675,23.7191
1,0.1,2.5k,100k,1.8n,307285,83.2285,61.8675,23.7185
1,0.1,2.5k,100k,2.2n,306373,82.7127,61.8675,23.7177
1,0.1,2.5k,100k,2.7n,304969,82.1122,61.8675,23.7167
1,0.1,2.5k,100k,3.3n,302970,81.4629,61.8675,23.7153
1,0.1,2.5k,100k,3.9n,300742,80.8939,61.8675,23.714
1,0.1,2.5k,100k,4.7n,297552,80.2579,61.8675,23.712
1,0.1,2.5k,10k,1f,308109,85.8,61.7708,23.7115
1,0.1,2.5k,10k,470p,308297,85.1139,61.7708,23.7107
1,0.1,2.5k,10k,1n,308082,84.3505,61.7709,23.7098
1,0.1,2.5k,10k,1.5n,307480,83.6546,61.7709,23.7089
1,0.1,2.5k,10k,1.8n,306945,83.2535,61.7709,23.7083
1,0.1,2.5k,10k,2.2n,306048,82.7424,61.7709,23.7075
1,0.1,2.5k,10k,2.7n,304667,82.1469,61.7709,23.7065
1,0.1,2.5k,10k,3.3n,302697,81.5023,61.7709,23.7052
1,0.1,2.5k,10k,3.9n,300505,80.9364,61.771,23.7038
1,0.1,2.5k,10k,4.7n,297355,80.3029,61.771,23.7019
2,1g,1m,100k,1f,470037,68.0571,72.3716,27.2046
2,1g,1m,100k,470p,470837,66.9553,72.3716,27.2043
2,1g,1m,100k,1n,470098,65.8004,72.3716,27.2038
2,1g,1m,100k,1.5n,467932,64.8413,72.3716,27.2033
2,1g,1m,100k,1.8n,466092,64.3365,72.3716,27.203
2,1g,1m,100k,2.2n,463115,63.7522,72.3716,27.2026
2,1g,1m,100k,2.7n,458764,63.163,72.3716,27.202
2,1g,1m,100k,3.3n,453076,62.642,72.3716,27.2012
2,1g,1m,100k,3.9n,447177,62.297,72.3716,27.2003
2,1g,1m,100k,4.7n,439527,62.0486,72.3716,27.1991
2,1g,1m,10k,1f,469446,68.0725,72.2671,27.1944
2,1g,1m,10k,470p,470238,66.9828,72.2672,27.194
2,1g,1m,10k,1n,469517,65.8396,72.2672,27.1936
2,1g,1m,10k,1.5n,467399,64.8886,72.2672,27.1931
2,1g,1m,10k,1.8n,465595,64.3875,72.2672,27.1928
2,1g,1m,10k,2.2n,462665,63.8067,72.2672,27.1924
2,1g,1m,10k,2.7n,458376,63.2196,72.2672,27.1918
2,1g,1m,10k,3.3n,452768,62.6983,72.2673,27.191
2,1g,1m,10k,3.9n,446933,62.3515,72.2673,27.1902
2,1g,1m,10k,4.7n,439360,62.099,72.2673,27.189
2,1g,500,100k,1f,470036,67.9917,72.3716,27.2046
2,1g,500,100k,470p,470836,66.8899,72.3716,27.2043
2,1g,500,100k,1n,470097,65.735,72.3716,27.2038
2,1g,500,100k,1.5n,467930,64.7762,72.3716,27.2033
2,1g,500,100k,1.8n,466090,64.2717,72.3716,27.203
2,1g,500,100k,2.2n,463114,63.6878,72.3716,27.2026
2,1g,500,100k,2.7n,458763,63.0992,72.3716,27.202
2,1g,500,100k,3.3n,453075,62.579,72.3716,27.2012
2,1g,500,100k,3.9n,447176,62.2348,72.3716,27.2003
2,1g,500,100k,4.7n,439526,61.9875,72.3716,27.1991
2,1g,500,10k,1f,469445,68.0072,72.2671,27.1944
2,1g,500,10k,470p,470237,66.9174,72.2672,27.194
2,1g,500,10k,1n,469516,65.7743,72.2672,27.1936
2,1g,500,10k,1.5n,467398,64.8236,72.2672,27.1931
2,1g,500,10k,1.8n,465594,64.3227,72.2672,27.1928
2,1g,500,10k,2.2n,462664,63.7423,72.2672,27.1924
2,1g,500,10k,2.7n,458375,63.1558,72.2672,27.1918
2,1g,500,10k,3.3n,452767,62.6353,72.2673,27.191
2,1g,500,10k,3.9n,446932,62.2894,72.2673,27.1902
2,1g,500,10k,4.7n,439359,62.0379,72.2673,27.189
2,1g,1k,100k,1f,470034,67.9264,72.3716,27.2046
2,1g,1k,100k,470p,470833,66.8245,72.3716,27.2043
2,1g,1k,100k,1n,470094,65.6698,72.3716,27.2038
2,1g,1k,100k,1.5n,467928,64.7112,72.3716,27.2033
2,1g,1k,100k,1.8n,466088,64.207,72.3716,27.203
2,1g,1k,100k,2.2n,463112,63.6235,72.3716,27.2025
2,1g,1k,100k,2.7n,458761,63.0355,72.3716,27.202
2,1g,1k,100k,3.3n,453073,62.5161,72.3716,27.2012
2,1g,1k,100k,3.9n,447174,62.1727,72.3716,27.2003
2,1g,1k,100k,4.7n,439524,61.9264,72.3716,27.1991
2,1g,1k,10k,1f,469442,67.9421,72.2671,27.1944
2,1g,1k,10k,470p,470234,66.8521,72.2672,27.194
2,1g,1k,10k,1n,469513,65.7091,72.2672,27.1936
2,1g,1k,10k,1.5n,467396,64.7588,72.2672,27.1931
2,1g,1k,10k,1.8n,465592,64.2581,72.2672,27.1928
2,1g,1k,10k,2.2n,462662,63.6781,72.2672,27.1924
2,1g,1k,10k,2.7n,458373,63.0922,72.2672,27.1918
2,1g,1k,10k,3.3n,452765,62.5725,72.2673,27.191
2,1g,1k,10k,3.9n,446930,62.2273,72.2673,27.1902
2,1g,1k,10k,4.7n,439357,61.9769,72.2673,27.189
2,1g,1.5k,100k,1f,470030,67.8613,72.3716,27.2046
2,1g,1.5k,100k,470p,470830,66.7593,72.3716,27.2043
2,1g,1.5k,100k,1n,470090,65.6046,72.3716,27.2038
2,1g,1.5k,100k,1.5n,467924,64.6464,72.3716,27.2033
2,1g,1.5k,100k,1.8n,466085,64.1424,72.3716,27.203
2,1g,1.5k,100k,2.2n,463108,63.5594,72.3716,27.2025
2,1g,1.5k,100k,2.7n,458758,62.9719,72.3716,27.202
2,1g,1.5k,100k,3.3n,453070,62.4533,72.3716,27.2012
2,1g,1.5k,100k,3.9n,447171,62.1108,72.3716,27.2003
2,1g,1.5k,100k,4.7n,439521,61.8655,72.3716,27.1991
2,1g,1.5k,10k,1f,469438,67.877,72.2671,27.1944
2,1g,1.5k,10k,470p,470230,66.7869,72.2672,27.194
2,1g,1.5k,10k,1n,469510,65.6441,72.2672,27.1936
2,1g,1.5k,10k,1.5n,467392,64.694,72.2672,27.1931
2,1g,1.5k,10k,1.8n,465588,64.1936,72.2672,27.1928
2,1g,1.5k,10k,2.2n,462659,63.614,72.2672,27.1924
2,1g,1.5k,10k,2.7n,458369,63.0287,72.2672,27.1918
2,1g,1.5k,10k,3.3n,452762,62.5097,72.2673,27.191
2,1g,1.5k,10k,3.9n,446928,62.1654,72.2673,27.1902
2,1g,1.5k,10k,4.7n,439354,61.916,72.2673,27.189
2,1g,2k,100k,1f,470025,67.7963,72.3716,27.2046
2,1g,2k,100k,470p,470825,66.6942,72.3716,27.2043
2,1g,2k,100k,1n,470086,65.5396,72.3716,27.2038
2,1g,2k,100k,1.5n,467920,64.5817,72.3716,27.2033
2,1g,2k,100k,1.8n,466080,64.078,72.3716,27.203
2,1g,2k,100k,2.2n,463104,63.4954,72.3716,27.2025
2,1g,2k,100k,2.7n,458753,62.9085,72.3716,27.202
2,1g,2k,100k,3.3n,453066,62.3907,72.3716,27.2012
2,1g,2k,100k,3.9n,447167,62.0489,72.3716,27.2003
2,1g,2k,100k,4.7n,439518,61.8047,72.3716,27.1991
2,1g,2k,10k,1f,469434,67.8121,72.2671,27.1944
2,1g,2k,10k,470p,470226,66.7219,72.2672,27.194
2,1g,2k,10k,1n,469505,65.5792,72.2672,27.1936
2,1g,2k,10k,1.5n,467388,64.6294,72.2672,27.1931
2,1g,2k,10k,1.8n,465584,64.1292,72.2672,27.1928
2,1g,2k,10k,2.2n,462654,63.55,72.2672,27.1924
2,1g,2k,10k,2.7n,458365,62.9653,72.2672,27.1918
2,1g,2k,10k,3.3n,452758,62.4471,72.2673,27.191
2,1g,2k,10k,3.9n,446924,62.1036,72.2673,27.1902
2,1g,2k,10k,4.7n,439351,61.8552,72.2673,27.189
2,1g,2.5k,100k,1f,470019,67.7314,72.3716,27.2046
2,1g,2.5k,100k,470p,470819,66.6292,72.3716,27.2043
2,1g,2.5k,100k,1n,470080,65.4748,72.3716,27.2038
2,1g,2.5k,100k,1.5n,467914,64.5172,72.3716,27.2033
2,1g,2.5k,100k,1.8n,466075,64.0137,72.3716,27.203
2,1g,2.5k,100k,2.2n,463099,63.4315,72.3716,27.2025
2,1g,2.5k,100k,2.7n,458748,62.8452,72.3716,27.202
2,1g,2.5k,100k,3.3n,453061,62.3281,72.3716,27.2012
2,1g,2.5k,100k,3.9n,447163,61.9872,72.3716,27.2003
2,1g,2.5k,100k,4.7n,439513,61.7441,72.3716,27.1991
2,1g,2.5k,10k,1f,469428,67.7473,72.2671,27.1944
2,1g,2.5k,10k,470p,470219,66.657,72.2672,27.194
2,1g,2.5k,10k,1n,469499,65.5144,72.2672,27.1936
2,1g,2.5k,10k,1.5n,467382,64.5649,72.2672,27.1931
2,1g,2.5k,10k,1.8n,465578,64.065,72.2672,27.1928
2,1g,2.5k,10k,2.2n,462649,63.4862,72.2672,27.1924
2,1g,2.5k,10k,2.7n,458360,62.9021,72.2672,27.1918
2,1g,2.5k,10k,3.3n,452753,62.3846,72.2673,27.191
2,1g,2.5k,10k,3.9n,446919,62.0419,72.2673,27.1902
2,1g,2.5k,10k,4.7n,439346,61.7945,72.2673,27.189
2,0.1,1m,100k,1f,145292,85.4652,61.8429,17.1905
2,0.1,1m,100k,470p,145308,85.1432,61.8429,17.1901
2,0.1,1m,100k,1n,145281,84.7823,61.8429,17.1897
2,0.1,1m,100k,1.5n,145212,84.4453,61.8429,17.1892
2,0.1,1m,100k,1.8n,145150,84.2454,61.8429,17.1889
2,0.1,1m,100k,2.2n,145045,83.9822,61.8429,17.1885
2,0.1,1m,100k,2.7n,144878,83.6593,61.8429,17.1879
2,0.1,1m,100k,3.3n,144628,83.2825,61.8429,17.1871
2,0.1,1m,100k,3.9n,144331,82.9188,61.8429,17.1863
2,0.1,1m,100k,4.7n,143868,82.457,61.8429,17.185
2,0.1,1m,10k,1f,145119,85.4678,61.7452,17.1803
2,0.1,1m,10k,470p,145136,85.1493,61.7452,17.18
2,0.1,1m,10k,1n,145109,84.7922,61.7452,17.1795
2,0.1,1m,10k,1.5n,145041,84.4588,61.7453,17.1791
2,0.1,1m,10k,1.8n,144980,84.261,61.7453,17.1788
2,0.1,1m,10k,2.2n,144877,84.0004,61.7453,17.1783
2,0.1,1m,10k,2.7n,144713,83.6808,61.7453,17.1777
2,0.1,1m,10k,3.3n,144469,83.3076,61.7453,17.177
2,0.1,1m,10k,3.9n,144179,82.9473,61.7454,17.1762
2,0.1,1m,10k,4.7n,143723,82.4895,61.7454,17.175
2,0.1,500,100k,1f,145292,85.445,61.8429,17.1905
2,0.1,500,100k,470p,145308,85.123,61.8429,17.1901
2,0.1,500,100k,1n,145281,84.7621,61.8429,17.1897
2,0.1,500,100k,1.5n,145212,84.4251,61.8429,17.1892
2,0.1,500,100k,1.8n,145150,84.2252,61.8429,17.1889
2,0.1,500,100k,2.2n,145045,83.962,61.8429,17.1885
2,0.1,500,100k,2.7n,144878,83.6392,61.8429,17.1879
2,0.1,500,100k,3.3n,144627,83.2624,61.8429,17.1871
2,0.1,500,100k,3.9n,144331,82.8988,61.8429,17.1863
2,0.1,500,100k,4.7n,143868,82.437,61.8429,17.185
2,0.1,500,10k,1f,145119,85.4476,61.7452,17.1803
2,0.1,500,10k,470p,145136,85.1291,61.7452,17.18
2,0.1,500,10k,1n,145109,84.772,61.7452,17.1795
2,0.1,500,10k,1.5n,145041,84.4386,61.7453,17.1791
2,0.1,500,10k,1.8n,144980,84.2408,61.7453,17.1788
2,0.1,500,10k,2.2n,144877,83.9803,61.7453,17.1783
2,0.1,500,10k,2.7n,144713,83.6607,61.7453,17.1777
2,0.1,500,10k,3.3n,144468,83.2876,61.7453,17.177
2,0.1,500,10k,3.9n,144179,82.9272,61.7454,17.1762
2,0.1,500,10k,4.7n,143723,82.4695,61.7454,17.175
2,0.1,1k,100k,1f,145292,85.4248,61.8429,17.1905
2,0.1,1k,100k,470p,145308,85.1029,61.8429,17.1901
2,0.1,1k,100k,1n,145281,84.7419,61.8429,17.1897
2,0.1,1k,100k,1.5n,145212,84.405,61.8429,17.1892
2,0.1,1k,100k,1.8n,145150,84.2051,61.8429,17.1889
2,0.1,1k,100k,2.2n,145045,83.9419,61.8429,17.1885
2,0.1,1k,100k,2.7n,144878,83.619,61.8429,17.1879
2,0.1,1k,100k,3.3n,144627,83.2423,61.8429,17.1871
2,0.1,1k,100k,3.9n,144331,82.8787,61.8429,17.1863
2,0.1,1k,100k,4.7n,143868,82.417,61.8429,17.185
2,0.1,1k,10k,1f,145119,85.4275,61.7452,17.1803
