k,c124,c137,riso,rsrc,rload,ccable,pm_deg
2,4.465E-10,3.135E-10,47.47,2k,10k,2.3n,61.2031
2,4.465E-10,3.135E-10,47.47,2k,10k,2.6n,61.07
2,4.465E-10,3.135E-10,47.47,2k,10k,2.9n,61.0351
2,4.465E-10,3.135E-10,47.47,2k,10k,3.2n,61.0688
2,4.465E-10,3.135E-10,47.47,2k,10k,3.5n,61.1564
2,4.465E-10,3.135E-10,47.47,2k,10k,3.8n,61.2789
2,4.465E-10,3.135E-10,47.47,2k,10k,4.2n,61.4838
2,4.465E-10,3.135E-10,47.47,2k,10k,4.7n,61.7745
2,4.465E-10,3.135E-10,47.47,2.5k,100k,2n,61.2752
2,4.465E-10,3.135E-10,47.47,2.5k,100k,2.3n,61.0196
2,4.465E-10,3.135E-10,47.47,2.5k,100k,2.6n,60.8923
2,4.465E-10,3.135E-10,47.47,2.5k,100k,2.9n,60.863
2,4.465E-10,3.135E-10,47.47,2.5k,100k,3.2n,60.9021
2,4.465E-10,3.135E-10,47.47,2.5k,100k,3.5n,60.9948
2,4.465E-10,3.135E-10,47.47,2.5k,100k,3.8n,61.1219
2,4.465E-10,3.135E-10,47.47,2.5k,100k,4.2n,61.3323
2,4.465E-10,3.135E-10,47.47,2.5k,100k,4.7n,61.629
2,4.465E-10,3.135E-10,47.47,2.5k,10k,2n,61.3304
2,4.465E-10,3.135E-10,47.47,2.5k,10k,2.3n,61.0716
2,4.465E-10,3.135E-10,47.47,2.5k,10k,2.6n,60.9403
2,4.465E-10,3.135E-10,47.47,2.5k,10k,2.9n,60.9069
2,4.465E-10,3.135E-10,47.47,2.5k,10k,3.2n,60.9421
2,4.465E-10,3.135E-10,47.47,2.5k,10k,3.5n,61.0311
2,4.465E-10,3.135E-10,47.47,2.5k,10k,3.8n,61.1549
2,4.465E-10,3.135E-10,47.47,2.5k,10k,4.2n,61.3612
2,4.465E-10,3.135E-10,47.47,2.5k,10k,4.7n,61.6535
2,4.465E-10,3.465E-10,46.53,2k,100k,2n,61.3461
2,4.465E-10,3.465E-10,46.53,2k,100k,2.3n,61.075
2,4.465E-10,3.465E-10,46.53,2k,100k,2.6n,60.9366
2,4.465E-10,3.465E-10,46.53,2k,100k,2.9n,60.8965
2,4.465E-10,3.465E-10,46.53,2k,100k,3.2n,60.9285
2,4.465E-10,3.465E-10,46.53,2k,100k,3.5n,61.0144
2,4.465E-10,3.465E-10,46.53,2k,100k,3.8n,61.1376
2,4.465E-10,3.465E-10,46.53,2k,100k,4.2n,61.343
2,4.465E-10,3.465E-10,46.53,2k,100k,4.7n,61.6374
2,4.465E-10,3.465E-10,46.53,2k,10k,2n,61.4017
2,4.465E-10,3.465E-10,46.53,2k,10k,2.3n,61.1275
2,4.465E-10,3.465E-10,46.53,2k,10k,2.6n,60.9851
2,4.465E-10,3.465E-10,46.53,2k,10k,2.9n,60.9411
2,4.465E-10,3.465E-10,46.53,2k,10k,3.2n,60.9692
2,4.465E-10,3.465E-10,46.53,2k,10k,3.5n,61.0515
2,4.465E-10,3.465E-10,46.53,2k,10k,3.8n,61.1712
2,4.465E-10,3.465E-10,46.53,2k,10k,4.2n,61.3725
2,4.465E-10,3.465E-10,46.53,2k,10k,4.7n,61.6625
2,4.465E-10,3.465E-10,46.53,2.5k,100k,2n,61.2122
2,4.465E-10,3.465E-10,46.53,2.5k,100k,2.3n,60.943
2,4.465E-10,3.465E-10,46.53,2.5k,100k,2.6n,60.8063
2,4.465E-10,3.465E-10,46.53,2.5k,100k,2.9n,60.7679
2,4.465E-10,3.465E-10,46.53,2.5k,100k,3.2n,60.8014
2,4.465E-10,3.465E-10,46.53,2.5k,100k,3.5n,60.8887
2,4.465E-10,3.465E-10,46.53,2.5k,100k,3.8n,61.0131
2,4.465E-10,3.465E-10,46.53,2.5k,100k,4.2n,61.22
2,4.465E-10,3.465E-10,46.53,2.5k,100k,4.7n,61.5161
2,4.465E-10,3.465E-10,46.53,2.5k,10k,2n,61.2679
2,4.465E-10,3.465E-10,46.53,2.5k,10k,2.3n,60.9955
2,4.465E-10,3.465E-10,46.53,2.5k,10k,2.6n,60.8549
2,4.465E-10,3.465E-10,46.53,2.5k,10k,2.9n,60.8125
2,4.465E-10,3.465E-10,46.53,2.5k,10k,3.2n,60.8421
2,4.465E-10,3.465E-10,46.53,2.5k,10k,3.5n,60.9257
2,4.465E-10,3.465E-10,46.53,2.5k,10k,3.8n,61.0467
2,4.465E-10,3.465E-10,46.53,2.5k,10k,4.2n,61.2496
2,4.465E-10,3.465E-10,46.53,2.5k,10k,4.7n,61.5412
2,4.465E-10,3.465E-10,47.47,2k,100k,2n,61.4336
2,4.465E-10,3.465E-10,47.47,2k,100k,2.3n,61.1808
2,4.465E-10,3.465E-10,47.47,2k,100k,2.6n,61.058
2,4.465E-10,3.465E-10,47.47,2k,100k,2.9n,61.0315
2,4.465E-10,3.465E-10,47.47,2k,100k,3.2n,61.0746
2,4.465E-10,3.465E-10,47.47,2k,100k,3.5n,61.1697
2,4.465E-10,3.465E-10,47.47,2k,100k,3.8n,61.3
2,4.465E-10,3.465E-10,47.47,2k,100k,4.2n,61.5127
2,4.465E-10,3.465E-10,47.47,2k,100k,4.7n,61.8128
2,4.465E-10,3.465E-10,47.47,2k,10k,2n,61.4888
2,4.465E-10,3.465E-10,47.47,2k,10k,2.3n,61.2327
2,4.465E-10,3.465E-10,47.47,2k,10k,2.6n,61.1059
2,4.465E-10,3.465E-10,47.47,2k,10k,2.9n,61.0754
2,4.465E-10,3.465E-10,47.47,2k,10k,3.2n,61.1145
2,4.465E-10,3.465E-10,47.47,2k,10k,3.5n,61.2059
2,4.465E-10,3.465E-10,47.47,2k,10k,3.8n,61.3328
2,4.465E-10,3.465E-10,47.47,2k,10k,4.2n,61.5414
2,4.465E-10,3.465E-10,47.47,2k,10k,4.7n,61.8372
2,4.465E-10,3.465E-10,47.47,2.5k,100k,2n,61.2998
2,4.465E-10,3.465E-10,47.47,2.5k,100k,2.3n,61.0489
2,4.465E-10,3.465E-10,47.47,2.5k,100k,2.6n,60.9278
2,4.465E-10,3.465E-10,47.47,2.5k,100k,2.9n,60.903
2,4.465E-10,3.465E-10,47.47,2.5k,100k,3.2n,60.9475
2,4.465E-10,3.465E-10,47.47,2.5k,100k,3.5n,61.044
2,4.465E-10,3.465E-10,47.47,2.5k,100k,3.8n,61.1755
2,4.465E-10,3.465E-10,47.47,2.5k,100k,4.2n,61.3897
2,4.465E-10,3.465E-10,47.47,2.5k,100k,4.7n,61.6915
2,4.465E-10,3.465E-10,47.47,2.5k,10k,2n,61.3551
2,4.465E-10,3.465E-10,47.47,2.5k,10k,2.3n,61.1008
2,4.465E-10,3.465E-10,47.47,2.5k,10k,2.6n,60.9757
2,4.465E-10,3.465E-10,47.47,2.5k,10k,2.9n,60.9469
2,4.465E-10,3.465E-10,47.47,2.5k,10k,3.2n,60.9874
2,4.465E-10,3.465E-10,47.47,2.5k,10k,3.5n,61.0802
2,4.465E-10,3.465E-10,47.47,2.5k,10k,3.8n,61.2084
2,4.465E-10,3.465E-10,47.47,2.5k,10k,4.2n,61.4185
2,4.465E-10,3.465E-10,47.47,2.5k,10k,4.7n,61.7159
2,4.935E-10,3.135E-10,46.53,2k,100k,2n,62.203
2,4.935E-10,3.135E-10,46.53,2k,100k,2.3n,61.8689
2,4.935E-10,3.135E-10,46.53,2k,100k,2.6n,61.6611
2,4.935E-10,3.135E-10,46.53,2k,100k,2.9n,61.5525
2,4.935E-10,3.135E-10,46.53,2k,100k,3.2n,61.5194
2,4.935E-10,3.135E-10,46.53,2k,100k,3.5n,61.5452
2,4.935E-10,3.135E-10,46.53,2k,100k,3.8n,61.6143
2,4.935E-10,3.135E-10,46.53,2k,100k,4.2n,61.7563
2,4.935E-10,3.135E-10,46.53,2k,100k,4.7n,61.9856
2,4.935E-10,3.135E-10,46.53,2k,10k,2n,62.2589
2,4.935E-10,3.135E-10,46.53,2k,10k,2.3n,61.9227
2,4.935E-10,3.135E-10,46.53,2k,10k,2.6n,61.7117
2,4.935E-10,3.135E-10,46.53,2k,10k,2.9n,61.5998
2,4.935E-10,3.135E-10,46.53,2k,10k,3.2n,61.5631
2,4.935E-10,3.135E-10,46.53,2k,10k,3.5n,61.5856
2,4.935E-10,3.135E-10,46.53,2k,10k,3.8n,61.6514
2,4.935E-10,3.135E-10,46.53,2k,10k,4.2n,61.7894
2,4.935E-10,3.135E-10,46.53,2k,10k,4.7n,62.0142
2,4.935E-10,3.135E-10,46.53,2.5k,100k,2n,62.0812
2,4.935E-10,3.135E-10,46.53,2.5k,100k,2.3n,61.7487
2,4.935E-10,3.135E-10,46.53,2.5k,100k,2.6n,61.5423
2,4.935E-10,3.135E-10,46.53,2.5k,100k,2.9n,61.4351
2,4.935E-10,3.135E-10,46.53,2.5k,100k,3.2n,61.4033
2,4.935E-10,3.135E-10,46.53,2.5k,100k,3.5n,61.4304
2,4.935E-10,3.135E-10,46.53,2.5k,100k,3.8n,61.5006
2,4.935E-10,3.135E-10,46.53,2.5k,100k,4.2n,61.644
2,4.935E-10,3.135E-10,46.53,2.5k,100k,4.7n,61.8748
2,4.935E-10,3.135E-10,46.53,2.5k,10k,2n,62.1372
2,4.935E-10,3.135E-10,46.53,2.5k,10k,2.3n,61.8025
2,4.935E-10,3.135E-10,46.53,2.5k,10k,2.6n,61.5929
