c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_10hz
1n,22p,68,1g,1m,470p,470567,66.9693,72.3716
1n,22p,68,1g,1m,1n,468945,65.8879,72.3716
1n,22p,68,1g,1m,1.5n,465679,65.0704,72.3716
1n,22p,68,1g,1m,2.2n,459344,64.2837,72.3716
1n,22p,68,1g,1m,3.3n,448203,63.7398,72.3716
1n,22p,68,1g,1m,4.7n,435580,63.7757,72.3716
1n,22p,68,1g,2.5k,1f,470019,67.7314,72.3716
1n,22p,68,1g,2.5k,100p,470292,67.4936,72.3716
1n,22p,68,1g,2.5k,470p,470548,66.6433,72.3716
1n,22p,68,1g,2.5k,1n,468927,65.563,72.3716
1n,22p,68,1g,2.5k,1.5n,465662,64.7478,72.3716
1n,22p,68,1g,2.5k,2.2n,459328,63.9654,72.3716
1n,22p,68,1g,2.5k,3.3n,448188,63.4292,72.3716
1n,22p,68,1g,2.5k,4.7n,435568,63.4738,72.3716
1n,22p,68,0.1,1m,1f,145292,85.4652,61.8429
1n,22p,68,0.1,1m,100p,145298,85.3967,61.8429
1n,22p,68,0.1,1m,470p,145301,85.1437,61.8429
1n,22p,68,0.1,1m,1n,145248,84.7849,61.8429
1n,22p,68,0.1,1m,1.5n,145138,84.4526,61.8429
1n,22p,68,0.1,1m,2.2n,144890,84.0026,61.8429
1n,22p,68,0.1,1m,3.3n,144307,83.3433,61.8429
1n,22p,68,0.1,1m,4.7n,143298,82.6103,61.8429
1n,22p,68,0.1,2.5k,1f,145291,85.3644,61.8429
1n,22p,68,0.1,2.5k,100p,145298,85.2959,61.8429
1n,22p,68,0.1,2.5k,470p,145300,85.0429,61.8429
1n,22p,68,0.1,2.5k,1n,145247,84.6841,61.8429
1n,22p,68,0.1,2.5k,1.5n,145137,84.352,61.8429
1n,22p,68,0.1,2.5k,2.2n,144889,83.9021,61.8429
1n,22p,68,0.1,2.5k,3.3n,144307,83.2433,61.8429
1n,22p,68,0.1,2.5k,4.7n,143297,82.5109,61.8429
1n,47p,47,1g,1m,1f,466853,68.3828,72.3716
1n,47p,47,1g,1m,100p,467123,68.1472,72.3716
1n,47p,47,1g,1m,470p,467609,67.2913,72.3716
1n,47p,47,1g,1m,1n,466901,66.1425,72.3716
1n,47p,47,1g,1m,1.5n,464835,65.183,72.3716
1n,47p,47,1g,1m,2.2n,460128,64.0898,72.3716
1n,47p,47,1g,1m,3.3n,450353,62.9592,72.3716
1n,47p,47,1g,1m,4.7n,437082,62.3349,72.3716
1n,47p,47,1g,2.5k,1f,466835,68.0593,72.3716
1n,47p,47,1g,2.5k,100p,467105,67.8235,72.3716
1n,47p,47,1g,2.5k,470p,467590,66.9674,72.3716
1n,47p,47,1g,2.5k,1n,466883,65.819,72.3716
1n,47p,47,1g,2.5k,1.5n,464817,64.861,72.3716
1n,47p,47,1g,2.5k,2.2n,460112,63.7711,72.3716
1n,47p,47,1g,2.5k,3.3n,450338,62.6472,72.3716
1n,47p,47,1g,2.5k,4.7n,437069,62.032,72.3716
1n,47p,47,0.1,1m,1f,145506,86.7874,61.8429
1n,47p,47,0.1,1m,100p,145513,86.7188,61.8429
1n,47p,47,0.1,1m,470p,145523,86.4651,61.8429
1n,47p,47,0.1,1m,1n,145495,86.1034,61.8429
1n,47p,47,0.1,1m,1.5n,145426,85.7653,61.8429
1n,47p,47,0.1,1m,2.2n,145258,85.3,61.8429
1n,47p,47,0.1,1m,3.3n,144838,84.5957,61.8429
1n,47p,47,0.1,1m,4.7n,144068,83.7627,61.8429
1n,47p,47,0.1,2.5k,1f,145506,86.6864,61.8429
1n,47p,47,0.1,2.5k,100p,145513,86.6178,61.8429
1n,47p,47,0.1,2.5k,470p,145522,86.3642,61.8429
1n,47p,47,0.1,2.5k,1n,145495,86.0024,61.8429
1n,47p,47,0.1,2.5k,1.5n,145425,85.6644,61.8429
1n,47p,47,0.1,2.5k,2.2n,145257,85.1993,61.8429
1n,47p,47,0.1,2.5k,3.3n,144837,84.4953,61.8429
1n,47p,47,0.1,2.5k,4.7n,144068,83.6628,61.8429
1n,47p,68,1g,1m,1f,466853,68.3828,72.3716
1n,47p,68,1g,1m,100p,467111,68.1477,72.3716
1n,47p,68,1g,1m,470p,467352,67.3044,72.3716
1n,47p,68,1g,1m,1n,465804,66.2256,72.3716
1n,47p,68,1g,1m,1.5n,462639,65.4049,72.3716
1n,47p,68,1g,1m,2.2n,456450,64.6073,72.3716
1n,47p,68,1g,1m,3.3n,445577,64.0371,72.3716
1n,47p,68,1g,1m,4.7n,433213,64.0425,72.3716
1n,47p,68,1g,2.5k,1f,466835,68.0593,72.3716
1n,47p,68,1g,2.5k,100p,467093,67.824,72.3716
1n,47p,68,1g,2.5k,470p,467334,66.9806,72.3716
1n,47p,68,1g,2.5k,1n,465786,65.9029,72.3716
1n,47p,68,1g,2.5k,1.5n,462622,65.0845,72.3716
1n,47p,68,1g,2.5k,2.2n,456434,64.2911,72.3716
1n,47p,68,1g,2.5k,3.3n,445563,63.7284,72.3716
1n,47p,68,1g,2.5k,4.7n,433200,63.7422,72.3716
1n,47p,68,0.1,1m,1f,145506,86.7874,61.8429
1n,47p,68,0.1,1m,100p,145513,86.7188,61.8429
1n,47p,68,0.1,1m,470p,145515,86.4655,61.8429
1n,47p,68,0.1,1m,1n,145462,86.1057,61.8429
1n,47p,68,0.1,1m,1.5n,145351,85.772,61.8429
1n,47p,68,0.1,1m,2.2n,145102,85.3191,61.8429
1n,47p,68,0.1,1m,3.3n,144511,84.6541,61.8429
1n,47p,68,0.1,1m,4.7n,143496,83.9114,61.8429
1n,47p,68,0.1,2.5k,1f,145506,86.6864,61.8429
1n,47p,68,0.1,2.5k,100p,145512,86.6179,61.8429
1n,47p,68,0.1,2.5k,470p,145515,86.3646,61.8429
1n,47p,68,0.1,2.5k,1n,145461,86.0048,61.8429
1n,47p,68,0.1,2.5k,1.5n,145350,85.6712,61.8429
1n,47p,68,0.1,2.5k,2.2n,145101,85.2185,61.8429
1n,47p,68,0.1,2.5k,3.3n,144510,84.5538,61.8429
1n,47p,68,0.1,2.5k,4.7n,143495,83.8119,61.8429
