c124,c137,rsep,rld,ccable,fcross_hz,pm_deg,tdb_10hz
820p,47p,68,50k,3.3n,543701,66.4432,72.3734
820p,47p,68,50k,4.7n,527005,66.6935,72.3734
1n,22p,47,10k,1f,474777,71.6233,72.2694
1n,22p,47,10k,100p,475072,71.3868,72.2694
1n,22p,47,10k,470p,475611,70.5253,72.2694
1n,22p,47,10k,1n,474863,69.3637,72.2695
1n,22p,47,10k,1.5n,472647,68.3893,72.2695
1n,22p,47,10k,2.2n,467600,67.2733,72.2695
1n,22p,47,10k,3.3n,457240,66.1034,72.2696
1n,22p,47,10k,4.7n,443340,65.4277,72.2696
1n,22p,47,50k,1f,475314,71.6133,72.3618
1n,22p,47,50k,100p,475613,71.3744,72.3618
1n,22p,47,50k,470p,476156,70.5046,72.3618
1n,22p,47,50k,1n,475391,69.3323,72.3618
1n,22p,47,50k,1.5n,473137,68.35,72.3618
1n,22p,47,50k,2.2n,468013,67.2272,72.3618
1n,22p,47,50k,3.3n,457524,66.055,72.3618
1n,22p,47,50k,4.7n,443488,65.3841,72.3618
1n,22p,68,10k,1f,474778,71.6233,72.2696
1n,22p,68,10k,100p,475060,71.3881,72.2696
1n,22p,68,10k,470p,475334,70.5413,72.2697
1n,22p,68,10k,1n,473690,69.4513,72.2697
1n,22p,68,10k,1.5n,470311,68.6163,72.2697
1n,22p,68,10k,2.2n,463798,67.7926,72.2697
1n,22p,68,10k,3.3n,452369,67.1812,72.2698
1n,22p,68,10k,4.7n,439451,67.1364,72.2698
1n,22p,68,50k,1f,475314,71.6133,72.3618
1n,22p,68,50k,100p,475600,71.375,72.3618
1n,22p,68,50k,470p,475873,70.5173,72.3618
1n,22p,68,50k,1n,474188,69.4146,72.3618
1n,22p,68,50k,1.5n,470742,68.572,72.3618
1n,22p,68,50k,2.2n,464109,67.7451,72.3618
1n,22p,68,50k,3.3n,452527,67.1378,72.3618
1n,22p,68,50k,4.7n,439494,67.1031,72.3618
1n,47p,47,10k,1f,474773,71.6542,72.2694
1n,47p,47,10k,100p,475067,71.4178,72.2694
1n,47p,47,10k,470p,475602,70.5565,72.2694
1n,47p,47,10k,1n,474848,69.395,72.2695
1n,47p,47,10k,1.5n,472627,68.4206,72.2695
1n,47p,47,10k,2.2n,467576,67.3041,72.2695
1n,47p,47,10k,3.3n,457212,66.1331,72.2696
1n,47p,47,10k,4.7n,443311,65.4556,72.2696
1n,47p,47,50k,1f,475310,71.6443,72.3618
1n,47p,47,50k,100p,475608,71.4055,72.3618
1n,47p,47,50k,470p,476147,70.5358,72.3618
1n,47p,47,50k,1n,475376,69.3637,72.3618
1n,47p,47,50k,1.5n,473117,68.3813,72.3618
1n,47p,47,50k,2.2n,467989,67.2581,72.3618
1n,47p,47,50k,3.3n,457495,66.0847,72.3618
1n,47p,47,50k,4.7n,443459,65.4121,72.3618
1n,47p,68,10k,1f,474774,71.6542,72.2696
1n,47p,68,10k,100p,475055,71.419,72.2696
1n,47p,68,10k,470p,475325,70.5725,72.2697
1n,47p,68,10k,1n,473675,69.4825,72.2697
1n,47p,68,10k,1.5n,470293,68.6472,72.2697
1n,47p,68,10k,2.2n,463776,67.8228,72.2697
1n,47p,68,10k,3.3n,452345,67.21,72.2698
1n,47p,68,10k,4.7n,439428,67.1636,72.2698
1n,47p,68,50k,1f,475310,71.6443,72.3618
1n,47p,68,50k,100p,475595,71.406,72.3618
1n,47p,68,50k,470p,475864,70.5485,72.3618
1n,47p,68,50k,1n,474174,69.4458,72.3618
1n,47p,68,50k,1.5n,470723,68.603,72.3618
1n,47p,68,50k,2.2n,464087,67.7754,72.3618
1n,47p,68,50k,3.3n,452503,67.1667,72.3618
1n,47p,68,50k,4.7n,439471,67.1304,72.3618
