c124,c137,rsrc,cwire,fcross_hz,pm_deg,tdb_20k
470p,220p,430,2.2n,1.06719E+06,55.8426,33.7227
470p,220p,430,4.7n,1.06770E+06,41.0044,33.7184
470p,330p,1m,1f,1.01006E+06,69.3636,33.7264
470p,330p,1m,100p,1.01327E+06,68.801,33.7262
470p,330p,1m,220p,1.01708E+06,68.1185,33.726
470p,330p,1m,470p,1.02487E+06,66.6704,33.7256
470p,330p,1m,1n,1.04070E+06,63.4872,33.7247
470p,330p,1m,2.2n,1.06903E+06,55.888,33.7227
470p,330p,1m,4.7n,1.06954E+06,41.039,33.7184
470p,330p,430,1f,1.01005E+06,69.243,33.7264
470p,330p,430,100p,1.01326E+06,68.6801,33.7262
470p,330p,430,220p,1.01707E+06,67.9971,33.726
470p,330p,430,470p,1.02486E+06,66.5482,33.7256
470p,330p,430,1n,1.04069E+06,63.3631,33.7247
470p,330p,430,2.2n,1.06901E+06,55.7607,33.7227
470p,330p,430,4.7n,1.06953E+06,40.9119,33.7184
560p,22p,1m,1f,842680,70.0017,32.2125
560p,22p,1m,100p,844533,69.5456,32.2124
560p,22p,1m,220p,846721,68.9943,32.2122
560p,22p,1m,470p,851146,67.8328,32.2119
560p,22p,1m,1n,860086,65.3111,32.2112
560p,22p,1m,2.2n,875907,59.4173,32.2095
560p,22p,1m,4.7n,880761,47.5348,32.2058
560p,22p,430,1f,842674,69.9008,32.2125
560p,22p,430,100p,844526,69.4445,32.2124
560p,22p,430,220p,846714,68.8929,32.2122
560p,22p,430,470p,851139,67.7309,32.2119
560p,22p,430,1n,860079,65.2083,32.2112
560p,22p,430,2.2n,875900,59.3126,32.2095
560p,22p,430,4.7n,880755,47.4295,32.2058
560p,100p,1m,1f,844477,70.1717,32.2125
560p,100p,1m,100p,846322,69.7163,32.2124
560p,100p,1m,220p,848499,69.1659,32.2122
560p,100p,1m,470p,852948,68.0051,32.2119
560p,100p,1m,1n,861818,65.4877,32.2112
560p,100p,1m,2.2n,877424,59.604,32.2095
560p,100p,1m,4.7n,881376,47.7575,32.2058
560p,100p,430,1f,844468,70.0707,32.2125
560p,100p,430,100p,846313,69.6151,32.2124
560p,100p,430,220p,848491,69.0644,32.2122
560p,100p,430,470p,852939,67.9031,32.2119
560p,100p,430,1n,861809,65.3847,32.2112
560p,100p,430,2.2n,877414,59.4992,32.2095
560p,100p,430,4.7n,881368,47.6523,32.2058
560p,150p,1m,1f,845955,70.175,32.2125
560p,150p,1m,100p,847806,69.7193,32.2124
560p,150p,1m,220p,849991,69.1686,32.2122
560p,150p,1m,470p,854496,68.0061,32.2119
560p,150p,1m,1n,863391,65.487,32.2112
560p,150p,1m,2.2n,879059,59.5985,32.2095
560p,150p,1m,4.7n,882788,47.7547,32.2058
560p,150p,430,1f,845946,70.0739,32.2125
560p,150p,430,100p,847797,69.618,32.2124
560p,150p,430,220p,849982,69.067,32.2122
560p,150p,430,470p,854487,67.904,32.2119
560p,150p,430,1n,863382,65.3839,32.2112
560p,150p,430,2.2n,879049,59.4935,32.2095
560p,150p,430,4.7n,882779,47.6494,32.2058
560p,220p,1m,1f,847367,70.1425,32.2125
560p,220p,1m,100p,849227,69.6864,32.2124
560p,220p,1m,220p,851429,69.135,32.2122
560p,220p,1m,470p,855986,67.9708,32.2119
560p,220p,1m,1n,864922,65.4493,32.2112
560p,220p,1m,2.2n,880697,59.554,32.2095
560p,220p,1m,4.7n,884339,47.7065,32.2058
560p,220p,430,1f,847358,70.0413,32.2125
560p,220p,430,100p,849218,69.585,32.2124
560p,220p,430,220p,851420,69.0333,32.2122
560p,220p,430,470p,855977,67.8686,32.2119
560p,220p,430,1n,864912,65.3461,32.2112
560p,220p,430,2.2n,880686,59.4489,32.2095
560p,220p,430,4.7n,884330,47.6011,32.2058
560p,330p,1m,1f,848527,70.0903,32.2125
560p,330p,1m,100p,850395,69.6338,32.2124
560p,330p,1m,220p,852640,69.0813,32.2122
560p,330p,1m,470p,857220,67.9161,32.2119
560p,330p,1m,1n,866200,65.3924,32.2112
560p,330p,1m,2.2n,882099,59.4902,32.2095
560p,330p,1m,4.7n,885759,47.6356,32.2058
560p,330p,430,1f,848519,69.9889,32.2125
560p,330p,430,100p,850387,69.5323,32.2124
560p,330p,430,220p,852632,68.9795,32.2122
560p,330p,430,470p,857211,67.8138,32.2119
560p,330p,430,1n,866191,65.289,32.2112
560p,330p,430,2.2n,882089,59.3851,32.2095
560p,330p,430,4.7n,885749,47.5301,32.2058
