c124,c137,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1n,22p,430,220p,475500,71.0371,72.2585
1n,22p,430,470p,476265,70.436,72.2585
1n,22p,430,1n,477738,69.1565,72.2585
1n,22p,430,2.2n,480313,66.2451,72.2585
1n,22p,430,4.7n,481694,60.2713,72.2585
1n,47p,1m,1f,474787,71.6521,72.2585
1n,47p,1m,100p,475112,71.4127,72.2585
1n,47p,1m,220p,475494,71.125,72.2585
1n,47p,1m,470p,476257,70.5243,72.2585
1n,47p,1m,1n,477724,69.2453,72.2585
1n,47p,1m,2.2n,480284,66.3353,72.2585
1n,47p,1m,4.7n,481634,60.3636,72.2585
1n,47p,430,1f,474786,71.5953,72.2585
1n,47p,430,100p,475111,71.3559,72.2585
1n,47p,430,220p,475493,71.0682,72.2585
1n,47p,430,470p,476256,70.4673,72.2585
1n,47p,430,1n,477722,69.1882,72.2585
1n,47p,430,2.2n,480282,66.2778,72.2585
1n,47p,430,4.7n,481633,60.306,72.2585
