carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,812311,66.6974,81.1894
1,1m,47p,813787,66.4644,81.1894
1,1m,100p,815471,66.1993,81.1894
1,1m,220p,819302,65.5917,81.1894
1,1m,470p,827348,64.2917,81.1893
1,1m,1n,844977,61.3656,81.1893
1,1m,2.2n,886394,53.8228,81.1893
1,1m,4.7n,947441,35.4579,81.1893
1,430,1f,812295,66.5878,81.1894
1,430,47p,813771,66.3546,81.1894
1,430,100p,815456,66.0893,81.1894
1,430,220p,819287,65.4812,81.1894
1,430,470p,827332,64.1801,81.1893
1,430,1n,844959,61.2518,81.1893
1,430,2.2n,886372,53.7037,81.1893
1,430,4.7n,947414,35.3316,81.1893
2,1m,1f,811656,66.706,81.0939
2,1m,47p,813111,66.4738,81.0939
2,1m,100p,814791,66.2093,81.0939
2,1m,220p,818609,65.6028,81.0939
2,1m,470p,826627,64.3054,81.0939
2,1m,1n,844172,61.3865,81.0939
2,1m,2.2n,885370,53.8665,81.0939
2,1m,4.7n,946149,35.5656,81.0938
2,430,1f,811641,66.5965,81.0939
2,430,47p,813095,66.3642,81.0939
2,430,100p,814774,66.0994,81.0939
2,430,220p,818592,65.4924,81.0939
2,430,470p,826610,64.194,81.0939
2,430,1n,844154,61.2728,81.0939
2,430,2.2n,885346,53.7476,81.0939
2,430,4.7n,946120,35.4395,81.0938
