mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,753989,70.8753,80.5181,100k
0db,1m,1,47p,755408,70.6483,80.5181,100k
0db,1m,1,100p,756945,70.39,80.5181,100k
0db,1m,1,220p,760199,69.7971,80.5181,100k
0db,1m,1,470p,765687,68.5457,80.5181,100k
0db,1m,1,1n,770219,66.0147,80.5181,100k
0db,1m,1,1.5n,765879,64.0502,80.5181,100k
0db,1m,1,2.2n,750577,62.2117,80.5181,100k
0db,1m,1,2.7n,736896,61.4641,80.5181,100k
0db,1m,1,3.3n,720314,61.005,80.5181,100k
0db,1m,1,4.7n,686790,60.9703,80.5181,100k
0db,1m,2,1f,753989,70.8753,80.5181,100k
0db,1m,2,47p,755438,70.6482,80.5181,100k
0db,1m,2,100p,757078,70.3901,80.5181,100k
0db,1m,2,220p,760874,69.7964,80.5181,100k
0db,1m,2,470p,768973,68.5203,80.5181,100k
0db,1m,2,1n,786873,65.6311,80.5181,100k
0db,1m,2,1.5n,804703,62.6504,80.5181,100k
0db,1m,2,2.2n,830786,58.0192,80.518,100k
0db,1m,2,2.7n,849751,54.3653,80.518,100k
0db,1m,2,3.3n,871543,49.6412,80.518,100k
0db,1m,2,4.7n,906441,38.1621,80.518,100k
0db,1k,1,1f,753949,70.6394,80.5181,100k
0db,1k,1,47p,755368,70.412,80.5181,100k
0db,1k,1,100p,756905,70.1532,80.5181,100k
0db,1k,1,220p,760157,69.5593,80.5181,100k
0db,1k,1,470p,765644,68.3064,80.5181,100k
0db,1k,1,1n,770175,65.7741,80.5181,100k
0db,1k,1,1.5n,765837,63.8111,80.5181,100k
0db,1k,1,2.2n,750540,61.9773,80.5181,100k
0db,1k,1,2.7n,736861,61.2338,80.5181,100k
0db,1k,1,3.3n,720282,60.7798,80.5181,100k
0db,1k,1,4.7n,686763,60.7554,80.5181,100k
0db,1k,2,1f,753949,70.6394,80.5181,100k
0db,1k,2,47p,755398,70.4119,80.5181,100k
0db,1k,2,100p,757038,70.1533,80.5181,100k
