blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk,p_rail
B,10,1000,3.818,0.25,4,0.24387,0.242259,0.052232,-9.06741E-08,8.50968E-08,-0.0522976,0.0859647,-0.00586141,0.0860708,0.0108718,0.00150943,0.00177509,0.00986102,0.00990874,0.0640579,0.0193329,0.0189206,0.0165889,0.0166407,8.52963E-07,8.57812E-07,0.00385879,0.00383285,0.0628716,0,0.0365745,0,0.243607,0.243628,2.93109,3.37104
A,10,1000,3.818,0.25,5,0.213593,0.213174,0.0147542,0.0143564,-0.0143804,-0.0147335,0.0865487,-0.00641376,0.0864044,0.010983,0.00150942,0.0017756,0.0098607,0.00990865,0.0640873,0.0193161,0.0189068,0.0047626,0.0047636,2.45859E-07,2.46029E-07,0.00384448,0.00383301,0,0,0,0,0.213593,0.213593,3.8002,3.4082
F1,10,1000,3.818,0.25,5,0.244805,0.243933,0.056911,-2.20332E-07,2.38465E-07,-0.056915,0.0853726,-0.00580225,0.0862933,0.0108418,0.00150936,0.00177523,0.00986073,0.00990837,0.0640144,0.0193491,0.0189458,0.0193591,0.0193645,1.01006E-06,1.01177E-06,0.00386284,0.00383289,0.0778266,0,0.0406926,0,0.244525,0.244602,3.78116,3.4082
F2,10,1000,3.818,0.25,5,0.214137,0.213208,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866605,-0.00641647,0.0862968,0.0109829,0.00150942,0.00177556,0.00986063,0.0099086,0.0640146,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45893E-07,0.00384436,0.00383295,1.67364E-07,0,5.96737E-05,0,0.214137,0.214137,3.78247,3.4082
B,10,1000,3.818,0.25,5,0.213424,0.211979,0.0152479,0.0138371,-0.0138908,-0.0152529,0.0868593,-0.00640879,0.0860789,0.0109823,0.00150946,0.00177545,0.00986088,0.00990888,0.064058,0.0193333,0.0189201,0.004759,0.00477789,2.45692E-07,2.47157E-07,0.00384381,0.00383289,4.47187E-08,0,3.08458E-05,0,0.213422,0.213423,2.93396,3.4082
A,10,1000,3.818,0.5,0,0.213592,0.213173,0.0147546,0.014356,-0.01438,-0.0147339,0.0865488,-0.00641375,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476361,2.45859E-07,2.4603E-07,0.00384448,0.00383301,0,0,0,0,0.213593,0.213593,3.80026,3.22476
F1,10,1000,3.818,0.5,0,0.21384,0.21293,0.0147536,0.0143574,-0.0143809,-0.0147324,0.0866545,-0.00641368,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.0099086,0.0640145,0.0193525,0.0189424,0.00476273,0.0047634,2.45796E-07,2.46088E-07,0.00384435,0.00383295,3.53903E-06,0,0.000274406,0,0.21384,0.21384,3.78253,3.22476
F2,10,1000,3.818,0.5,0,0.214137,0.213207,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866606,-0.00641647,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.00990861,0.0640145,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45894E-07,0.00384436,0.00383295,1.67395E-07,0,5.96791E-05,0,0.214138,0.214138,3.78254,3.22476
B,10,1000,3.818,0.5,0,0.210385,0.208752,0.0159497,0.0131297,-0.0132138,-0.0159362,0.0867977,-0.00637517,0.0860309,0.0109807,0.00150942,0.0017754,0.00986101,0.00990862,0.0640419,0.0193399,0.018929,0.00477432,0.00479597,2.48856E-07,2.50538E-07,0.00384365,0.00383264,1.78683E-07,0,6.16586E-05,0,0.21038,0.21038,5.91646,3.22476
A,10,1000,3.818,0.5,1,0.213592,0.213174,0.0147546,0.014356,-0.01438,-0.0147339,0.0865486,-0.00641375,0.0864045,0.010983,0.00150942,0.0017756,0.00986071,0.00990865,0.0640874,0.0193161,0.0189067,0.0047626,0.00476361,2.4586E-07,2.46029E-07,0.00384448,0.00383301,0,0,0,0,0.213592,0.213592,3.80008,4.32947
F1,10,1000,3.818,0.5,1,0.269887,0.26889,0.0651187,-2.84983E-07,3.25721E-07,-0.0651234,0.0851799,-0.00571018,0.0862936,0.0107898,0.00150935,0.00177513,0.0098607,0.00990837,0.0640145,0.0193491,0.0189457,0.0248341,0.0248507,1.2987E-06,1.3014E-06,0.00386854,0.00383288,0.101898,0,0.0465623,0,0.269449,0.26964,3.78107,4.32947
F2,10,1000,3.818,0.5,1,0.269887,0.26889,0.0651187,-2.84983E-07,3.25721E-07,-0.0651234,0.0851799,-0.00571018,0.0862936,0.0107898,0.00150935,0.00177513,0.0098607,0.00990837,0.0640145,0.0193491,0.0189457,0.0248341,0.0248507,1.2987E-06,1.3014E-06,0.00386854,0.00383288,0.101898,0,0.0465623,0,0.269449,0.26964,3.78107,4.32947
B,10,1000,3.818,0.5,1,0.332006,0.327619,0.104335,-9.34065E-07,1.00533E-06,-0.1044,0.082804,-0.00521522,0.0860418,0.010501,0.00150926,0.00177408,0.00986064,0.00990872,0.0640418,0.0193363,0.0189324,0.0618476,0.0620215,3.46196E-06,3.48295E-06,0.00391036,0.00383245,0.251083,0,0.0730903,0,0.331222,0.331566,5.90878,4.32947
A,10,1000,3.818,0.5,2,0.213592,0.213174,0.0147546,0.014356,-0.01438,-0.0147339,0.0865487,-0.00641375,0.0864044,0.010983,0.00150942,0.0017756,0.0098607,0.00990865,0.0640873,0.0193161,0.0189068,0.0047626,0.00476361,2.4586E-07,2.4603E-07,0.00384448,0.00383301,0,0,0,0,0.213592,0.213592,3.80018,3.47648
F1,10,1000,3.818,0.5,2,0.269853,0.268922,0.0651214,-2.85294E-07,3.24655E-07,-0.0651261,0.0851797,-0.00571016,0.0862931,0.0107897,0.00150935,0.00177512,0.00986071,0.00990837,0.0640144,0.0193492,0.0189457,0.0248329,0.0248536,1.29865E-06,1.30155E-06,0.00386848,0.00383288,0.101902,0,0.046563,0,0.269446,0.269573,3.78118,3.47648
F2,10,1000,3.818,0.5,2,0.214137,0.213208,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866605,-0.00641647,0.0862968,0.0109829,0.00150942,0.00177556,0.00986063,0.0099086,0.0640146,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45893E-07,0.00384436,0.00383295,1.67359E-07,0,5.96727E-05,0,0.214137,0.214137,3.78245,3.47648
B,10,1000,3.818,0.5,2,0.210385,0.208753,0.0159496,0.0131297,-0.0132138,-0.0159361,0.0867976,-0.00637517,0.0860311,0.0109807,0.00150942,0.00177541,0.00986101,0.00990861,0.0640419,0.0193399,0.018929,0.00477432,0.00479596,2.48856E-07,2.50536E-07,0.00384366,0.00383264,1.78645E-07,0,6.16519E-05,0,0.210379,0.210381,5.91616,3.47648
A,10,1000,3.818,0.5,4,0.213592,0.213173,0.0147546,0.014356,-0.01438,-0.0147339,0.0865488,-0.00641375,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476361,2.45859E-07,2.4603E-07,0.00384448,0.00383301,0,0,0,0,0.213593,0.213593,3.80026,3.82607
F1,10,1000,3.818,0.5,4,0.21384,0.21293,0.0147536,0.0143574,-0.0143809,-0.0147324,0.0866545,-0.00641368,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.0099086,0.0640145,0.0193525,0.0189424,0.00476273,0.0047634,2.45796E-07,2.46088E-07,0.00384435,0.00383295,3.53903E-06,0,0.000274406,0,0.21384,0.21384,3.78253,3.82607
F2,10,1000,3.818,0.5,4,0.214137,0.213207,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866606,-0.00641647,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.00990861,0.0640145,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45894E-07,0.00384436,0.00383295,1.67395E-07,0,5.96791E-05,0,0.214138,0.214138,3.78254,3.82607
B,10,1000,3.818,0.5,4,0.33182,0.327785,0.104336,-1.1123E-06,1.42911E-06,-0.1044,0.0828026,-0.00521538,0.0860391,0.0105007,0.00150926,0.00177403,0.00986067,0.00990874,0.0640417,0.0193363,0.0189324,0.0618392,0.0620422,3.46165E-06,3.48411E-06,0.0039101,0.00383245,0.251107,0,0.0730938,0,0.33119,0.331211,5.90907,3.82607
A,10,1000,3.818,0.5,5,0.213592,0.213174,0.0147546,0.014356,-0.01438,-0.0147339,0.0865487,-0.00641375,0.0864044,0.010983,0.00150942,0.0017756,0.0098607,0.00990865,0.0640873,0.0193161,0.0189068,0.0047626,0.00476361,2.4586E-07,2.4603E-07,0.00384448,0.00383301,0,0,0,0,0.213592,0.213592,3.8002,3.40819
F1,10,1000,3.818,0.5,5,0.244805,0.243933,0.056911,-2.20334E-07,2.38461E-07,-0.056915,0.0853726,-0.00580225,0.0862933,0.0108418,0.00150936,0.00177523,0.00986073,0.00990837,0.0640144,0.0193491,0.0189458,0.0193591,0.0193645,1.01006E-06,1.01176E-06,0.00386284,0.00383289,0.0778266,0,0.0406926,0,0.244525,0.244603,3.78116,3.40819
F2,10,1000,3.818,0.5,5,0.214137,0.213208,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866605,-0.00641647,0.0862968,0.0109829,0.00150942,0.00177556,0.00986063,0.0099086,0.0640146,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45893E-07,0.00384436,0.00383295,1.67364E-07,0,5.96736E-05,0,0.214137,0.214137,3.78247,3.40819
B,10,1000,3.818,0.5,5,0.210385,0.208753,0.0159496,0.0131297,-0.0132138,-0.0159362,0.0867976,-0.00637517,0.086031,0.0109807,0.00150942,0.00177541,0.00986101,0.00990861,0.0640419,0.0193399,0.018929,0.00477432,0.00479596,2.48856E-07,2.50536E-07,0.00384366,0.00383264,1.78651E-07,0,6.16529E-05,0,0.210379,0.210381,5.91621,3.40819
A,10,1000,3.818,0.79,0,0.213591,0.213172,0.0147553,0.0143553,-0.0143793,-0.0147346,0.0865488,-0.00641374,0.0864043,0.010983,0.00150942,0.0017756,0.0098607,0.00990866,0.0640872,0.0193162,0.0189068,0.0047626,0.00476361,2.4586E-07,2.46031E-07,0.00384448,0.00383301,0,0,0,0,0.213591,0.213591,3.80026,3.22474
F1,10,1000,3.818,0.79,0,0.21384,0.21293,0.0147536,0.0143574,-0.0143809,-0.0147324,0.0866545,-0.00641368,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.0099086,0.0640145,0.0193525,0.0189424,0.00476273,0.0047634,2.45796E-07,2.46088E-07,0.00384435,0.00383295,3.53903E-06,0,0.000274406,0,0.21384,0.21384,3.78253,3.22474
F2,10,1000,3.818,0.79,0,0.214137,0.213207,0.014603,0.0145092,-0.0145296,-0.0145826,0.0866606,-0.00641647,0.0862967,0.0109829,0.00150942,0.00177556,0.00986062,0.00990861,0.0640145,0.0193525,0.0189424,0.00476266,0.00476268,2.45633E-07,2.45894E-07,0.00384436,0.00383295,1.67395E-07,0,5.96791E-05,0,0.214138,0.214138,3.78254,3.22474
B,10,1000,3.818,0.79,0,0.204178,0.202418,0.0167662,0.012307,-0.0124267,-0.0167312,0.0866035,-0.00633533,0.0860065,0.0109776,0.00150932,0.00177534,0.00986129,0.00990806,0.0640247,0.0193455,0.0189392,0.00480663,0.00483058,2.55384E-07,2.57252E-07,0.0038435,0.00383217,4.46811E-07,0,9.75019E-05,0,0.204166,0.204166,9.38581,3.22474
A,10,1000,3.818,0.79,1,0.213591,0.213173,0.0147553,0.0143553,-0.0143793,-0.0147346,0.0865486,-0.00641374,0.0864045,0.010983,0.00150942,0.0017756,0.00986071,0.00990865,0.0640874,0.0193161,0.0189067,0.0047626,0.00476361,2.45861E-07,2.4603E-07,0.00384448,0.00383301,0,0,0,0,0.21359,0.213591,3.80009,4.89069
F1,10,1000,3.818,0.79,1,0.269887,0.26889,0.0651187,-2.86179E-07,3.2631E-07,-0.0651234,0.0851799,-0.00571018,0.0862936,0.0107898,0.00150935,0.00177513,0.0098607,0.00990837,0.0640145,0.0193491,0.0189457,0.0248341,0.0248507,1.2987E-06,1.3014E-06,0.00386854,0.00383288,0.101898,0,0.0465623,0,0.26945,0.26964,3.78107,4.89069
