carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,732822,73.921,80.3043
1,1m,47p,734240,73.7028,80.3043
1,1m,100p,735847,73.4548,80.3043
1,1m,220p,739506,72.886,80.3043
1,1m,470p,747394,71.6611,80.3043
1,1m,1n,764843,68.8891,80.3043
1,1m,2.2n,807948,61.5801,80.3042
1,1m,4.7n,886164,42.2384,80.3042
1,430,1f,732810,73.8219,80.3043
1,430,47p,734228,73.6035,80.3043
1,430,100p,735834,73.3554,80.3043
1,430,220p,739493,72.7861,80.3043
1,430,470p,747380,71.5602,80.3043
1,430,1n,764828,68.7858,80.3043
1,430,2.2n,807928,61.4713,80.3042
1,430,4.7n,886140,42.1199,80.3042
2,1m,1f,732174,73.9266,80.2022
2,1m,47p,733588,73.7088,80.2022
2,1m,100p,735188,73.4613,80.2022
2,1m,220p,738835,72.8937,80.2022
2,1m,470p,746675,71.672,80.2022
2,1m,1n,764035,68.9073,80.2022
2,1m,2.2n,806888,61.6229,80.2022
2,1m,4.7n,884635,42.3686,80.2021
2,430,1f,732162,73.8276,80.2022
2,430,47p,733576,73.6096,80.2022
2,430,100p,735176,73.362,80.2022
2,430,220p,738822,72.7938,80.2022
2,430,470p,746662,71.5711,80.2022
2,430,1n,764021,68.8041,80.2022
2,430,2.2n,806870,61.5143,80.2022
2,430,4.7n,884611,42.2503,80.2021
