pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,1.00992E+06,69.3715,72.2982
1,10k,47p,1.01135E+06,69.1106,72.2982
1,10k,100p,1.01281E+06,68.8158,72.2982
1,10k,220p,1.01544E+06,68.1501,72.2982
1,10k,470p,1.0178E+06,66.8043,72.2982
1,10k,1n,1.00952E+06,64.4021,72.2982
1,10k,1.5n,990490,62.907,72.2982
1,10k,2.2n,958433,61.8933,72.2983
1,10k,2.7n,936695,61.674,72.2983
1,10k,3.3n,913790,61.7256,72.2983
1,10k,4.7n,873927,62.4272,72.2984
2,10k,1f,1.00992E+06,69.3715,72.2982
2,10k,47p,1.01143E+06,69.1079,72.2982
2,10k,100p,1.01313E+06,68.8091,72.2982
2,10k,220p,1.01693E+06,68.1268,72.2982
2,10k,470p,1.02472E+06,66.6795,72.2982
2,10k,1n,1.04054E+06,63.4975,72.2982
2,10k,1.5n,1.05391E+06,60.3801,72.2982
2,10k,2.2n,1.06886E+06,55.9013,72.2982
2,10k,2.7n,1.07609E+06,52.6903,72.2982
2,10k,3.3n,1.08015E+06,48.9258,72.2982
2,10k,4.7n,1.06943E+06,41.0542,72.2982
1,50k,1f,1.01111E+06,69.3694,72.3894
1,50k,47p,1.01256E+06,69.1059,72.3894
1,50k,100p,1.01403E+06,68.8082,72.3894
1,50k,220p,1.01669E+06,68.1358,72.3894
1,50k,470p,1.01906E+06,66.7768,72.3894
1,50k,1n,1.01060E+06,64.3551,72.3894
1,50k,1.5n,991278,62.8549,72.3894
1,50k,2.2n,958873,61.8453,72.3894
1,50k,2.7n,936961,61.6319,72.3894
1,50k,3.3n,913918,61.6905,72.3894
1,50k,4.7n,873904,62.4049,72.3894
2,50k,1f,1.01111E+06,69.3694,72.3894
2,50k,47p,1.01263E+06,69.1052,72.3894
2,50k,100p,1.01433E+06,68.8057,72.3894
2,50k,220p,1.01815E+06,68.1217,72.3894
2,50k,470p,1.02601E+06,66.67,72.3894
2,50k,1n,1.04192E+06,63.4793,72.3894
2,50k,1.5n,1.0554E+06,60.3515,72.3894
2,50k,2.2n,1.07043E+06,55.8584,72.3894
2,50k,2.7n,1.07775E+06,52.6348,72.3894
2,50k,3.3n,1.08183E+06,48.8582,72.3894
2,50k,4.7n,1.07095E+06,40.9683,72.3894
