pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,804641,68.0535,80.6245
1,10k,47p,806040,67.8242,80.6245
1,10k,100p,807542,67.5638,80.6245
1,10k,220p,810624,66.9695,80.6245
1,10k,470p,815546,65.7278,80.6245
1,10k,1n,818134,63.2818,80.6245
1,10k,1.5n,811523,61.4683,80.6246
1,10k,2.2n,793645,59.8701,80.6246
1,10k,2.7n,778771,59.275,80.6247
1,10k,3.3n,761280,58.9666,80.6247
1,10k,4.7n,727004,59.1594,80.6248
2,10k,1f,804641,68.0535,80.6245
2,10k,47p,806086,67.8221,80.6245
2,10k,100p,807719,67.5593,80.6245
2,10k,220p,811430,66.957,80.6245
2,10k,470p,819393,65.6645,80.6245
2,10k,1n,836692,62.7627,80.6245
2,10k,1.5n,853492,59.8088,80.6245
2,10k,2.2n,877337,55.3021,80.6244
2,10k,2.7n,893807,51.8364,80.6244
2,10k,3.3n,911837,47.4644,80.6244
2,10k,4.7n,937822,37.1903,80.6244
1,50k,1f,805599,68.0579,80.7901
1,50k,47p,807016,67.8262,80.7901
1,50k,100p,808536,67.5632,80.7901
1,50k,220p,811655,66.9629,80.7901
1,50k,470p,816656,65.7074,80.7901
1,50k,1n,819223,63.2378,80.7901
1,50k,1.5n,812437,61.4126,80.7901
1,50k,2.2n,794276,59.8119,80.7901
1,50k,2.7n,779235,59.2201,80.7901
1,50k,3.3n,761582,58.9183,80.7901
1,50k,4.7n,727092,59.1258,80.7901
2,50k,1f,805599,68.0579,80.7901
2,50k,47p,807051,67.8259,80.7901
2,50k,100p,808692,67.5624,80.7901
2,50k,220p,812422,66.9586,80.7901
2,50k,470p,820451,65.6619,80.7901
2,50k,1n,837876,62.7504,80.7901
2,50k,1.5n,854815,59.7848,80.7901
2,50k,2.2n,878860,55.2578,80.7901
2,50k,2.7n,895501,51.7731,80.7901
2,50k,3.3n,913711,47.3756,80.7901
2,50k,4.7n,939860,37.0465,80.79
