pos,rld,cprobe,fcross_hz,pm_deg,tdb_10hz
1,10k,1f,964524,65.1845,81.2329
1,10k,47p,966903,64.889,81.2329
1,10k,100p,969458,64.552,81.2329
1,10k,220p,974692,63.7779,81.2329
1,10k,470p,982889,62.1506,81.2329
1,10k,1n,985578,59.0348,81.233
1,10k,1.5n,972572,56.9522,81.233
1,10k,2.2n,943284,55.4321,81.233
1,10k,2.7n,921474,55.0263,81.2331
1,10k,3.3n,897670,54.9637,81.2331
1,10k,4.7n,854884,55.6105,81.2332
2,10k,1f,964524,65.1845,81.2329
2,10k,47p,966983,64.8865,81.2329
2,10k,100p,969772,64.5469,81.2329
2,10k,220p,976148,63.7638,81.2329
2,10k,470p,990043,62.0573,81.2329
2,10k,1n,1.02132E+06,58.0927,81.2329
2,10k,1.5n,1.05332E+06,53.8446,81.2329
2,10k,2.2n,1.10041E+06,46.9715,81.2328
2,10k,2.7n,1.13283E+06,41.4382,81.2328
2,10k,3.3n,1.16376E+06,34.4983,81.2328
2,10k,4.7n,1.17451E+06,20.8545,81.2328
1,50k,1f,965700,65.1935,81.3997
1,50k,47p,968108,64.895,81.3997
1,50k,100p,970696,64.5545,81.3997
1,50k,220p,975993,63.7724,81.3997
1,50k,470p,984313,62.1267,81.3997
1,50k,1n,986933,58.9812,81.3997
1,50k,1.5n,973626,56.8884,81.3997
1,50k,2.2n,943925,55.3717,81.3997
1,50k,2.7n,921897,54.973,81.3997
1,50k,3.3n,897914,54.9194,81.3997
1,50k,4.7n,854924,55.5822,81.3997
2,50k,1f,965700,65.1935,81.3997
2,50k,47p,968171,64.8948,81.3997
2,50k,100p,970974,64.5543,81.3997
2,50k,220p,977387,63.7691,81.3997
2,50k,470p,991387,62.0569,81.3997
2,50k,1n,1.0229E+06,58.0776,81.3997
2,50k,1.5n,1.05523E+06,53.8073,81.3997
2,50k,2.2n,1.10284E+06,46.8893,81.3997
2,50k,2.7n,1.1356E+06,41.3154,81.3997
2,50k,3.3n,1.16681E+06,34.3246,81.3996
2,50k,4.7n,1.17711E+06,20.6334,81.3996
