carico,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,1m,1f,941190,69.0568,80.3354
1,1m,47p,944060,68.7341,80.3354
1,1m,100p,947328,68.3654,80.3354
1,1m,220p,954836,67.5119,80.3354
1,1m,470p,971411,65.6328,80.3354
1,1m,1n,1.01019E+06,61.1472,80.3354
1,1m,2.2n,1.11816E+06,47.4643,80.3354
1,1m,4.7n,1.19934E+06,15.9088,80.3353
1,430,1f,941165,68.9301,80.3354
1,430,47p,944036,68.6069,80.3354
1,430,100p,947303,68.2379,80.3354
1,430,220p,954811,67.3834,80.3354
1,430,470p,971383,65.5021,80.3354
1,430,1n,1.01015E+06,61.0116,80.3354
1,430,2.2n,1.1181E+06,47.3157,80.3354
1,430,4.7n,1.19929E+06,15.7503,80.3353
2,1m,1f,940236,69.0684,80.2329
2,1m,47p,943095,68.7464,80.2328
2,1m,100p,946349,68.3787,80.2328
2,1m,220p,953825,67.5274,80.2328
2,1m,470p,970298,65.6543,80.2328
2,1m,1n,1.00881E+06,61.1864,80.2328
2,1m,2.2n,1.11584E+06,47.5866,80.2328
2,1m,4.7n,1.19757E+06,16.1224,80.2328
2,430,1f,940212,68.9418,80.2329
2,430,47p,943071,68.6195,80.2328
2,430,100p,946324,68.2513,80.2328
2,430,220p,953800,67.399,80.2328
2,430,470p,970270,65.5238,80.2328
2,430,1n,1.00877E+06,61.051,80.2328
2,430,2.2n,1.11578E+06,47.4381,80.2328
2,430,4.7n,1.19753E+06,15.9641,80.2328
