cand,pos,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
1,0,1m,1f,377152,70.9678,79.8718
1,0,1m,47p,377325,70.8751,79.8718
1,0,1m,100p,377520,70.7705,79.8718
1,0,1m,220p,377958,70.5331,79.8718
1,0,1m,470p,378860,70.0357,79.8718
1,0,1m,1n,380737,68.9691,79.8718
1,0,1m,2.2n,384768,66.4961,79.8717
1,0,1m,4.7n,391512,61.1672,79.8717
1,0,430,1f,377150,70.9168,79.8718
1,0,430,47p,377324,70.8241,79.8718
1,0,430,100p,377518,70.7195,79.8718
1,0,430,220p,377956,70.482,79.8718
1,0,430,470p,378859,69.9845,79.8718
1,0,430,1n,380735,68.9176,79.8718
1,0,430,2.2n,384766,66.4441,79.8717
1,0,430,4.7n,391511,61.1143,79.8717
1,6,1m,1f,377544,70.9653,80.0127
1,6,1m,47p,377584,70.9419,80.0127
1,6,1m,100p,377617,70.9157,80.0127
1,6,1m,220p,377647,70.8583,80.0127
1,6,1m,470p,377523,70.7538,80.0127
1,6,1m,1n,376737,70.627,80.0127
1,6,1m,2.2n,374947,70.6327,80.0127
1,6,1m,4.7n,373597,70.7726,80.0127
1,6,430,1f,377543,70.9142,80.0127
1,6,430,47p,377582,70.8908,80.0127
1,6,430,100p,377615,70.8646,80.0127
1,6,430,220p,377645,70.8072,80.0127
1,6,430,470p,377522,70.7028,80.0127
1,6,430,1n,376735,70.576,80.0127
1,6,430,2.2n,374946,70.582,80.0127
1,6,430,4.7n,373596,70.7221,80.0127
1,12,1m,1f,377647,70.9646,80.0501
1,12,1m,47p,377657,70.9587,80.0501
1,12,1m,100p,377667,70.952,80.0501
1,12,1m,220p,377679,70.9373,80.0501
1,12,1m,470p,377667,70.9089,80.0501
1,12,1m,1n,377511,70.8662,80.0501
1,12,1m,2.2n,377000,70.8464,80.0501
1,12,1m,4.7n,376465,70.8843,80.0501
1,12,430,1f,377646,70.9136,80.0501
1,12,430,47p,377656,70.9076,80.0501
1,12,430,100p,377665,70.901,80.0501
1,12,430,220p,377678,70.8862,80.0501
1,12,430,470p,377666,70.8579,80.0501
1,12,430,1n,377509,70.8151,80.0501
1,12,430,2.2n,376998,70.7955,80.0501
1,12,430,4.7n,376464,70.8334,80.0501
2,0,1m,1f,378826,70.9575,80.4878
2,0,1m,47p,379002,70.8641,80.4878
2,0,1m,100p,379200,70.7585,80.4878
2,0,1m,220p,379646,70.5189,80.4878
2,0,1m,470p,380574,70.0166,80.4878
2,0,1m,1n,382522,68.9381,80.4877
2,0,1m,2.2n,386629,66.4406,80.4877
2,0,1m,4.7n,393563,61.0501,80.4876
2,0,430,1f,378824,70.9063,80.4878
2,0,430,47p,379000,70.8128,80.4878
2,0,430,100p,379198,70.7073,80.4878
2,0,430,220p,379644,70.4676,80.4878
2,0,430,470p,380573,69.9651,80.4878
2,0,430,1n,382520,68.8864,80.4877
2,0,430,2.2n,386627,66.3883,80.4877
2,0,430,4.7n,393561,60.997,80.4876
2,6,1m,1f,379218,70.9552,80.6378
2,6,1m,47p,379256,70.9318,80.6378
2,6,1m,100p,379280,70.9059,80.6378
2,6,1m,220p,379268,70.8512,80.6378
2,6,1m,470p,378999,70.767,80.6378
2,6,1m,1n,378094,70.7179,80.6378
2,6,1m,2.2n,376953,70.7863,80.6378
2,6,1m,4.7n,376396,70.8741,80.6378
2,6,430,1f,379216,70.904,80.6378
2,6,430,47p,379254,70.8805,80.6378
2,6,430,100p,379278,70.8546,80.6378
2,6,430,220p,379266,70.7999,80.6378
2,6,430,470p,378998,70.7157,80.6378
2,6,430,1n,378093,70.6668,80.6378
2,6,430,2.2n,376951,70.7353,80.6378
2,6,430,4.7n,376395,70.8232,80.6378
2,12,1m,1f,379323,70.9546,80.6781
2,12,1m,47p,379332,70.9487,80.6781
2,12,1m,100p,379340,70.942,80.6781
2,12,1m,220p,379344,70.9276,80.6781
2,12,1m,470p,379298,70.9027,80.6781
2,12,1m,1n,379076,70.8785,80.6781
2,12,1m,2.2n,378683,70.8894,80.6781
2,12,1m,4.7n,378442,70.9197,80.6781
2,12,430,1f,379321,70.9034,80.6781
2,12,430,47p,379331,70.8974,80.6781
2,12,430,100p,379339,70.8907,80.6781
2,12,430,220p,379342,70.8763,80.6781
2,12,430,470p,379296,70.8514,80.6781
2,12,430,1n,379074,70.8272,80.6781
2,12,430,2.2n,378681,70.8382,80.6781
2,12,430,4.7n,378440,70.8685,80.6781
